response,ground_truth
No.,No
Yes.,No
A. None,A.
B. Tropical Storm,A.
A. None,A.
B. Tropical Storm,A.
'East of High Island' to 'Sabine Pass',"Port O'Connor to Sargent, TX (tropical-storm watch)"
None,"Port O'Connor to Sargent, Texas (TS Watch)"
Port O'Connor to Sargent,"Mouth of Rio Grande to Port O'Connor, TX (tropical-storm warning)"
Port O'Connor to Sargent,"Mouth of Rio Grande to Port O'Connor, Texas (TS Warning)"
"25.2N, 91.6W","25.2N, 91.6W"
"25.0N, 89.9W","25.0N, 89.9W"
W,W
W,W
18,18 mph
16,16 mph
Texas,"South-central Texas coastline from the mouth of the Rio Grande north-eastward to roughly Sargent, TX"
Texas,South Texas coastline from the mouth of the Rio Grande northward to Sargent
PORT O CONNOR,MATAGORDA TX
PORT O CONNOR,MATAGORDA TX
0,4%
0,6%
0,0%
0,0%
N/A,36
N/A,24
N/A,N/A
N/A,N/A
N/A,4%
N/A,6%
"C. Houston Port Authority, TX",D.
"A. Houston Port Authority, TX",B.
"Mouth of Rio Grande to Port O'Connor, Texas","South-central Texas coastline from the mouth of the Rio Grande north-eastward to roughly Sargent, TX"
"Mouth of Rio Grande to Port O'Connor, Texas",South Texas coastline from the mouth of the Rio Grande northward to Sargent
A. Tropical Depression,A.
A. Tropical Depression,A.
"A. Houston Port Authority, TX",C.
"A. Houston Port Authority, TX",D.
Texas coast.,"South-central Texas coastline from the mouth of the Rio Grande north-eastward to roughly Sargent, TX"
Texas coast.,South Texas coastline from the mouth of the Rio Grande northward to Sargent
21,20
21,24
24,N/A
36,0
B. 3 days,D.
B. 3 days,B.
C. 13-24 hours,A.
B. 1-12 Hours,A.
D. 48 hours or more,C.
A. 0-12 hours,B.
No,No
No,No
D. 48 hours or more,B.
D. 48 hours or more,B.
24,20
24,24
D. None,B.
D. None,B.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,B.
A couple of tornadoes are possible across south Texas on Tuesday.,Stronger rip currents along Upper Texas Gulf beaches
Large swells are likely to cause life-threatening surf and rip current conditions.,Elevated rip–current risk along upper Texas coastline
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""10"",
    ""in 24h"": ""10"",
    ""in 48h"": ""0"",
    ""in 72h"": ""0"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '0%', 'in 24h': '3%', 'in 48h': '4%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""34"",
    ""in 24h"": ""34"",
    ""in 48h"": ""34"",
    ""in 72h"": ""34"",
    ""in 96h"": ""34""
  }
}
```","{'in 12h': '0%', 'in 24h': '5%', 'in 48h': '6%', 'in 72h': '6%', 'in 96h': '6%'}"
22-08-2023,8/23/2023
22-08-2023,8/23/2023
22-08-2023,8/23/2023
22-08-2023,8/23/2023
24-08-2023,8/23/2023
24-08-2023,8/23/2023
2,2
2,2
2,2.0
2,2.0
None,0.291231247
None,0.291231247
A. None,B.
A. None,B.
