response,ground_truth
Yes.,No
No.,No
No,No
No.,No
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
'Surf City' to 'Chincoteague',Hurricane Watch north of Surf City NC to Ocracoke Inlet; Storm Surge Watch Surf City NC to Bogue Inlet NC and parts of Pamlico/Albemarle Sounds
Surf City to Chincoteague,"Storm Surge Watch from Surf City to Duck, NC; Chesapeake Bay north of Windmill Point to Smith Point; Tidal Potomac south of Colonial Beach; remainder of Pamlico and Albemarle Sounds"
'Cape Fear' to 'Fenwick Island',"N/A – watches begin farther north (Surf City NC to Duck NC, Chesapeake Bay, Delaware Bay)."
"Surf City, NC to Fenwick Island, DE","Storm Surge Watch from Surf City, NC to Chincoteague, VA including Chesapeake Bay south of Smith Point and the Albemarle & Pamlico Sounds"
Cape Fear to Fenwick Island,"Storm Surge Warning Bogue Inlet NC to Chincoteague VA, Chesapeake Bay south of Colonial Beach VA, Neuse & Pamlico Rivers; Tropical Storm Warning Cape Fear NC to Fenwick Island DE, including Chesapeake Bay south of North Beach and Tidal Potomac south of Cobb Island"
Cape Fear to Fenwick Island,"Tropical Storm Warning from Cape Fear, NC to Fenwick Island, DE including Albemarle & Pamlico Sounds, Chesapeake Bay south of North Beach and Tidal Potomac south of Cobb Island"
Cape Fear to Fenwick Island,"Tropical-storm warnings from Cape Fear NC northward to Fenwick Island DE, including Chesapeake Bay south of North Beach and the Tidal Potomac south of Cobb Island."
Edisto Beach to Cape Fear,"Tropical Storm Warning from Cape Fear, NC northward to Fenwick Island, DE including Albemarle & Pamlico Sounds and Chesapeake Bay south of Smith Point"
"32.7N, 76.0W","32.9N, 76.3W"
"30.5N, 75.0W","30.5N, 75.0W"
"29.2N, 75.9W","29.2N, 75.9W"
"28.7N, 75.9W","28.7N, 75.9W"
NNW,NNW
N,N
N,N
N,N
12,13 mph
14,14 mph
8,8 mph
9,9 mph
North Carolina,"Eastern North Carolina, southeastern Virginia, Delmarva Peninsula, parts of the mid-Atlantic coast"
Mid-Atlantic Coast,"South Santee River, SC northward through North Carolina and the Mid-Atlantic coast to New Jersey"
North Carolina,"South Santee River SC northward through North Carolina, Virginia and the Delmarva Peninsula."
North Carolina,"Southeast coast from South Santee River, SC northward through the Mid-Atlantic states to New Jersey"
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
8,8%
6,11%
6,5%
4,4%
0,0%
0,1%
0,0%
0,0%
N/A,24
N/A,60
N/A,36
N/A,30
N/A,N/A
N/A,48
N/A,N/A
N/A,
N/A,8%
N/A,11%
