response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes.,No
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
Fernandina Beach to Indian Pass,"Hurricane Watch from north of Fernandina Beach, FL to Edisto Beach, SC"
'Chokoloskee' to 'Fernandina Beach',"Storm Surge Watch from north of the Volusia/Brevard County line to Isle of Palms, SC"
Jupiter Inlet to Bonita Beach,North of the Volusia/Brevard County Line to Fernandina Beach
The coastal area under the TS and Hurricane watch is 'Jupiter Inlet' to 'Bonita Beach'.,Hurricane Watch from north of Jupiter Inlet to Flagler/Volusia County Line; Storm Surge Watch from north of Sebastian Inlet to Ponce Inlet
None,North of Jupiter Inlet to Sebastian Inlet (Atlantic Coast) and north of Bonita Beach to Anna Maria Island (Gulf Coast) are under Hurricane Watch; Storm Surge Watch extends north of Jupiter Inlet to Sebastian Inlet
Antonia to Jupiter Inlet,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
Puerto Rico to Bahamas,"No watches posted yet for the Florida coast (only for Bahamas, Cuba, Hispaniola)."
Haiti to Puerto Rico,Hurricane Watches in effect for Cuba (Matanzas eastward) and the central Bahamas
Haiti to Puerto Rico,"Hurricane Watches now posted for Turks and Caicos, southeastern Bahamas, and eastern Cuba"
None,"Hurricane Watch for Guadeloupe, the north coast of the Dominican Republic & Haiti, Turks & Caicos, and the southeastern Bahamas"
Key West to Fernandina Beach,"Hurricane Warning from Fernandina Beach southward around the Florida peninsula to Indian Pass, including the Florida Keys"
Aucilla River to Fernandina Beach,Hurricane Warning from Fernandina Beach southward around the Florida peninsula to the Aucilla River; Storm Surge Warning from the Volusia/Brevard County line southward around the peninsula to the Suwanee River
Key West to Jupiter Inlet,Volusia/Brevard County Line southward around the Florida peninsula to Anclote River
Haiti to Central Bahamas,No hurricane or tropical-storm warnings in effect north of Sebastian Inlet at this time
Cabo Rojo to Sebastian Inlet,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, are under Hurricane Warning; same reach is under Storm Surge Warning"
Antioch to Miami,None for Florida as of this advisory
Puerto Rico to Bahamas,"No warnings posted yet for the Florida coast (only for Bahamas, Cuba, Hispaniola)."
Puerto Rico to Haiti,"Hurricane Warnings for northern Leeward Islands, U.S./British Virgin Islands, Puerto Rico, northern Dominican Republic, northern Haiti, Turks & Caicos, and southeastern Bahamas"
Haiti to Puerto Rico,"Hurricane Warnings in effect for northern Leeward Islands, U.S. and British Virgin Islands, Puerto Rico, and parts of the Dominican Republic"
Puerto Rico to Dominican Republic,"Hurricane Warning for the northern Leeward Islands, U.S. & British Virgin Islands, and Puerto Rico"
"23.5N, 81.0W","23.7N, 81.3W"
"22.8N, 79.8W","23.1N, 80.2W"
"22.1N, 77.7W","22.3N, 78.2W"
"22.0N, 75.3W","22.0N, 76.0W"
"21.3N, 72.4W","21.5N, 73.3W"
"20.4N, 69.7W","20.7N, 70.4W"
"19.4N, 66.8W","19.7N, 67.7W"
"18.2N, 64.0W","18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"16.8N, 58.4W","16.9N, 59.1W"
NW,NW
W,W
WNW,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
15,15 mph
14,14 mph
Florida,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
Florida,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
Florida,"Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
Florida,"Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
Florida,"Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
Florida,"Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
Florida,"Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
Florida,"Northern Caribbean islands, Turks & Caicos, Bahamas, and the southeast U.S. coast from Florida northward"
Florida,"Entire Florida peninsula, Bahamas, Cuba north coast, and southeast U.S. coast within 5-day cone"
Puerto Rico,"Northern Leeward Islands, Greater Antilles, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,Cocoa Beach FL
COCOA BEACH FL,COCOA BEACH FL
COCOA BEACH FL,COCOA BEACH FL
72,72%
84,84%
86,86%
86,85%
88,88%
82,82%
82,82%
71,70%
30,30%
24,24%
10,10%
31,31%
46,46%
53,52%
60,59%
48,48%
55,55%
41,41%
7,7%
7,7%
12,24
12,48
N/A,33
N/A,96
72,96
N/A,72
N/A,72
96,108
96,120
N/A,120
N/A,24
N/A,48
72,69
N/A,96
96,96
N/A,72
96,72
96,108
N/A,120
N/A,120
72,72%
84,84%
87,52%
86,86%
88,88%
82,49%
82,57%
71,39%
30,20%
24,24%
"A. Canaveral Port District, FL",A.
"D. Canaveral Port District, FL",D.
"C. Canaveral Port District, FL",C.
"D. Canaveral Port District, FL",D.
"A. Canaveral Port District, FL",A.
"D. Canaveral Port District, FL",D.
"B. Tampa Port Authority, FL",C.
"C. Canaveral Port District, FL",C.
"B. Canaveral Port District, FL",B.
"A. Tampa Port Authority, FL",B.
Lower Florida Keys to the west coast of Florida,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
North coast of Cuba to Florida Keys.,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
Florida Keys to southwest coast of Florida,"Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
Florida Keys to the southern Florida Peninsula,"Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
North coast of Cuba to the Bahamas,"Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
Hispaniola to the Turks and Caicos Islands,"Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
Turks and Caicos to southeastern Bahamas,"Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
Virgin Islands to Puerto Rico,"Northern Caribbean islands, Turks & Caicos, Bahamas, and the southeast U.S. coast from Florida northward"
Northern Leeward Islands to Northern Virgin Islands.,"Entire Florida peninsula, Bahamas, Cuba north coast, and southeast U.S. coast within 5-day cone"
Northern Leeward Islands,"Northern Leeward Islands, Greater Antilles, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
F. Category 4,F.
E. Category 3,E.
G. Category 5,G.
F. Category 4,F.
G. Category 5,G.
G. Category 5,G.
G. Category 5,G.
G. Category 5,G.
G. Category 5,G.
G. Category 5,G.
"C. Canaveral Port District, FL",C.
"C. Canaveral Port District, FL",C.
"D. Canaveral Port District, FL",D.
"A. Tampa Port Authority, FL",B.
"C. Canaveral Port District, FL",C.
"D. Canaveral Port District, FL",D.
"A. Tampa Port Authority, FL",C.
"C. Canaveral Port District, FL",C.
"A. Canaveral Port District, FL",A.
"B. Canaveral Port District, FL",B.
Florida,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
Florida,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
Florida,"Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
Florida,"Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
Florida,"Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
Florida,"Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
Florida,"Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
Florida,"Northern Caribbean islands, Turks & Caicos, Bahamas, and the southeast U.S. coast from Florida northward"
Cuba,"Entire Florida peninsula, Bahamas, Cuba north coast, and southeast U.S. coast within 5-day cone"
Florida,"Northern Leeward Islands, Greater Antilles, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
8,6
12,18
21,30
21,45
69,66
69,66
None,72
72,96
21,96
21,120
48,36
24,≈48
72,36
72,72
72,24
72,24
72,96
120,36
96,24
None,48
D. 5 days,D.
