response,ground_truth
No,No
No.,No
No.,No
No,No
No,No
No,No
No.,No
No.,No
No,No
No,Yes
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,B.
B. Tropical Storm,B.
"Port Bolivar, TX to Morgan City, LA","Hurricane watch east of Intracoastal City to west of Morgan City, LA; storm-surge watch from the Mouth of the Mississippi River to Ocean Springs, MS, including Lake Pontchartrain/Maurepas/Borgne"
"Port Bolivar, TX to Morgan City, LA",Storm-surge watch Freeport TX to San Luis Pass TX; Mouth of the Mississippi River to Ocean Springs MS; Lake Pontchartrain/Maurepas/Borgne
Port Bolivar to San Luis Pass,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA (Gulf Coast – not including Virgin Islands)"
Port Bolivar to San Luis Pass,"Storm-surge watch from San Luis Pass, TX to Ocean Springs, MS; Hurricane watch from Port Bolivar, TX to west of Morgan City, LA; Tropical-storm watch south of Port Bolivar to San Luis Pass, TX and from Morgan City, LA to the mouth of the Mississippi River"
None,"Tropical-storm watch/warning presently limited to portions of Cuba, Little Cayman/Brac, Florida Keys; none issued for the U.S. Virgin Islands"
Port Bolivar to west of Morgan City,None
None,"Florida Keys, Florida Bay, Andros Island and portions of the central Bahamas"
None,None in effect for the U.S. Virgin Islands
None,"Central Bahamas; Cuban provinces of Las Tunas, Holguin, Guantanamo, Santiago de Cuba, and Granma"
None,Central Bahamas (Tropical Storm Watch)
Port Bolivar to Intracoastal City,"Storm-surge warning Freeport, TX to the Mouth of the Mississippi River; hurricane warning San Luis Pass, TX to Intracoastal City, LA; tropical-storm warning Sargent, TX to San Luis Pass, and east of Intracoastal City, LA to the Mouth of the Mississippi River"
Port Bolivar to Morgan City,Storm-surge warning San Luis Pass TX to Mouth of the Mississippi River; Hurricane warning San Luis Pass TX to Intracoastal City LA; Tropical-storm warning Sargent TX to San Luis Pass TX and east of Intracoastal City LA to Mouth of the Mississippi River
Port Bolivar to Morgan City,"Hurricane Warning San Luis Pass, TX to Intracoastal City, LA; Tropical Storm Warning Sargent, TX to San Luis Pass and east of Intracoastal City, LA to the Mouth of the Mississippi River; Storm-Surge Warning San Luis Pass, TX to the Mouth of the Mississippi River"
Port Bolivar to Morgan City,"Tropical-storm warning for western and central Cuba, lower Florida Keys and Dry Tortugas"
Puerto Plata to Key West,"Tropical-Storm Warning in effect for Little Cayman, Cayman Brac, many Cuban provinces, and the Florida Keys from Craig Key to Key West including the Dry Tortugas"
None,None
