response,ground_truth
Yes.,No
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
No.,Yes
Yes.,Yes
No,No
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
San Luis Pass to Intracoastal City,"Storm Surge Watch from the Mouth of the Mississippi River to Ocean Springs, MS including Lake Pontchartrain, Lake Maurepas, and Lake Borgne"
"Port Bolivar, TX to Morgan City, LA",No active tropical storm or hurricane watch for the Texas coast west of San Luis Pass
Port Bolivar to San Luis Pass,Storm Surge Watch from Freeport TX to San Luis Pass TX and from the Mouth of the Mississippi River to Ocean Springs MS (not including Texas City)
Port Bolivar to San Luis Pass,Port Bolivar TX to west of Morgan City LA (hurricane watch); south of Port Bolivar to San Luis Pass TX (tropical storm watch)
None,None in effect for U.S. Gulf Coast as of this advisory
None,
None,No watches yet along the U.S. Gulf Coast
None,"Tropical-storm watch currently limited to the Florida Keys, central Bahamas, and parts of Cuba"
None,Tropical-storm watches limited to portions of the Bahamas and eastern Cuba (not the Gulf Coast yet)
None,"Tropical-storm watches and warnings limited to Puerto Rico, U.S./British Virgin Islands, Hispaniola, southeastern Bahamas and Turks & Caicos."
Port Bolivar to Intracoastal City,"Hurricane Warning from San Luis Pass, TX to Intracoastal City, LA; Storm Surge Warning from Freeport, TX to the Mouth of the Mississippi River"
Port Bolivar to Morgan City,"Hurricane Warning: San Luis Pass, TX to Intracoastal City, LA; Storm Surge Warning: San Luis Pass, TX to the Mouth of the Mississippi River"
Port Bolivar to San Luis Pass,Hurricane Warning from San Luis Pass TX to Intracoastal City LA; Storm Surge Warning from San Luis Pass TX to the Mouth of the Mississippi River
Port Bolivar to west of Morgan City,None along Texas coast at this time
None,None in effect for U.S. Gulf Coast as of this advisory
None,
None,No warnings yet along the U.S. Gulf Coast
Haiti to Cuba,"Tropical-storm warning in effect for portions of the Dominican Republic, Haiti, SE Bahamas, Turks and Caicos, and eastern Cuba"
Puerto Rico to Haiti,"Tropical-storm warnings in effect for Puerto Rico, U.S. Virgin Islands, Dominican Republic, Haiti and nearby islands"
Puerto Rico to Dominican Republic,Same areas as above – no Gulf Coast warnings in effect at this time.
"26.4N, 91.4W","27.3N, 92.5W"
"25.0N, 89.0W","25.6N, 90.2W"
"23.4N, 86.4W","24.3N, 87.6W"
"22.1N, 82.8W","22.6N, 85.0W"
"20.9N, 79.7W","21.4N, 81.6W"
"20.0N, 75.6W","20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"17.7N, 66.0W","17.9N, 67.5W"
"16.8N, 62.6W","17.3N, 64.4W"
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W
W,WNW
15,16 mph
17,17 mph
17,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
21,18 mph
17,18 mph
Louisiana,"North-west Gulf Coast from Freeport, TX eastward across coastal Louisiana to the Mississippi River mouth"
Louisiana,Upper Texas coast and southwest Louisiana coast
Louisiana,"Upper Texas coast including Galveston Bay, Freeport, Port Arthur, and the southwest Louisiana coast"
Louisiana,High Island TX to Morgan City LA (7‒11 ft possible) with 2‒4 ft in Galveston Bay and San Luis Pass to Port Bolivar
Louisiana,Northwest Gulf Coast from the upper Texas coast to south-central Louisiana
Gulf Coast,"Entire upper Texas and Louisiana coastline, including Galveston Bay and Texas City vicinity"
Louisiana,north-west Gulf Coast from the upper Texas coast through coastal Louisiana
Cuba,Northwest Gulf Coast from the upper Texas coast eastward across coastal Louisiana and Mississippi
Louisiana,"Greater Antilles this weekend, then entire north-central Gulf Coast from Texas to Mississippi during mid-week"
Cuba,Northern Gulf Coast from upper Texas to Alabama is in the 5-day cone and could experience impacts mid-week.
Galveston TX,GALVESTON TX
Galveston TX,GALVESTON TX
Galveston TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
47,80%
84,72%
0,81%
39,57%
0,51%
48,39%
0,54%
17,17%
20,20%
4,6%
6,23%
0,31%
0,52%
0,30%
13,25%
0,14%
19,27%
0,4%
0,7%
0,<3%
N/A,6
N/A,36
N/A,36
N/A,96
N/A,60
N/A,96
N/A,96
N/A,120
N/A,120
N/A,120
N/A,18
N/A,36
N/A,48
N/A,72
N/A,60
N/A,120
N/A,96
N/A,96
N/A,120
N/A,
N/A,61%
N/A,72%
N/A,50%
N/A,57%
N/A,41%
N/A,39%
54,38%
N/A,17%
N/A,20%
N/A,6%
"D. Texas City, TX",D.
"C. Houston Port Authority, TX",D.
"A. Texas City, TX",A.
"C. Tampa Port Authority, FL",D.
"B. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",A.
"B. Tampa Port Authority, FL",D.
"A. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",B.
"D. Port of Brunswick, GA",B.
