response,ground_truth
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
"Port Bolivar, TX to Morgan City, LA",Freeport TX to the Mouth of the Mississippi River (Storm-surge watch areas farther east to Ocean Springs MS and Lake Pontchartrain)
"Port Bolivar, TX to Morgan City, LA","Hurricane Watch east of Intracoastal City to west of Morgan City, Louisiana; Storm Surge Watch stretches Freeport TX to Ocean Springs MS (far Gulf Coast – not Great Lakes)"
Port Bolivar to west of Morgan City,"Hurricane Watch from east of Intracoastal City to west of Morgan City, Louisiana"
Port Bolivar to San Luis Pass,"Storm-surge and hurricane watches posted from San Luis Pass TX eastward to Ocean Springs MS, including Lake Pontchartrain and adjacent bays"
None,"Tropical-storm watch/warning currently limited to Cuban provinces, Little Cayman & Cayman Brac, and the Florida Keys (Craig Key to Dry Tortugas)."
None,Tropical-storm watch for the Florida Keys from Craig Key to Key West
None,"Tropical-storm watches limited to the central Bahamas, Andros Island, Florida Keys (Ocean Reef to Key West and the Dry Tortugas) and Florida Bay"
None,"Tropical-storm watches extend across portions of the central Bahamas, the Florida Keys, Florida Bay, and western Cuba"
None,"Central Bahamas; Cuban provinces of Las Tunas, Holguin, Guantanamo, Santiago de Cuba, and Granma (Tropical Storm Watch)"
None,Central Bahamas
Port Bolivar to San Luis Pass,San Luis Pass TX to Intracoastal City LA (hurricane) and adjoining Gulf Coast sections for storm-surge and tropical-storm warnings
San Luis Pass to Intracoastal City,Hurricane Warning San Luis Pass TX to Intracoastal City LA; Storm-Surge Warning San Luis Pass TX to Mouth of the Mississippi River
Port Bolivar to San Luis Pass,"Hurricane Warning San Luis Pass, TX to Intracoastal City, LA and Storm-Surge Warning San Luis Pass, TX to the Mouth of the Mississippi River"
Port Bolivar to west of Morgan City,Tropical-storm warnings in western Cuba and lower Florida Keys
Port Bolivar to San Luis Pass,"Same as watch area – Cuban southern and western coastline, Little Cayman & Cayman Brac, Florida Keys."
Cuba to Florida Keys,"Tropical-storm warning for Little Cayman, Cayman Brac, Dry Tortugas and much of Cuba"
Cuba to Bahamas,"Tropical-storm warnings for northern Dominican Republic coast, entire Haiti coast, southeastern Bahamas, Turks and Caicos, and the listed Cuban provinces"
Haiti to Cuba,"Tropical-storm warnings in effect for Hispaniola, eastern Cuba, southeastern Bahamas, and Turks & Caicos"
None,"Puerto Rico (incl. Vieques & Culebra), U.S. Virgin Islands, northern & southern coasts of the Dominican Republic, northern coast of Haiti, southeastern Bahamas, Turks & Caicos Islands (Tropical Storm Warning)"
