response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
A. None,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
None,A Tropical Storm Warning is posted from Savannah River to Little River Inlet SC (no watches north of Little River Inlet).
None,Tropical Storm Warning in effect from the Savannah River GA to Little River Inlet SC (does not include NC coast)
None,"None in effect at Wilmington; watches begin farther south of Savannah River, SC–GA line"
None,None in effect (nearest watch/warning is in South Carolina)
None,Savannah River to Little River Inlet SC
Edisto Beach to South Santee River,Savannah River GA to Little River Inlet SC
None,"Savannah River to Little River Inlet, South Carolina"
None,"Savannah River, GA to Little River Inlet, SC under Tropical Storm Warning"
"30.9N, 79.4W","31.0N, 79.5W"
"30.0N, 78.0W","30.3N, 78.5W"
"28.8N, 75.1W","29.0N, 75.9W"
"28.5N, 74.7W","28.5N, 74.7W"
Stationary,Stationary (expected to begin moving NNW overnight)
NW,NW
WNW,WNW
WNW,WNW
Stationary,0 mph
14,13 mph
13,12 mph
13,13 mph
South Carolina,South Carolina coast and southern North Carolina coast (including Cape Fear to Surf City)
South Carolina,South Carolina coast and the southeastern North Carolina coast (including Cape Fear region)
South Carolina,South-central South Carolina through southeastern and eastern North Carolina
South Carolina,Georgia coast through South Carolina and into southeastern North Carolina (including Cape Fear area)
BALD HEAD ISL,WILMINGTON NC
BALD HEAD ISL,WILMINGTON NC
BALD HEAD ISL,WILMINGTON NC
BALD HEAD ISL,WILMINGTON NC
28,28%
21,21%
27,27%
27,27%
5,5%
3,3%
5,5%
5,5%
72,96
72,120
72,72
72,45
N/A,72
N/A,72
72,72
72,72
28,28%
21,21%
27,11%
27,11%
"D. Wilmington, NC",D.
"A. Port of Brunswick, GA",B.
"A. Wilmington, NC",A.
"C. Port of Brunswick, GA",D.
Savannah River to Little River Inlet South Carolina,South Carolina coast and southern North Carolina coast (including Cape Fear to Surf City)
Savannah River to Little River Inlet South Carolina,South Carolina coast and the southeastern North Carolina coast (including Cape Fear region)
Savannah River to Little River Inlet South Carolina,South-central South Carolina through southeastern and eastern North Carolina
Savannah River to Little River Inlet South Carolina,Georgia coast through South Carolina and into southeastern North Carolina (including Cape Fear area)
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
"A. Wilmington, NC",A.
"A. Wilmington, NC",A.
"B. Port of Brunswick, GA",D.
"B. Port of Brunswick, GA",A.
South Carolina,South Carolina coast and southern North Carolina coast (including Cape Fear to Surf City)
South Carolina,South Carolina coast and the southeastern North Carolina coast (including Cape Fear region)
South Carolina,South-central South Carolina through southeastern and eastern North Carolina
South Carolina,Georgia coast through South Carolina and into southeastern North Carolina (including Cape Fear area)
12,14
18,15
42,40
45,42
72,24
72,48
72,85
72,90
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
D. 24 hours or more,C.
C. 13-24 hours,C.
C. 13-24 hours,C.
C. 13-24 hours,C.
C. 24-48 hours,D.
C. 24-48 hours,D.
C. 24-48 hours,D.
D. 48 hours or more,C.
Yes,Yes
Yes,Yes
Yes,No
Yes,No
B. 0-24 Hours,B.
B. 0-24 Hours,B.
B. 0-24 Hours,B.
B. 0-24 Hours,B.
24,14
24,15
36,40
36,42
B. Start of heavy rainfall,B.
B. Start of heavy rainfall,B.
B. Start of heavy rainfall,B.
B. Start of heavy rainfall,A.
B. No,B.
A. Unlikely,B.
B. No,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,D.
Life-threatening surf and rip current conditions.,Dangerous rip currents along area beaches and an isolated tornado risk.
Life-threatening surf and rip current conditions are expected along portions of the southeastern United States coast.,High surf and dangerous rip currents beginning this weekend.
Life-threatening surf and rip current conditions.,High surf and dangerous rip currents along area beaches beginning this weekend.
"There are no additional hazards mentioned for Wilmington, NC, excluding rainfall, wind, and storm surge.",High surf and dangerous rip currents likely along southeastern North Carolina beaches
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""54"",
    ""in 24h"": ""58"",
    ""in 48h"": ""59"",
    ""in 72h"": ""60"",
    ""in 96h"": ""61""
  }
}
```","{'in 12h': '0%', 'in 24h': '1%', 'in 48h': '9%', 'in 72h': '12%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 22,
    ""in 24h"": 33,
    ""in 48h"": 39,
    ""in 72h"": 40,
    ""in 96h"": 41
  }
}
```","{'in 12h': '0%', 'in 24h': '3%', 'in 48h': '11%', 'in 72h': '17%', 'in 96h': '19%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 4,
    ""in 24h"": 28,
    ""in 48h"": 41,
    ""in 72h"": 47,
    ""in 96h"": 47
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '6%', 'in 72h': '11%', 'in 96h': '2%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 9,
    ""in 72h"": 12,
    ""in 96h"": 5
  }
}
```","{'in 12h': '0%', 'in 24h': '2%', 'in 48h': '12%', 'in 72h': '23%', 'in 96h': '25%'}"
29-05-2016,5/30/2016
29-05-2016,5/30/2016
29-05-2016,5/30/2016
29-05-2016,5/30/2016
30-05-2016,5/30/2016
30-05-2016,5/30/2016
29-05-2016,5/30/2016
29-05-2016,5/30/2016
02-06-2016,5/30/2016
02-06-2016,5/30/2016
31-05-2016,5/30/2016
31-05-2016,5/30/2016
5,2
5,2
5,2
5,2
3,2.0
3,2.0
3,2.0
3,2.0
28,1.0
21,1.0
27,1.0
27,1.0
B. 1-10 vessels,B.
B. 1-10 vessels,B.
B. 1-10 vessels,B.
B. 1-10 vessels,B.
