response,ground_truth
Yes.,Yes
Yes,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes.,Yes
Yes.,Yes
B. Tropical Storm,A.
B. Tropical Storm,C.
B. Tropical Storm,A.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
'Egmont Key' to 'Steinhatchee River',No tropical storm or hurricane watch in effect for Tampa Bay; surge watch begins west of Aucilla River
'Egmont Key' to 'Steinhatchee River',"Egmont Key to the Steinhatchee River, FL"
"'Everglades City, FL' to 'Ochlockonee River, FL'","Tropical Storm Watch west of the Ochlockonee River to Indian Pass, FL"
Craig Key to Englewood,"West coast of Florida from Englewood northward to the Aucilla River, including Tampa Bay"
None,"West coast of Florida from Flamingo northward to the Anclote River, including Tampa Bay"
None,Tropical Storm Watch in effect for the Florida Keys from Craig Key westward to the Dry Tortugas
None,Tropical Storm Watch in effect for the Florida Keys from Craig Key westward to the Dry Tortugas (no watches yet for west-coast mainland Florida).
Santo Domingo to Punta Palenque,None issued for Florida as of Advisory 12
Dominican Republic to Puerto Rico,"Current watches limited to northern Leeward Islands, north coast of Dominican Republic, Cayman Brac/Little Cayman, and portions of eastern Cuba—none yet issued for Florida"
Haiti to Dominican Republic,None in effect for Florida at this time
Egmont Key to Steinhatchee River,Hurricane Warning from Egmont Key (mouth of Tampa Bay) to Steinhatchee River; Storm Surge Warning Bonita Beach to Aucilla River including Tampa Bay
Egmont Key to Steinhatchee River,"Flamingo northward to Ochlockonee River, FL (includes Tampa Bay)"
None,"Tropical Storm & Storm Surge Warnings from Flamingo, FL northward to the Ochlockonee River including Tampa Bay"
Egmont Key to Steinhatchee River,West coast of Florida from Flamingo to Englewood; Florida Keys Craig Key westward to Dry Tortugas
Cienfuegos to the Dry Tortugas,None
Cienfuegos to Sandy Bay,"Tropical Storm Warnings for southern Haiti, Jamaica, and many eastern-central Cuban provinces"
Jamaica to Dominican Republic,"Hurricane and Tropical-Storm Warnings limited to Haiti, Jamaica, and portions of eastern-central Cuba; none issued yet for Florida."
Santo Domingo to Samana,None issued for Florida as of Advisory 12
Dominican Republic to Puerto Rico,"Hurricane warnings for southern Hispaniola, Jamaica; tropical-storm warnings along parts of Dominican Republic and Haiti—none yet for Florida"
Santo Domingo to Saint Vincent,None in effect for Florida at this time
"25.8N, 83.0W","26.6N, 83.1W"
"24.1N, 82.4W","24.5N, 82.6W"
"22.7N, 81.9W","22.9N, 81.9W"
"21.0N, 79.9W","21.4N, 80.7W"
"19.8N, 77.9W","20.2N, 78.7W"
"18.1N, 75.5W","18.3N, 76.2W"
"17.5N, 73.9W","17.8N, 74.7W"
"16.2N, 69.0W","16.5N, 70.3W"
"14.2N, 63.7W","14.4N, 65.1W"
"12.7N, 58.6W","13.1N, 60.1W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
WNW,WNW
10,14 mph
12,12 mph
14,13 mph
14,14 mph
14,15 mph
14,13 mph
28,23 mph
31,31 mph
30,30 mph
28,28 mph
Florida,Entire west coast of Florida from Bonita Beach through Tampa Bay northward to the Big Bend
Florida,Entire west coast of Florida from Flamingo through Tampa Bay and the Big Bend region
Florida,Entire west coast of Florida from the Florida Keys through the Big Bend region
Florida,Entire Florida west coast from the Keys through the Big Bend
Florida,"Florida west coast, especially the Keys, southwest Florida and the Tampa Bay–Big Bend shoreline"
Florida,Entire west coast of Florida from the Keys northward through the Big Bend is expected to experience impacts
Florida,"Entire west coast of Florida from the Keys northward through the Big Bend, including Tampa Bay/Manatee County shoreline"
Cuba,Florida Keys northward along the entire west coast through the Big Bend region
Jamaica,"Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, and projected Florida west coast from the Keys northward to the Big Bend"
Cuba,"Windward Islands, southern Leeward Islands, Hispaniola, Jamaica, Cuba, and eventually the Florida west coast"
Tampa FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,TAMPA FL
TAMPA FL,VENICE FL
99,97%
82,82%
68,64%
62,58%
48,41%
40,29%
42,37%
38,34%
32,32%
27,31%
61,61%
39,35%
18,18%
17,17%
15,11%
8,8%
9,9%
7,7%
8,8%
8,9%
N/A,0
N/A,9
N/A,36
N/A,48
N/A,96
N/A,72
N/A,120
N/A,96
N/A,96
N/A,120
12,6
N/A,9
N/A,36
N/A,60
N/A,72
N/A,96
N/A,96
N/A,96
N/A,120
N/A,120
N/A,89%
N/A,77%
N/A,47%
N/A,36%
N/A,41%
N/A,29%
N/A,37%
N/A,21%
N/A,17%
N/A,31%
"A. Tampa Port Authority, FL",B.
"A. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",D.
"A. Manatee County Port, FL",A.
"A. Manatee County Port, FL",A.
"C. Manatee County Port, FL",C.
"D. Tampa Port Authority, FL",C.
"B. Manatee County Port, FL",B.
"B. Tampa Port Authority, FL",D.
"B. Manatee County Port, FL",B.
"Egmont Key to the Steinhatchee River, Florida",Entire west coast of Florida from Bonita Beach through Tampa Bay northward to the Big Bend
Egmont Key to the Steinhatchee River,Entire west coast of Florida from Flamingo through Tampa Bay and the Big Bend region
Florida Keys to west coast of Florida,Entire west coast of Florida from the Florida Keys through the Big Bend region
Central and western Cuba,Entire Florida west coast from the Keys through the Big Bend
Central Cuba to the Florida Straits.,"Florida west coast, especially the Keys, southwest Florida and the Tampa Bay–Big Bend shoreline"
Jamaica to eastern Cuba,Entire west coast of Florida from the Keys northward through the Big Bend is expected to experience impacts
Jamaica to portions of eastern Cuba,"Entire west coast of Florida from the Keys northward through the Big Bend, including Tampa Bay/Manatee County shoreline"
Southern coast of Hispaniola to Jamaica.,Florida Keys northward along the entire west coast through the Big Bend region
Eastern Caribbean Sea to Southern Coast of Hispaniola.,"Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, and projected Florida west coast from the Keys northward to the Big Bend"
Windward Islands to southern Leeward Islands.,"Windward Islands, southern Leeward Islands, Hispaniola, Jamaica, Cuba, and eventually the Florida west coast"
C. Category 1,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
C. Category 1,C.
C. Category 1,C.
C. Category 1,C.
"A. Manatee County Port, FL",A.
"D. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",C.
"B. Manatee County Port, FL",B.
"A. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",C.
"C. Manatee County Port, FL",C.
"C. Manatee County Port, FL",C.
"C. Manatee County Port, FL",C.
"C. Tampa Port Authority, FL",A.
Florida coast.,Entire west coast of Florida from Bonita Beach through Tampa Bay northward to the Big Bend
Florida coast.,Entire west coast of Florida from Flamingo through Tampa Bay and the Big Bend region
Florida coast.,Entire west coast of Florida from the Florida Keys through the Big Bend region
Florida coast.,Entire Florida west coast from the Keys through the Big Bend
Florida,"Florida west coast, especially the Keys, southwest Florida and the Tampa Bay–Big Bend shoreline"
Florida,Entire west coast of Florida from the Keys northward through the Big Bend is expected to experience impacts
Florida coast.,"Entire west coast of Florida from the Keys northward through the Big Bend, including Tampa Bay/Manatee County shoreline"
Florida,Florida Keys northward along the entire west coast through the Big Bend region
Florida,"Windward & Leeward Islands, southern Hispaniola, Jamaica, Cuba, and projected Florida west coast from the Keys northward to the Big Bend"
Florida,"Windward Islands, southern Leeward Islands, Hispaniola, Jamaica, Cuba, and eventually the Florida west coast"
9,14
21,24
21,45
45,48
45,60
69,66
48,72
66,96
21,90
21,115
12,16
12,24
33,24
60,12
72,36
72,78
48,84
96,24
96,24
96,130
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
A. 0-12 hours,A.
B. 12-24 Hours,B.
C. 24-48 hours,C.
C. 24-48 hours,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
D. 48 hours or more,D.
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,No
No,Yes
A. 0 hours,A.
B. 0-24 Hours,A.
B. 0-24 Hours,B.
C. 24-48 hours,B.
D. 48 hours or more,C.
D. 48 hours or more,C.
D. 48 hours or more,C.
