response,ground_truth
No.,No
No.,No
No,No
No,No
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
None,None in Florida; watches confined to the Carolinas coast
None,None
None,No watches posted for Florida; watch area begins north of Savannah River.
None,None
Savannah to Little River Inlet,Savannah River GA to Little River Inlet SC under Tropical Storm Warning
Edisto Beach to South Santee River,"Savannah River, GA to Little River Inlet, SC (tropical-storm warning area)"
None,Tropical Storm Warning from Savannah River GA to Little River Inlet SC
None,"Savannah River, GA, to Little River Inlet, SC (tropical storm warning)"
"30.9N, 79.4W","31.0N, 79.5W"
"30.0N, 78.0W","30.3N, 78.5W"
"28.8N, 75.1W","29.0N, 75.9W"
"28.5N, 74.7W","28.5N, 74.7W"
Stationary,Stationary (expected to begin NNW later overnight)
NW,NW
WNW,WNW
WNW,WNW
Stationary,0 mph
14,13 mph
13,12 mph
13,13 mph
South Carolina,Georgia and South Carolina coasts spreading slowly northeastward to North Carolina
South Carolina,Southeastern U.S. coastline from northern Georgia through the Outer Banks of North Carolina
South Carolina,Georgia and Carolinas coasts (Savannah River northward through coastal North Carolina)
South Carolina,"Georgia, South Carolina and southeastern North Carolina coasts"
DAYTONA BEACH,MAYPORT NS FL
DAYTONA BEACH,DAYTONA BEACH FL
Daytona Beach,COCOA BEACH FL
Daytona Beach,DAYTONA BEACH FL
0,5%
0,1%
3,3%
3,6%
0,0%
0,0%
0,<3%
0,0%
N/A,72
N/A,N/A
N/A,72
N/A,48
N/A,
N/A,N/A
N/A,0
N/A,N/A
N/A,2%
N/A,1%
N/A,1%
N/A,6%
"B. Port of Brunswick, GA",D.
"B. Port of Brunswick, GA",C.
"B. Port of Brunswick, GA",A.
"A. Port of Palm Beach District, FL",A.
Savannah River to Little River Inlet South Carolina,Georgia and South Carolina coasts spreading slowly northeastward to North Carolina
Savannah River to Little River Inlet South Carolina,Southeastern U.S. coastline from northern Georgia through the Outer Banks of North Carolina
Savannah River to Little River Inlet South Carolina,Georgia and Carolinas coasts (Savannah River northward through coastal North Carolina)
Savannah River to Little River Inlet South Carolina,"Georgia, South Carolina and southeastern North Carolina coasts"
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
"B. Port of Brunswick, GA",C.
"C. South Jersey Port Corp, NJ",D.
"B. Port of Brunswick, GA",A.
"C. South Jersey Port Corp, NJ",B.
South Carolina,Georgia and South Carolina coasts spreading slowly northeastward to North Carolina
South Carolina,Southeastern U.S. coastline from northern Georgia through the Outer Banks of North Carolina
South Carolina,Georgia and Carolinas coasts (Savannah River northward through coastal North Carolina)
South Carolina,"Georgia, South Carolina and southeastern North Carolina coasts"
12,15
18,15
36,40
45,48
None,0
None,0
None,0
None,18
D. 5 days,D.
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
A. 0 hours,A.
A. 0 hours,A.
A. 0 hours,A.
A. 0 hours,B.
D,D.
D. 48 hours or more,A.
A. 0-12 hours,D.
D,C.
No,No
No,No
No,No
No,No
D. 48 hours or more,B.
D. 48 hours or more,A.
D. 48 hours or more,B.
D. 48 hours or more,B.
12,15
0,15
36,40
36,48
D. None,B.
D. None,D.
D. None,D.
D. None,B.
B. No,B.
B. No,B.
B. No,B.
A. Unlikely,B.
A. Unlikely,B.
B. No,B.
A. Unlikely,B.
A. Unlikely,B.
Life-threatening surf and rip current conditions are possible.,Elevated rip-current risk along southeast Florida beaches.
Life-threatening surf and rip current conditions.,Elevated rip-current risk along local beaches.
Life-threatening surf and rip current conditions.,Elevated surf and rip-current risk along southeast Florida beaches.
"There are no additional hazards mentioned for the Port of Palm Beach District, FL.",Rough surf and dangerous rip currents along the southeast Florida coast
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""54"",
    ""in 24h"": ""58"",
    ""in 48h"": ""59"",
    ""in 72h"": ""60"",
    ""in 96h"": ""61""
  }
}
```","{'in 12h': '1%', 'in 24h': '1%', 'in 48h': '1%', 'in 72h': '2%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""22"",
    ""in 24h"": ""33"",
    ""in 48h"": ""39"",
    ""in 72h"": ""40"",
    ""in 96h"": ""41""
  }
}
```","{'in 12h': '1%', 'in 24h': '1%', 'in 48h': '1%', 'in 72h': '1%', 'in 96h': '1%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 4,
    ""in 24h"": 28,
    ""in 48h"": 41,
    ""in 72h"": 47,
    ""in 96h"": 47
  }
}
```","{'in 12h': '<1%', 'in 24h': '1%', 'in 48h': '2%', 'in 72h': '3%', 'in 96h': '3%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 4,
    ""in 24h"": 28,
    ""in 48h"": 41,
    ""in 72h"": 47,
    ""in 96h"": 47
  }
}
```","{'in 12h': '1%', 'in 24h': '2%', 'in 48h': '1%', 'in 72h': '1%', 'in 96h': '0%'}"
29-05-2016,None
28-05-2016,None
28-05-2016,None
28-05-2016,None
29-05-2016,None
28-05-2016,None
28-05-2016,None
28-05-2016,None
29-05-2016,None
28-05-2016,None
31-05-2016,None
30-05-2016,None
5,0
5,0
5,0
5,0
3,None
2,None
2,None
3,None
None,None
None,None
None,None
None,None
A. None,A.
A. None,A.
A. None,A.
A. None,A.
