response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes.,Yes
Yes.,Yes
B. Tropical Storm,A.
B. Tropical Storm,B.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
B. Tropical Storm,B.
B. Tropical Storm,A.
A. None,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
Aripeka to Indian Pass,"North of Surf City NC to Oregon Inlet, including Pamlico Sound"
Aripeka to Indian Pass,"Marineland, FL to South Santee River, SC (includes Charleston area)"
Aripeka to Indian Pass,Tropical Storm Watch from Marineland FL to Altamaha Sound GA
'Destin' to 'Indian Pass',"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
None,Hurricane Watch: Anclote River to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to the Walton/Bay County line
'None',
None,
None,None
None,None at this time
Indian Pass to Suwannee River,Flagler/Volusia County line FL to Surf City NC (includes entire Georgia and South Carolina coasts)
Destin to Suwannee River,Suwannee River to Destin FL (TS) and Suwannee River to Mexico Beach FL (Hurricane)
Destin to Anclote River,Tropical Storm Warning from Anclote River to the Walton/Bay County line FL; Hurricane Watch from Anclote River to Indian Pass FL
None,None at this time
None,None issued at this time
None,
None,
None,None
None,None at this time
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N (expected to turn NNE soon)
Stationary,N
NNW,W
WNW,NW
NNE,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Florida,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Florida,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
Florida,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Florida,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
Florida,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
Florida,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
CHARLESTON SC,CHARLESTON SC
67,67%
51,51%
35,35%
32,32%
23,23%
22,22%
20,17%
12,12%
10,10%
22,22%
13,13%
8,8%
9,9%
5,5%
5,5%
4,4%
0,0%
0,0%
24,30
36,72
36,72
72,72
72,96
96,96
84,96
120,120
120,108
24,30
36,72
N/A,72
72,72
72,96
72,96
96,96
N/A,N/A
N/A,
67,54%
51,51%
35,35%
32,28%
23,23%
22,12%
20,15%
12,12%
10,8%
"D. Port of Brunswick, GA",C.
"A. Port of Brunswick, GA",B.
"A. Tampa Port Authority, FL",C.
"A. Port of Brunswick, GA",B.
"A. Tampa Port Authority, FL",D.
"C. Port of Brunswick, GA",B.
"A. Tampa Port Authority, FL",C.
"D. Houston Port Authority, TX",A.
"B. Tampa Port Authority, FL",A.
Suwannee River to Mexico Beach,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Suwannee River to Mexico Beach,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Anclote River to Indian Pass,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
Anclote River to Indian Pass,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Anclote River to Indian Pass,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
central and northern Florida to southeastern Georgia,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
North coast of western Cuba to southeastern Gulf of Mexico.,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida Keys to southeastern Gulf of Mexico,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida Keys to Gulf of Mexico,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
"C. Port of Brunswick, GA",B.
"A. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",D.
"D. Port of Brunswick, GA",A.
"A. Tampa Port Authority, FL",B.
"A. Tampa Port Authority, FL",C.
"C. Tampa Port Authority, FL",D.
"D. Tampa Port Authority, FL",C.
"C. Port of Brunswick, GA",A.
Florida,Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Florida,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Florida,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
Florida,"Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Florida,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
Florida,"Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
Florida Coast,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
Florida,Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Florida,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
21,12
45,18
60,24
44,36
45,48
72,63
72,69
72,93
96,96
48,36
48,18
72,60
72,66
72,24
48,96
72,84
96,108
72,108
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
A. 0 hours,B.
B. 12-24 Hours,C.
C. 24-48 hours,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,No
No,No
No,No
B. 0-24 Hours,B.
C. 24-48 hours,C.
C. 24-48 hours,C.
C. 24-48 hours,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
24,12
48,18
48,24
48,36
48,48
48,63
48,69
48,93
48,96
B. Start of heavy rainfall,A.
B. Start of heavy rainfall,A.
D. None,B.
D. None,A.
D. None,A.
D. None,B.
D. None,A.
D. None,A.
D. None,B.
A. Unlikely,C.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,D.
A. Unlikely,D.
D. Possible,B.
D. Possible,D.
A. Unlikely,D.
A. Unlikely,A.
C. Yes,C.
C. Yes,C.
D. Possible,C.
A. Unlikely,C.
A. Unlikely,C.
A. Unlikely,A.
A. Unlikely,D.
"Tornadoes are possible in the Port of Charleston, SC area.",Isolated tornadoes possible Friday into Friday night across eastern South Carolina.
"A tornado or two is possible near the Port of Charleston, SC.",Isolated tornadoes cannot be ruled out Friday; elevated seas and breakers will disrupt vessel movements and port operations.
Isolated tornadoes are possible.,Isolated tornadoes possible in outer rainbands; temporary channel restrictions likely due to heavy rain and gusty winds
"Coastal erosion and rip currents may pose additional hazards at the Port of Charleston, SC.",Rough seas and dangerous rip currents; possible short-lived tornadoes embedded in rain bands.
"Coastal erosion and rip currents could pose additional hazards at the Port of Charleston, SC.",Isolated tornadoes and very rough seas/strong coastal currents during Friday.
"Coastal erosion could be a hazard at the Port of Charleston, SC.",Brief tornadoes/waterspouts are possible in outer rain bands as the center approaches and passes.
