response,ground_truth
Yes.,Yes
Yes.,Yes
No,No
No,No
No.,No
No.,No
No.,No
No.,No
No,No
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
Aripeka to Mexico Beach,"North of Surf City NC to Oregon Inlet, including Pamlico Sound"
Aripeka to Ochlockonee River,Tropical Storm Watch from Marineland FL to South Santee River SC; Hurricane Watch Anclote River to Suwannee River and west of Mexico Beach to Destin FL
Indian Pass to Englewood,Hurricane Watch: Anclote River to Indian Pass FL; Tropical Storm Watch: Marineland FL to Altamaha Sound GA
Aripeka to Indian Pass,"Hurricane Watch: Anclote River to Indian Pass, FL; Tropical Storm Watch: Indian Pass westward to the Walton/Bay County line, FL"
None,Hurricane Watch from Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line FL
None,None issued as of Advisory #7 (interests from central/northern Florida through SE Georgia advised to monitor)
None,None in effect
None,No watches posted as of Advisory #2
None,None
Aripeka to Mexico Beach,Flagler/Volusia County line FL to Surf City NC (Atlantic coast); Suwannee River to Mexico Beach FL (Gulf coast – Hurricane Warning)
Destin to Suwannee River,Hurricane Warning Suwannee River to Mexico Beach FL; Tropical Storm Warning Anclote River to Suwannee River and west of Mexico Beach to Destin FL
Destin to Indian Pass,Tropical Storm Warning: Anclote River to Walton/Bay County line FL
Indian Pass to Englewood,None in force – only watches at this time
None,None issued in this advisory
None,None issued
None,None in effect
None,No warnings posted as of Advisory #2
None,None
"27.4N, 86.0W","27.8N, 85.6W"
"25.8N, 87.0W","26.0N, 87.0W"
"24.6N, 88.0W","24.7N, 88.0W"
"24.3N, 87.8W","24.3N, 88.1W"
"24.0N, 87.2W","24.4N, 87.3W"
"23.9N, 85.5W","23.8N, 86.6W"
"23.6N, 84.3W","23.6N, 84.3W"
"23.4N, 82.7W","23.4N, 82.7W"
"23.7N, 81.7W","23.7N, 81.7W"
NNE,NNE
NNE,N
Stationary,N
NNW,W
WNW,NW
WNW,W
W,W
W,W
W,W
14,14 mph
10,6 mph
Stationary,2 mph
2,1 mph
7,5 mph
7,7 mph
7,7 mph
9,9 mph
9,9 mph
Florida,"Florida Gulf Coast, southeast Georgia, the Carolinas, and the Mid-Atlantic coast including Virginia, Maryland, Delaware, New Jersey and southern New England"
Florida,Entire U.S. East Coast from the Florida Big Bend through the Carolinas to the Mid-Atlantic and southern New England
Florida,"Gulf coast of FL, then the U.S. east coast from GA through the Carolinas and offshore Mid-Atlantic/New England waters"
Florida,"Florida Gulf coast, then the coasts of GA, SC, NC and portions of the Mid-Atlantic (including Delmarva) as the cyclone moves offshore"
Florida,"Florida Gulf coast first, then the U.S. East Coast from northern Florida through the Carolinas and offshore of the Mid-Atlantic"
Florida,"Florida Big Bend, southeastern Georgia, coastal South and North Carolina, then western Atlantic well east of Mid-Atlantic"
Florida,"Florida Big Bend, Georgia and South Carolina coasts, Outer Banks, and adjacent Atlantic waters"
Florida,"Florida Keys and Gulf Coast, then the coasts of GA, SC, NC and the Mid-Atlantic offshore waters"
Florida,"Florida Gulf Coast from the Keys to the Big Bend, then Georgia–South Carolina–North Carolina Atlantic coasts"
WASHINGTON DC,BALTIMORE MD
Annapolis MD,BALTIMORE MD
WASHINGTON DC,BALTIMORE MD
BALTIMORE MD,BALTIMORE MD
PAX RIVER NAS,PAX RIVER NAS
PAX RIVER NAS,"PAX RIVER NAS, MD"
Ocean City MD,OCEAN CITY MD
OCEANA NAS VA,OCEANA NAS VA
ELIZABETH CTY,ELIZABETH CITY NC
10,10%
17,17%
7,7%
6,6%
0,3%
3,3%
0,4%
0,3%
0,3%
0,<3%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
0,0%
60,60
12,72
N/A,120
96,120
N/A,120
N/A,96
N/A,120
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,
N/A,0
N/A,
N/A,
N/A,N/A
N/A,
N/A,
10,4%
15,10%
5,7%
6,6%
N/A,3%
N/A,2%
N/A,4%
N/A,3%
N/A,3%
"C. Tampa Port Authority, FL",D.
"D. Tampa Port Authority, FL",B.
"C. Tampa Port Authority, FL",D.
"D. Tampa Port Authority, FL",A.
"D. Tampa Port Authority, FL",B.
"C. Port of Brunswick, GA",A.
"B. Tampa Port Authority, FL",A.
"C. Tampa Port Authority, FL",B.
"D. Tampa Port Authority, FL",A.
Suwannee River to Mexico Beach,"Florida Gulf Coast, southeast Georgia, the Carolinas, and the Mid-Atlantic coast including Virginia, Maryland, Delaware, New Jersey and southern New England"
Suwannee River to Mexico Beach,Entire U.S. East Coast from the Florida Big Bend through the Carolinas to the Mid-Atlantic and southern New England
Anclote River to Indian Pass,"Gulf coast of FL, then the U.S. east coast from GA through the Carolinas and offshore Mid-Atlantic/New England waters"
Anclote River to Indian Pass,"Florida Gulf coast, then the coasts of GA, SC, NC and portions of the Mid-Atlantic (including Delmarva) as the cyclone moves offshore"
Anclote River to Indian Pass,"Florida Gulf coast first, then the U.S. East Coast from northern Florida through the Carolinas and offshore of the Mid-Atlantic"
Central and northern Florida to southeastern Georgia.,"Florida Big Bend, southeastern Georgia, coastal South and North Carolina, then western Atlantic well east of Mid-Atlantic"
North coast of western Cuba to southeastern Gulf of Mexico.,"Florida Big Bend, Georgia and South Carolina coasts, Outer Banks, and adjacent Atlantic waters"
Florida Keys to southeastern Gulf of Mexico,"Florida Keys and Gulf Coast, then the coasts of GA, SC, NC and the Mid-Atlantic offshore waters"
Florida Keys to Gulf of Mexico,"Florida Gulf Coast from the Keys to the Big Bend, then Georgia–South Carolina–North Carolina Atlantic coasts"
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
A. Tropical Depression,A.
"C. Tampa Port Authority, FL",D.
"A. Port of Brunswick, GA",D.
"A. Tampa Port Authority, FL",D.
"C. Port of Brunswick, GA",B.
"C. Tampa Port Authority, FL",D.
"B. Tampa Port Authority, FL",D.
"C. Tampa Port Authority, FL",D.
"B. Tampa Port Authority, FL",C.
"A. Port of Brunswick, GA",C.
Florida,"Florida Gulf Coast, southeast Georgia, the Carolinas, and the Mid-Atlantic coast including Virginia, Maryland, Delaware, New Jersey and southern New England"
Florida Coast,Entire U.S. East Coast from the Florida Big Bend through the Carolinas to the Mid-Atlantic and southern New England
Florida,"Gulf coast of FL, then the U.S. east coast from GA through the Carolinas and offshore Mid-Atlantic/New England waters"
Florida,"Florida Gulf coast, then the coasts of GA, SC, NC and portions of the Mid-Atlantic (including Delmarva) as the cyclone moves offshore"
Florida,"Florida Gulf coast first, then the U.S. East Coast from northern Florida through the Carolinas and offshore of the Mid-Atlantic"
Florida,"Florida Big Bend, southeastern Georgia, coastal South and North Carolina, then western Atlantic well east of Mid-Atlantic"
Florida,"Florida Big Bend, Georgia and South Carolina coasts, Outer Banks, and adjacent Atlantic waters"
Florida,"Florida Keys and Gulf Coast, then the coasts of GA, SC, NC and the Mid-Atlantic offshore waters"
Florida,"Florida Gulf Coast from the Keys to the Big Bend, then Georgia–South Carolina–North Carolina Atlantic coasts"
21,12
21,18
48,24
44,36
45,48
72,60
84,69
None,72
72,72
72,36
None,96
96,80
96,72
72,120
96,96
None,96
None,144
None,48
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 4 days,D.
C. 4 days,D.
C. 13-24 hours,C.
C. 13-24 hours,C.
A. 0 hours,B.
A. 0 hours,B.
A. 0 hours,B.
A. 0 hours,B.
A. 0 hours,B.
A. 0 hours,B.
A. 0 hours,A.
C. 24-48 hours,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
D. 48 hours or more,D.
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
No,No
C. 24-48 hours,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
48,12
48,18
48,24
48,36
48,48
48,60
48,69
48,72
48,72
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,B.
D. Possible,B.
D. Possible,D.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,B.
Tornadoes are possible in the area.,Dangerous rip currents and elevated waves along Atlantic approaches; minor coastal flooding possible at high tide.
