response,ground_truth
No.,Yes
No,Yes
No.,Yes
No,No
Yes.,Yes
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
"'South Santee River, SC' to 'Cape Lookout, NC'",Edisto Beach SC to south of South Santee River SC
Edisto Beach to Cape Lookout,Edisto Beach SC to south of South Santee River SC
'South Santee River' to 'Cape Lookout',Edisto Beach SC to south of South Santee River SC (Tropical Storm Watch)
Edisto Beach to South Santee River,"Edisto Beach, SC to Cape Lookout, NC (tropical-storm watch)"
None,Edisto Beach SC to Cape Lookout NC under Tropical Storm Watch
South Santee River to Surf City,South Santee River SC to Cape Lookout NC
South Santee River to Surf City,South Santee River SC to Cape Lookout NC
Edisto Beach to South Santee River,South Santee River SC to Cape Lookout NC (Tropical Storm Warning)
Edisto Beach to South Santee River,None in effect
None,None in effect
"32.7N, 78.1W","32.9N, 78.3W"
"32.2N, 77.5W","32.4N, 77.6W"
"31.6N, 77.3W","31.7N, 77.4W"
"31.5N, 77.7W","31.6N, 77.8W"
"31.5N, 77.6W","31.5N, 77.6W"
NW,NW
NNW,NNW
Stationary,Stationary (expected to turn NNW overnight)
NNW,NNW
N,N
3,3 mph
3,3 mph
Stationary,0 mph
2,1 mph
2,2 mph
North Carolina,"Coastline from South Carolina through North Carolina, then northward into Virginia, Maryland, Delaware and southern New Jersey"
North Carolina,"Coasts of SC and NC first, then VA–MD–DE shores as the cyclone lifts northward"
Carolinas,"coasts of South Carolina, North Carolina, and portions of the Mid-Atlantic and New England in the 5-day cone"
South Carolina,"Coast from South Carolina through North Carolina, then the Mid-Atlantic and southern New England waters as the system lifts northeastward"
South Carolina,"Entire Southeast and Mid-Atlantic shoreline from Georgia through Maine, including Delaware Bay region"
PHILADELPHIA PA,DOVER DE
Dover DE,DOVER DE
Philadelphia PA,DOVER DE
Atlantic City,DOVER DE
Atlantic City,DOVER DE
11,11%
0,9%
9,10%
7,7%
7,7%
0,0%
0,0%
0,0%
0,0%
0,0%
N/A,72
N/A,72
N/A,120
N/A,120
N/A,120
N/A,N/A
36,N/A
N/A,0
N/A,Not Applicable
N/A,
N/A,11%
N/A,8%
N/A,10%
N/A,4%
N/A,7%
"A. Port of Brunswick, GA",C.
"A. Port of Brunswick, GA",C.
"B. Port of Brunswick, GA",A.
"C. Port of Brunswick, GA",D.
"C. Port of Brunswick, GA",B.
South Santee River South Carolina to Cape Lookout,"Coastline from South Carolina through North Carolina, then northward into Virginia, Maryland, Delaware and southern New Jersey"
South Santee River South Carolina to Cape Lookout.,"Coasts of SC and NC first, then VA–MD–DE shores as the cyclone lifts northward"
South Santee River South Carolina to Cape Lookout North Carolina,"coasts of South Carolina, North Carolina, and portions of the Mid-Atlantic and New England in the 5-day cone"
Edisto Beach South Carolina to Cape Lookout North Carolina,"Coast from South Carolina through North Carolina, then the Mid-Atlantic and southern New England waters as the system lifts northeastward"
Edisto Beach South Carolina to Cape Lookout North Carolina,"Entire Southeast and Mid-Atlantic shoreline from Georgia through Maine, including Delaware Bay region"
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
"D. Port of Brunswick, GA",B.
"B. Port of Brunswick, GA",C.
"C. Port of Brunswick, GA",D.
"D. Port of Brunswick, GA",B.
"C. Port of Brunswick, GA",A.
South Carolina,"Coastline from South Carolina through North Carolina, then northward into Virginia, Maryland, Delaware and southern New Jersey"
North Carolina,"Coasts of SC and NC first, then VA–MD–DE shores as the cyclone lifts northward"
South Carolina,"coasts of South Carolina, North Carolina, and portions of the Mid-Atlantic and New England in the 5-day cone"
South Carolina,"Coast from South Carolina through North Carolina, then the Mid-Atlantic and southern New England waters as the system lifts northeastward"
South Carolina,"Entire Southeast and Mid-Atlantic shoreline from Georgia through Maine, including Delaware Bay region"
18,18
18,24
42,36
36,42
72,45
48,12
48,84
72,72
72,96
96,120
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
D. 5 days,D.
A. 0 hours,B.
A. 0 hours,C.
A. 0 hours,B.
A. 0 hours,B.
B. 1-12 Hours,C.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
No,No
No,No
No,No
No,No
No,No
D. 48 hours or more,C.
D. 48 hours or more,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
12,18
24,24
36,36
48,42
48,45
D. None,B.
D. None,B.
D. None,B.
D. None,B.
D. None,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,A.
Swells generated by the storm could cause life-threatening surf and rip currents.,High surf and dangerous rip currents along Delaware beaches early next week.
Swells generated by the storm may cause life-threatening surf and rip currents.,Dangerous rip currents and elevated surf along Delaware and New Jersey beaches beginning late weekend
Swells generated by the storm could cause life-threatening surf and rip currents.,High surf and dangerous rip currents along nearby Atlantic beaches beginning late weekend.
Surf and rip currents.,Dangerous rip currents and rough surf along Delaware beaches early next week.
Surf and rip currents.,Dangerous rip currents and rough seas affecting vessel approaches to Delaware Bay beginning this weekend.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""77"",
    ""in 24h"": ""80"",
    ""in 48h"": ""80"",
    ""in 72h"": ""80"",
    ""in 96h"": ""80""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '9%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""54"",
    ""in 24h"": ""62"",
    ""in 48h"": ""64"",
    ""in 72h"": ""65"",
    ""in 96h"": ""65""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '1%', 'in 72h': '8%', 'in 96h': '9%'}"
