response,ground_truth
Yes.,Yes
A. None,A.
A. None,A.
None,"Anclote River to Englewood, Florida (west coast)"
None,None
"27.7N, 83.5W","27.7N, 83.5W"
E,E
8,8 mph
Florida,"West-central Florida coast, then the Florida east coast and offshore waters northward to the Georgia and Carolina coasts"
SURF CITY NC,BALD HEAD ISL
3,3%
0,0%
N/A,72
N/A,
N/A,3%
"C. Tampa Port Authority, FL",A.
Anclote River to Englewood Florida,"West-central Florida coast, then the Florida east coast and offshore waters northward to the Georgia and Carolina coasts"
A. Tropical Depression,A.
"D. Tampa Port Authority, FL",B.
Florida,"West-central Florida coast, then the Florida east coast and offshore waters northward to the Georgia and Carolina coasts"
6,12
66,60
C. 4 days,D.
A. 0 hours,B.
D,D.
No,No
D. 48 hours or more,C.
36,12
D. None,B.
A. Unlikely,B.
A. Unlikely,B.
"There are no additional hazards specified for Wilmington, NC, excluding rainfall, wind, and storm surge.",Rough seas and higher than normal swells could affect vessel approaches and pilot boarding areas.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 17,
    ""in 24h"": 19,
    ""in 48h"": 19,
    ""in 72h"": 19,
    ""in 96h"": 19
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '2%', 'in 72h': '1%', 'in 96h': '0%'}"
02-08-2017,7/28/2017
02-08-2017,7/29/2017
03-08-2017,7/28/2017
5,3
2,2.0
5,1.0
A. None,B.
