response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
Port Mansfield to San Luis Pass,Hurricane Watch south of Port Mansfield to the Mouth of the Rio Grande; Storm Surge Watch south of Port Mansfield to the Mouth of the Rio Grande
Port Mansfield to San Luis Pass,No coastal watches in effect for the stretch including Freeport (nearest watch begins north of San Luis Pass).
Port Mansfield to San Luis Pass,Hurricane Watch from north of Port Mansfield to San Luis Pass; Storm Surge Watch from Port Mansfield to High Island
Port Mansfield to San Luis Pass,Hurricane Watch from north of Port Mansfield to San Luis Pass; Storm Surge Watch from Port Mansfield to High Island
Port Mansfield to Sargent,Tropical Storm Warning north of Sargent to High Island; Storm Surge Warning Port Mansfield to High Island; Hurricane Warning Port Mansfield to Sargent
Port Mansfield to Matagorda,"Tropical Storm Warning from Matagorda to High Island, TX; Storm Surge Warning from Port Mansfield to San Luis Pass, TX."
Port Mansfield to San Luis Pass,None issued yet (warnings likely Thursday)
Port Mansfield to Matagorda,None issued at this advisory
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NNW,NW
N,NNW
NW,NW
NW,NW
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Texas,"Middle and upper Texas coast from Port Mansfield through High Island, including Freeport and the Houston–Galveston area"
Texas,"Middle and upper Texas coast from Port Mansfield northward past Galveston, including Brazoria County where Port Freeport is located"
Texas,Texas coast Port Mansfield to High Island and adjacent southwest Louisiana coastline
Texas,"Middle and upper Texas coast from Port Mansfield to High Island, extending into southwest Louisiana"
FREEPORT TX,FREEPORT TX
FREEPORT TX,FREEPORT TX
FREEPORT TX,FREEPORT TX
FREEPORT TX,FREEPORT TX
92,92%
72,72%
44,44%
49,49%
54,54%
24,24%
14,14%
14,14%
12,18
36,120
60,120
36,120
24,24
60,120
72,120
72,120
92,49%
72,72%
44,44%
49,49%
"B. Port Freeport, TX",B.
"C. Port Freeport, TX",C.
"B. Port Freeport, TX",B.
"D. Port Freeport, TX",D.
Corpus Christi to Port O'Connor,"Middle and upper Texas coast from Port Mansfield through High Island, including Freeport and the Houston–Galveston area"
Middle Texas coast,"Middle and upper Texas coast from Port Mansfield northward past Galveston, including Brazoria County where Port Freeport is located"
Port Mansfield to High Island,Texas coast Port Mansfield to High Island and adjacent southwest Louisiana coastline
Port Mansfield to High Island,"Middle and upper Texas coast from Port Mansfield to High Island, extending into southwest Louisiana"
C. Category 1,C.
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
"B. Port Freeport, TX",B.
"A. Houston Port Authority, TX",C.
"C. Port Freeport, TX",C.
"A. Port Freeport, TX",A.
Texas coast.,"Middle and upper Texas coast from Port Mansfield through High Island, including Freeport and the Houston–Galveston area"
Texas coast.,"Middle and upper Texas coast from Port Mansfield northward past Galveston, including Brazoria County where Port Freeport is located"
Texas coast,Texas coast Port Mansfield to High Island and adjacent southwest Louisiana coastline
Texas coast.,"Middle and upper Texas coast from Port Mansfield to High Island, extending into southwest Louisiana"
21,24
37,36
60,48
57,48
60,96
21,72
60,96
72,N/A
D. 5 days,D.
C. 4 days,D.
C. 4 days,D.
D. 5 days,D.
D. 24 hours or more,D.
D. 24 hours or more,D.
D. 24 hours or more,D.
D. 24 hours or more,C.
C. 24-48 hours,B.
C. 24-48 hours,D.
D,D.
C. 24-48 hours,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B. 0-24 Hours,A.
B. 0-24 Hours,B.
B. 0-24 Hours,C.
B. 0-24 Hours,C.
24,24
36,36
48,48
48,48
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,B.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
"Life-threatening surf and rip current conditions, and isolated tornadoes are possible.",Dangerous surf and rip currents; isolated tornadoes Friday into the weekend.
Life-threatening surf and rip current conditions.,Dangerous surf and rip currents; prolonged periods of heavy rainfall could lead to port-area road closures and possible river flooding inland.
Life-threatening surf and rip current conditions.,Dangerous surf and rip currents; prolonged flooding due to slow storm motion; potential power outages and port access road closures.
Life-threatening surf and rip current conditions.,"Dangerous surf, rip currents, and potential for prolonged flooding because the system may stall near the coast."
"```json
{
  ""gale_probability"": {
    ""in 12h"": 66,
    ""in 24h"": 83,
    ""in 48h"": 98,
    ""in 72h"": 99,
    ""in 96h"": 99
  }
}
```","{'in 12h': '16%', 'in 24h': '65%', 'in 48h': '75%', 'in 72h': '90%', 'in 96h': '92%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""32"",
    ""in 24h"": ""82"",
    ""in 48h"": ""92"",
    ""in 72h"": ""94"",
    ""in 96h"": ""95""
  }
}
```","{'in 12h': '<1%', 'in 24h': '8%', 'in 48h': '54%', 'in 72h': '64%', 'in 96h': '70%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 10,
    ""in 48h"": 24,
    ""in 72h"": 35,
    ""in 96h"": 47
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '18%', 'in 72h': '35%', 'in 96h': '38%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""9"",
    ""in 48h"": ""44"",
    ""in 72h"": ""21"",
    ""in 96h"": ""3""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '22%', 'in 72h': '41%', 'in 96h': '44%'}"
25-08-2017,8/24/2017
25-08-2017,8/24/2017
25-08-2017,8/24/2017
25-08-2017,8/24/2017
25-08-2017,8/30/2017
25-08-2017,8/30/2017
25-08-2017,8/30/2017
25-08-2017,8/30/2017
30-08-2017,8/24/2017
29-08-2017,8/24/2017
28-08-2017,8/24/2017
28-08-2017,8/24/2017
Five,7
Five,7
Five,7
5,7
5,1.0
5,1.0
3,1.0
5,1.0
92,1.0
72,1.0
44,1.0
49,1.0
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
