response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
Port Mansfield to Sargent,None in effect for upper Texas coast at this time
'Port Mansfield' to 'Matagorda',None in upper Texas coast at this time
Port Mansfield to San Luis Pass,North of San Luis Pass to High Island TX (Storm Surge Watch)
Port Mansfield to San Luis Pass,North of San Luis Pass to High Island (includes Beaumont/Port Arthur area); Storm Surge Watch Port Mansfield to High Island; Hurricane Watch Port Mansfield to San Luis Pass
'Port Mansfield' to 'San Luis Pass',"Port Mansfield to High Island (storm surge) and Boca De Catan, MX–Port Mansfield & north of San Luis Pass–High Island (tropical-storm)"
Port Mansfield to Sargent,Tropical Storm Warning – north of Sargent to High Island TX; Storm Surge Warning – Port Mansfield to High Island TX
Port Mansfield to Sargent,Storm Surge Warning Port Mansfield to High Island; Tropical Storm Warning north of Sargent to High Island (includes Beaumont/Port Arthur area)
Port Mansfield to Matagorda,North of Matagorda to High Island TX (Tropical Storm Warning)
Port Mansfield to San Luis Pass,None at this time
Port Mansfield to Matagorda,None issued as of Advisory 12
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Texas,middle and upper Texas coast from Port Mansfield through High Island and into southwestern Louisiana
Texas,Middle and upper Texas coast from Port Mansfield through High Island and into southwest Louisiana
Texas,"Middle and upper Texas coast, including High Island–Port Arthur area and southwestern Louisiana shoreline"
Texas,Entire Texas coast from Port Mansfield through High Island and into far SW Louisiana
Texas,Central and upper Texas coast and adjacent southwest Louisiana coastline
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
PORT ARTHUR TX,PORT ARTHUR TX
41,41%
57,56%
36,36%
28,28%
29,30%
6,6%
14,20%
0,4%
0,4%
0,6%
N/A,120
N/A,72
N/A,36
N/A,72
N/A,60
N/A,96
N/A,120
N/A,72
N/A,96
N/A,120
N/A,41%
N/A,13%
N/A,11%
N/A,10%
N/A,9%
"C. Houston Port Authority, TX",D.
"A. Houston Port Authority, TX",C.
"A. Houston Port Authority, TX",D.
"B. Houston Port Authority, TX",C.
"D. Houston Port Authority, TX",A.
Middle Texas coast,middle and upper Texas coast from Port Mansfield through High Island and into southwestern Louisiana
Middle Texas coast,Middle and upper Texas coast from Port Mansfield through High Island and into southwest Louisiana
Middle Texas coast,"Middle and upper Texas coast, including High Island–Port Arthur area and southwestern Louisiana shoreline"
Port Mansfield to High Island,Entire Texas coast from Port Mansfield through High Island and into far SW Louisiana
Port Mansfield to High Island,Central and upper Texas coast and adjacent southwest Louisiana coastline
D. Category 2,D.
C. Category 1,C.
B. Tropical Storm,B.
A. Tropical Depression,A.
A. Tropical Depression,A.
"B. Beaumont, TX",B.
"D. Beaumont, TX",D.
"A. Beaumont, TX",A.
"D. Beaumont, TX",D.
"C. Beaumont, TX",C.
Texas coast,middle and upper Texas coast from Port Mansfield through High Island and into southwestern Louisiana
Texas coast.,Middle and upper Texas coast from Port Mansfield through High Island and into southwest Louisiana
Texas coast.,"Middle and upper Texas coast, including High Island–Port Arthur area and southwestern Louisiana shoreline"
Texas coast,Entire Texas coast from Port Mansfield through High Island and into far SW Louisiana
Texas coast.,Central and upper Texas coast and adjacent southwest Louisiana coastline
24,16
21,24
21,36
60,48
57,45
72,96
None,96
None,96
None,96
96,≈96
D. 5 days,D.
D. 5 days,D.
C. 4 days,D.
C. 4 days,D.
D. 5 days,D.
C. 13-24 hours,D.
D. 24 hours or more,D.
C. 13-24 hours,D.
D. 24 hours or more,C.
D. 24 hours or more,D.
B. 12-24 Hours,D.
D. 48 hours or more,D.
C. 24-48 hours,C.
D,D.
D,D.
No,Yes
No,No
No,No
No,No
No,No
B. 0-24 Hours,A.
D. 48 hours or more,B.
C. 24-48 hours,B.
D. 48 hours or more,C.
D. 48 hours or more,C.
12,16
36,24
36,36
48,48
48,45
A. Arrival of tropical storm-force winds,B.
A. Arrival of tropical storm-force winds,B.
A. Arrival of tropical storm-force winds,A.
B. Start of heavy rainfall,B.
B. Start of heavy rainfall,A.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
C. Yes,C.
Tornadoes and life-threatening surf and rip current conditions are possible.,Tornadic super-cells in outer rainbands; prolonged port disruption due to widespread flooding of access roads and rail corridors.
"Life-threatening surf and rip current conditions, and isolated tornadoes.","Isolated tornadoes, dangerous surf and rip currents that can disrupt port operations."
Life-threatening surf and rip current conditions.,Prolonged flooding due to the storm stalling near the coast; dangerous rip currents and rough seas that will disrupt marine and port operations.
Life-threatening surf and rip current conditions.,"Dangerous surf and rip currents, potential prolonged river/industrial canal flooding that could disrupt port operations."
Life-threatening surf and rip current conditions.,Dangerous surf and rip currents; prolonged flooding due to slow storm motion could disrupt port access roads and rail links.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""99"",
    ""in 24h"": ""99"",
    ""in 48h"": ""99"",
    ""in 72h"": ""99"",
    ""in 96h"": ""99""
  }
}
```","{'in 12h': '2%', 'in 24h': '4%', 'in 48h': '7%', 'in 72h': '12%', 'in 96h': '9%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""99"",
    ""in 24h"": ""99"",
    ""in 48h"": ""98"",
    ""in 72h"": ""96"",
    ""in 96h"": ""94""
  }
}
```","{'in 12h': '1%', 'in 24h': '3%', 'in 48h': '22%', 'in 72h': '35%', 'in 96h': '48%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""32"",
    ""in 24h"": ""82"",
    ""in 48h"": ""92"",
    ""in 72h"": ""94"",
    ""in 96h"": ""95""
  }
}
```","{'in 12h': '0%', 'in 24h': '3%', 'in 48h': '23%', 'in 72h': '29%', 'in 96h': '34%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 10,
    ""in 48h"": 24,
    ""in 72h"": 18,
    ""in 96h"": 8
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '10%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""1"",
    ""in 24h"": ""9"",
    ""in 48h"": ""44"",
    ""in 72h"": ""21"",
    ""in 96h"": ""3""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '7%', 'in 72h': '9%', 'in 96h': '5%'}"
25-08-2017,8/29/2017
25-08-2017,8/29/2017
25-08-2017,8/29/2017
25-08-2017,8/29/2017
25-08-2017,8/29/2017
26-08-2017,9/1/2017
26-08-2017,9/1/2017
26-08-2017,9/1/2017
25-08-2017,9/1/2017
26-08-2017,9/1/2017
30-08-2017,8/29/2017
29-08-2017,8/29/2017
29-08-2017,8/29/2017
28-08-2017,8/29/2017
28-08-2017,8/29/2017
Five,11
Five,11
Five,11
5,11
5,11
5,8.0
5,8.0
5,8.0
5,8.0
5,8.0
41,0.931673992
56,0.931673992
None,0.931673992
44,0.931673992
30,0.931673992
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
