response,ground_truth
No,No
No.,Yes
No,No
No,Yes
No.,Yes
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
Port Mansfield to Sargent,"Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, MX; Storm-Surge Watch south of Port Mansfield TX to the Mouth of the Rio Grande"
Port Mansfield to San Luis Pass,"Hurricane Watch south of Port Mansfield TX to the Mouth of the Rio Grande; Tropical Storm Watch south of the Mouth of the Rio Grande to Boca de Catan, Mexico"
Port Mansfield to San Luis Pass,Hurricane and tropical-storm watches extend south of Port Mansfield TX to the Mouth of the Rio Grande
Port Mansfield to San Luis Pass,Storm Surge Watch: Port Mansfield TX to High Island TX.  Hurricane Watch: north of Port Mansfield to San Luis Pass TX.  Tropical Storm Watch: Boca De Catan MX to Port Mansfield TX and north of San Luis Pass to High Island TX.
Port Mansfield to San Luis Pass,"Texas coast from Boca De Catan (Mexico) to High Island, TX including Port Mansfield–San Luis Pass (hurricane, tropical-storm, and storm-surge watches)"
Port Mansfield to Sargent,Hurricane Warning Port Mansfield to Sargent TX; Tropical Storm Warning north of Sargent to High Island TX; Storm-Surge Warning Port Mansfield to High Island TX
Port Mansfield to Sargent,Hurricane Warning Port Mansfield to Sargent TX; Tropical Storm Warning north of Sargent to High Island TX; Storm Surge Warning Port Mansfield to High Island TX
Port Mansfield to Matagorda,Hurricane and storm-surge warnings from Port Mansfield to San Luis Pass TX; tropical-storm warning northward to High Island TX
Port Mansfield to San Luis Pass,None at this time (warnings expected Thursday for portions of TX coast)
Port Mansfield to San Luis Pass,None at this time
"25.9N, 95.4W","26.7N, 96.0W"
"24.7N, 93.9W","25.2N, 94.6W"
"23.2N, 92.8W","24.0N, 93.3W"
"21.6N, 92.6W","21.9N, 92.6W"
"21.5N, 92.5W","21.5N, 92.5W"
NW,NW
NNW,NW
N,NNW
NW,NW
NW,NW
9,10 mph
10,10 mph
10,10 mph
2,2 mph
9,9 mph
Texas,Texas coast from Port Mansfield to High Island with secondary impacts extending into southwest and south-central Louisiana
Texas,"Texas coast from Port Mansfield to High Island, with surge 1–3 ft extending eastward to Morgan City, LA"
Texas,"Primary impact zone is the central–southern Texas coast; secondary impacts (rain, minor surge, swell) expected along the Louisiana coast"
Texas,Texas coast from Port Mansfield to High Island and portions of southwestern Louisiana
Texas,Middle and upper Texas coast and southwestern Louisiana (with effects extending into southeast Louisiana)
New Orleans LA,NEW ORLEANS LA
New Orleans LA,NEW ORLEANS LA
Baton Rouge LA,NEW ORLEANS LA
Buras LA,NEW ORLEANS LA
Baton Rouge LA,NEW ORLEANS LA
7,7%
16,16%
4,4%
7,7%
11,11%
5,0%
3,3%
0,0%
0,<1%
0,0%
120,120
120,120
N/A,≈96 h
120,120
120,120
N/A,0
N/A,120
N/A,N/A
N/A,
N/A,
7,7%
16,16%
4,1%
7,7%
11,11%
"D. Houston Port Authority, TX",A.
"B. Houston Port Authority, TX",C.
"B. Houston Port Authority, TX",A.
"A. Houston Port Authority, TX",C.
"D. Houston Port Authority, TX",B.
Middle Texas coast,Texas coast from Port Mansfield to High Island with secondary impacts extending into southwest and south-central Louisiana
Middle Texas coast,"Texas coast from Port Mansfield to High Island, with surge 1–3 ft extending eastward to Morgan City, LA"
Middle Texas coast,"Primary impact zone is the central–southern Texas coast; secondary impacts (rain, minor surge, swell) expected along the Louisiana coast"
Port Mansfield to High Island,Texas coast from Port Mansfield to High Island and portions of southwestern Louisiana
Port Mansfield to High Island,Middle and upper Texas coast and southwestern Louisiana (with effects extending into southeast Louisiana)
D. Category 2,D.
