response,ground_truth
No,Yes
No,No
A. None,A.
A. None,A.
A. None,A.
A. None,A.
Punta Herrero to Rio Lagartos,Hurricane Watch possible later for parts of the Yucatan Peninsula (not issued yet for U.S. coast)
Punta Herrero to Rio Lagartos,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
Punta Herrero to Rio Lagartos,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
Punta Herrero to Rio Lagartos,"Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras (Tropical Storm Warning)"
"12.5N, 82.5W","12.6N, 82.6W"
"12.2N, 81.9W","12.2N, 81.9W"
NW,NW
NW,NW
7,7 mph
7,7 mph
Yucatán Peninsula,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Yucatán Peninsula,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
WILMINGTON NC,WALLOPS CDA
Atlantic City NJ,DANVILLE VA
0,3%
0,<3%
0,0%
0,<1%
N/A,120
N/A,120
N/A,N/A
N/A,N/A
N/A,3%
N/A,<3%
"D. Tampa Port Authority, FL",B.
"C. Tampa Port Authority, FL",A.
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Sandy Bay Sirpi Nicaragua to Punta Castilla Honduras,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
A. Tropical Depression,A.
A. Tropical Depression,A.
"A. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",D.
Florida Panhandle,"Central America (Nicaragua, Honduras) Thursday–Friday, then northern Gulf Coast (LA/MS/AL/FL) this weekend and interior Southeast to Mid-Atlantic early next week"
Florida Panhandle,"Coasts of Nicaragua, Honduras, western Caribbean, Yucatan Peninsula, U.S. Gulf Coast states from Louisiana eastward, eventually inland Southeast and Mid-Atlantic"
45,72
21,93
None,120
None,140
D. 5 days,D.
D. 5 days,D.
A. 0 hours,C.
A. 0 hours,B.
D. 48 hours or more,D.
D. 48 hours or more,D.
No,No
No,No
D. 48 hours or more,D.
D. 48 hours or more,D.
0,72
0,93
D. None,B.
D. None,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,A.
A. Unlikely,A.
"Swells and rip currents could pose hazards at Philadelphia Regional Port, PA.",Minor river or urban flooding and brief marine restrictions on Delaware River traffic due to reduced visibility and squally bands
Coastal flooding and hazardous marine conditions.,Minor river or urban flooding cannot be ruled out if heavier rain bands move over the Delaware Valley.
"```json
{
  ""gale_probability"": {
    ""in 12h"": 46,
    ""in 24h"": 48,
    ""in 48h"": 48,
    ""in 72h"": 48,
    ""in 96h"": 48
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""36"",
    ""in 24h"": ""43"",
    ""in 48h"": ""43"",
    ""in 72h"": ""43"",
    ""in 96h"": ""43""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
09-10-2017,None
09-10-2017,None
09-10-2017,None
09-10-2017,None
10-10-2017,None
09-10-2017,None
Five,0
Five,0
3,None
5,None
None,None
None,None
A. None,A.
A. None,A.
