response,ground_truth
Yes.,Yes
Yes.,No
Yes.,No
Yes.,Yes
Yes.,Yes
Yes.,No
No.,No
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
None,"Barbados, Martinique, St. Martin, St. Barthelemy, Saba, St. Eustatius, and St. Maarten"
None,"Tropical-storm watch from Barbados northward to St. Maarten, including St. Lucia, Martinique, St. Martin, St. Barthelemy, Saba and St. Eustatius"
None,"Hurricane Watch for Dominica; Tropical-Storm Watch for Barbados, St. Lucia, Martinique, Guadeloupe, St. Martin and St. Barthelemy"
None,"Hurricane Watch for Dominica; Tropical Storm Watch for Martinique, Guadeloupe, St. Martin, St. Barthelemy"
None,
None,None
None,No coastal watches in effect anywhere in the basin
Dominica to Guadeloupe,Dominica and Guadeloupe
None,Tropical-storm warning for Dominica and Guadeloupe
None,None issued yet
None,None at this time
None,
None,None
None,No coastal warnings in effect anywhere in the basin
"13.7N, 56.0W","14.0N, 56.8W"
"12.7N, 52.7W","12.9N, 53.5W"
"11.1N, 49.8W","11.7N, 50.3W"
"10.6N, 47.8W","10.6N, 48.3W"
"10.6N, 45.1W","10.6N, 45.1W"
"10.3N, 42.8W","10.3N, 42.8W"
"10.2N, 41.4W","10.2N, 41.4W"
WNW,WNW
WNW,WNW
WNW,WNW
W,W
W,W
W,W
W,W
20,20 mph
17,17 mph
14,14 mph
15,15 mph
14,14 mph
16,16 mph
16,16 mph
Lesser Antilles,"Lesser Antilles, U.S. Virgin Islands, Puerto Rico"
Lesser Antilles,Lesser Antilles from Barbados through Guadeloupe; system then moves south of the U.S. Virgin Islands and Puerto Rico
Lesser Antilles,Southern Leeward and northern Windward Islands Sunday–Monday; eastern Caribbean south of Puerto Rico Monday night–Tuesday
Lesser Antilles,"Lesser Antilles from Guadeloupe south to St. Lucia, then portions of Puerto Rico and Hispaniola as the system tracks WNW"
Lesser Antilles,"Lesser Antilles from Guadeloupe southward to St. Lucia, with eastern Caribbean islands in the path thereafter"
Lesser Antilles,Windward and Leeward Islands from Barbados northward to Guadeloupe
Lesser Antilles,Expected to pass well south of the Lesser Antilles; no direct impact to Puerto Rico
Ponce PR,SAN JUAN PR
Ponce PR,SAN JUAN PR
Aguadilla PR,SAN JUAN PR
Aguadilla PR,SAN JUAN PR
SAINT CROIX,SAINT CROIX
ANTIGUA,ANTIGUA
"San Juan, PR",None
5,5%
3,3%
7,7%
22,22%
0,3%
0,<1%
0,0%
0,0%
0,0%
0,0%
3,3%
0,<1%
0,<1%
0,0%
12,36
48,48
72,72
24,96
N/A,72
N/A,N/A
N/A,
N/A,
N/A,N/A
N/A,0
N/A,72
N/A,N/A
N/A,N/A
N/A,
5,5%
3,3%
7,7%
22,22%
N/A,3%
N/A,0%
N/A,0%
"D. San Juan, PR",D.
"C. San Juan, PR",C.
"A. San Juan, PR",A.
"D. San Juan, PR",D.
"D. San Juan, PR",D.
"A. San Juan, PR",A.
"C. San Juan, PR",C.
Lesser Antilles to Virgin Islands.,"Lesser Antilles, U.S. Virgin Islands, Puerto Rico"
Lesser Antilles to Puerto Rico,Lesser Antilles from Barbados through Guadeloupe; system then moves south of the U.S. Virgin Islands and Puerto Rico
Lesser Antilles,Southern Leeward and northern Windward Islands Sunday–Monday; eastern Caribbean south of Puerto Rico Monday night–Tuesday
Lesser Antilles,"Lesser Antilles from Guadeloupe south to St. Lucia, then portions of Puerto Rico and Hispaniola as the system tracks WNW"
Lesser Antilles,"Lesser Antilles from Guadeloupe southward to St. Lucia, with eastern Caribbean islands in the path thereafter"
East of the Lesser Antilles,Windward and Leeward Islands from Barbados northward to Guadeloupe
East of the Lesser Antilles,Expected to pass well south of the Lesser Antilles; no direct impact to Puerto Rico
B. Tropical Storm,B.
B. Tropical Storm,B.
C. Category 1,C.
C. Category 1,C.
C. Category 1,C.
B. Tropical Storm,B.
A. Tropical Depression,A.
"C. San Juan, PR",C.
"C. San Juan, PR",C.
"B. San Juan, PR",B.
"A. San Juan, PR",A.
"C. San Juan, PR",C.
"C. San Juan, PR",C.
"D. San Juan, PR",D.
Lesser Antilles,"Lesser Antilles, U.S. Virgin Islands, Puerto Rico"
Lesser Antilles,Lesser Antilles from Barbados through Guadeloupe; system then moves south of the U.S. Virgin Islands and Puerto Rico
Lesser Antilles,Southern Leeward and northern Windward Islands Sunday–Monday; eastern Caribbean south of Puerto Rico Monday night–Tuesday
Lesser Antilles,"Lesser Antilles from Guadeloupe south to St. Lucia, then portions of Puerto Rico and Hispaniola as the system tracks WNW"
Lesser Antilles,"Lesser Antilles from Guadeloupe southward to St. Lucia, with eastern Caribbean islands in the path thereafter"
Lesser Antilles,Windward and Leeward Islands from Barbados northward to Guadeloupe
Lesser Antilles,Expected to pass well south of the Lesser Antilles; no direct impact to Puerto Rico
21,33
None,24
57,48
66,66
72,48
None,72
None,
21,45
48,36
72,84
72,24
72,84
72,0
None,0
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
D. 5 days,D.
C. 4 days,D.
C. 4 days,D.
C. 4 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
B. 1-12 Hours,B.
C. 13-24 hours,B.
A. 0 hours,B.
A. 0 hours,A.
A. 0 hours,A.
C. 24-48 hours,C.
C. 24-48 hours,C.
D,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,A.
D. 48 hours or more,A.
No,No
No,No
No,No
Yes,Yes
No,No
No,No
No,No
C. 24-48 hours,C.
C. 24-48 hours,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,A.
D. 48 hours or more,A.
24,33
48,24
36,48
48,66
48,48
72,72
72,
B. Start of heavy rainfall,A.
B. Start of heavy rainfall,B.
D. None,A.
D. None,B.
D. None,B.
D. None,B.
D. None,D.
A. Unlikely,A.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
B. No,B.
A. Unlikely,D.
A. Unlikely,B.
A. Unlikely,B.
D. Possible,D.
A. Unlikely,B.
A. Unlikely,B.
A. Unlikely,B.
Potential hazards could include flooding and landslides.,Rough seas and hazardous marine conditions for harbor and pilot operations
"No additional hazards are mentioned for San Juan, PR, excluding rainfall, wind, and storm surge.",Rough seas and rip currents along south-facing coasts beginning late Sunday night into Monday
"There are no additional hazards mentioned for San Juan, PR, excluding rainfall, wind, and storm surge.",None
"There are no additional hazards specified for San Juan, PR, in the advisory.",Isolated flash flooding and minor mud-slides in mountainous areas if heavy rain bands persist.
Hazards such as flooding and landslides could occur.,Increased surf and rip currents along the south and southeast coasts beginning late Sunday.
"There are no additional hazards mentioned for San Juan, PR.",None
"There are no additional hazards expected for San Juan, PR.",None
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""24"",
    ""in 24h"": ""24"",
    ""in 48h"": ""24"",
    ""in 72h"": ""24"",
    ""in 96h"": ""24""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '5%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 19,
    ""in 72h"": 22,
    ""in 96h"": 22
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '3%', 'in 72h': '3%', 'in 96h': '3%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 46,
    ""in 72h"": 53,
    ""in 96h"": 8
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '7%', 'in 96h': '7%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 6,
    ""in 72h"": 65,
    ""in 96h"": 0
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '18%', 'in 96h': '4%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""38"",
    ""in 96h"": ""38""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '3%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""0"",
    ""in 24h"": ""0"",
    ""in 48h"": ""0"",
    ""in 72h"": ""12"",
    ""in 96h"": ""12""
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
