response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,No
Yes.,No
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
A. None,A.
B. Tropical Storm,A.
C. Hurricane,A.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B. Tropical Storm,B.
B. Tropical Storm,B.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
Edisto Beach to South Santee River,None in Virginia (Hurricane Watch remains only Edisto Beach SC to South Santee River SC)
"'Edisto Beach, SC' to 'Duck, NC'",No watch presently in effect for the Virginia coast; the nearest Storm Surge Watch is from north of Duck NC to the NC/VA border.
Edisto Beach to South Santee River,None
Edisto Beach to South Santee River,"North of the North Carolina/Virginia border to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
Edisto Beach to South Santee River,"North of the North Carolina/Virginia border to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
Edisto Beach to North Carolina-Virginia border,"North of the North Carolina/Virginia border to Cape Charles Light, including Chesapeake Bay south of New Point Comfort"
Edisto Beach to North Carolina-Virginia border,"Hurricane and Storm Surge Watches from Edisto Beach, SC to the North Carolina–Virginia border (Pamlico and Albemarle Sounds included)"
Edisto Beach to North Carolina-Virginia border,None issued yet
None,None issued yet; interests from South Carolina to Virginia advised to monitor
None,None issued yet
South Santee River to Duck,"North of Duck NC to Cape Charles Light VA, including lower Chesapeake Bay south of New Point Comfort"
Edisto Beach to South Santee River,"North of Duck NC to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
South Santee River to Duck,"North of Duck NC to Cape Charles Light VA, including Chesapeake Bay south of New Point Comfort"
South Santee River to Duck,North of Duck NC to the North Carolina/Virginia border
Edisto Beach to South Santee River,Hurricane Warning from South Santee River SC to Duck NC; Tropical Storm Warning north of Duck NC to the NC/VA border; Storm Surge Warning South Santee River SC to Duck NC
Edisto Beach to North Carolina-Virginia border,Hurricane Warning from South Santee River SC to Duck NC (south of the port)
Edisto Beach to South Santee River,None yet (expected later for Carolinas)
Edisto Beach to South Santee River,None issued yet
None,None issued yet
None,None issued yet
"34.1N, 77.2W","34.2N, 77.4W"
"33.6N, 76.0W","33.7N, 76.2W"
"32.5N, 74.3W","32.8N, 74.7W"
"30.4N, 71.8W","30.9N, 72.5W"
"28.5N, 69.5W","29.0N, 70.1W"
"27.1N, 66.2W","27.5N, 67.1W"
"25.9N, 62.4W","26.4N, 64.1W"
"25.0N, 60.0W","25.4N, 61.1W"
"24.6N, 57.7W","24.9N, 58.9W"
"24.4N, 56.3W","24.4N, 57.0W"
WNW,WNW
NW,WNW
NW,NW
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
W,WNW
W,W
6,6 mph
10,5 mph
17,15 mph
16,16 mph
17,17 mph
17,17 mph
13,15 mph
13,13 mph
7,9 mph
6,7 mph
North Carolina,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
North Carolina,"Coasts of North Carolina, South Carolina, and southeastern Virginia (including Hampton Roads and the lower Chesapeake Bay)"
North Carolina,"Entire North Carolina coast, South Carolina coast north of South Santee River, and southeastern Virginia including lower Chesapeake Bay"
North Carolina,"South Santee River SC northward to Duck NC, with effects extending into the lower Chesapeake Bay and southeastern Virginia"
North Carolina,"Entire coast from South Carolina through southern Virginia, including Albemarle and Pamlico Sounds and lower Chesapeake Bay"
North Carolina,"Coasts of South Carolina, North Carolina, and southeastern Virginia including the lower Chesapeake Bay"
North Carolina,"South Carolina, North Carolina, and eventually southeastern Virginia coasts"
North Carolina,South Carolina through Virginia and portions of the Mid-Atlantic coastline
Carolinas,Southeastern and mid-Atlantic coastline from South Carolina through Virginia
North Carolina,Southeastern and mid-Atlantic U.S. coastline from South Carolina through Virginia
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK NAS VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
NORFOLK VA,NORFOLK VA
15,19%
28,36%
38,38%
35,34%
54,54%
61,61%
70,70%
53,53%
55,55%
49,49%
19,2%
5,<3%
38,2%
3,3%
11,11%
19,19%
29,29%
16,16%
19,19%
18,18%
12,6
N/A,18
N/A,96
N/A,96
N/A,72
96,120
96,60
96,120
N/A,120
120,120
N/A,
N/A,N/A
N/A,N/A
N/A,72
N/A,72
96,120
96,96
96,120
N/A,120
N/A,120
15,7%
36,19%
38,38%
35,34%
54,29%
62,61%
71,36%
53,53%
55,55%
49,49%
"D. Virginia, VA, Port of",D.
"B. Port of Brunswick, GA",D.
"C. Virginia, VA, Port of",C.
"C. Virginia, VA, Port of",C.
"D. Port of Brunswick, GA",B.
"C. Virginia, VA, Port of",C.
"B. Virginia, VA, Port of",B.
"A. Port of Brunswick, GA",B.
"C. Virginia, VA, Port of",C.
"B. Port of Brunswick, GA",C.
extreme southeastern North Carolina to extreme eastern South Carolina,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
North Carolina to South Carolina,"Coasts of North Carolina, South Carolina, and southeastern Virginia (including Hampton Roads and the lower Chesapeake Bay)"
North Carolina to South Carolina,"Entire North Carolina coast, South Carolina coast north of South Santee River, and southeastern Virginia including lower Chesapeake Bay"
North Carolina to South Carolina,"South Santee River SC northward to Duck NC, with effects extending into the lower Chesapeake Bay and southeastern Virginia"
North Carolina to South Carolina,"Entire coast from South Carolina through southern Virginia, including Albemarle and Pamlico Sounds and lower Chesapeake Bay"
North Carolina to South Carolina,"Coasts of South Carolina, North Carolina, and southeastern Virginia including the lower Chesapeake Bay"
North Carolina to South Carolina,"South Carolina, North Carolina, and eventually southeastern Virginia coasts"
South Carolina to North Carolina,South Carolina through Virginia and portions of the Mid-Atlantic coastline
southeastern coast of the United States,Southeastern and mid-Atlantic coastline from South Carolina through Virginia
Bermuda to the southeastern coast of the United States.,Southeastern and mid-Atlantic U.S. coastline from South Carolina through Virginia
C. Category 1,C.
C. Category 1,D.
D. Category 2,D.
E. Category 3,E.
F. Category 4,F.
F. Category 4,F.
F. Category 4,F.
F. Category 4,F.
D. Category 2,D.
C. Category 1,C.
"A. Port of Brunswick, GA",C.
"D. Port of Brunswick, GA",B.
"B. Virginia, VA, Port of",B.
"C. Port of Brunswick, GA",A.
"D. Port of Brunswick, GA",A.
"D. Port of Brunswick, GA",A.
"A. Virginia, VA, Port of",A.
"B. Virginia, VA, Port of",B.
"D. Virginia, VA, Port of",D.
"D. Virginia, VA, Port of",D.
North Carolina coast.,"Eastern North Carolina, southeastern Virginia, and portions of the mid-Atlantic coast"
North Carolina coast.,"Coasts of North Carolina, South Carolina, and southeastern Virginia (including Hampton Roads and the lower Chesapeake Bay)"
North Carolina coast.,"Entire North Carolina coast, South Carolina coast north of South Santee River, and southeastern Virginia including lower Chesapeake Bay"
North Carolina coast.,"South Santee River SC northward to Duck NC, with effects extending into the lower Chesapeake Bay and southeastern Virginia"
North Carolina coast.,"Entire coast from South Carolina through southern Virginia, including Albemarle and Pamlico Sounds and lower Chesapeake Bay"
North Carolina coast.,"Coasts of South Carolina, North Carolina, and southeastern Virginia including the lower Chesapeake Bay"
North Carolina coast.,"South Carolina, North Carolina, and eventually southeastern Virginia coasts"
North Carolina coast.,South Carolina through Virginia and portions of the Mid-Atlantic coastline
North Carolina coast.,Southeastern and mid-Atlantic coastline from South Carolina through Virginia
North Carolina coast.,Southeastern and mid-Atlantic U.S. coastline from South Carolina through Virginia
6,6
20,18
48,27
42,39
64,55
56,60
84,60
96,72
108,72
96,96
None,96
None,120
None,96
None,96
None,0
None,96
72,120
72,96
96,144
None,120
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 13-24 hours,D.
C. 13-24 hours,D.
C. 13-24 hours,D.
C. 13-24 hours,C.
D. 24 hours or more,D.
D. 24 hours or more,C.
D. 24 hours or more,C.
D. 24 hours or more,C.
D. 24 hours or more,C.
D. 24 hours or more,C.
A. 0-12 hours,B.
C. 24-48 hours,B.
C. 24-48 hours,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
No,No
No,No
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
No,Yes
A. 0 hours,A.
B. 0-24 Hours,A.
B. 0-24 Hours,A.
B. 0-24 Hours,B.
C. 24-48 hours,C.
D. 48 hours or more,C.
D. 48 hours or more,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
24,6
12,18
12,27
36,39
48,55
48,60
72,60
48,72
72,72
96,96
