response,ground_truth
Yes.,No
Yes.,No
No.,No
No.,Yes
Yes.,Yes
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
"Grand Isle, LA to Okaloosa-Walton County Line, FL",Storm Surge Watch west of Shell Beach LA to the Mouth of the Mississippi River and east of Dauphin Island AL to Navarre FL
'Louisiana' to 'Florida',Storm-surge watch west of Shell Beach LA to the Mouth of the Mississippi River and east of Dauphin Island AL to Navarre FL
'Golden Beach' to 'Shell Beach',Storm-surge watch west of Shell Beach LA to the mouth of the Mississippi River and east of the MS-AL border to Navarre FL; Hurricane watch mouth of Pearl River to AL-FL border
'MS/AL border' to 'LA',"Alabama-Florida border westward to east of Morgan City, LA including Lake Pontchartrain and Lake Maurepas"
None,"Alabama–Florida border westward to east of Morgan City, Louisiana, including Lake Pontchartrain and Lake Maurepas"
Louisiana to Florida Panhandle,Hurricane Warning from the Mouth of the Pearl River to the Alabama-Florida border; Tropical Storm Warning west of the Mouth of the Pearl River to Grand Isle LA and from the Alabama-Florida border to the Okaloosa–Walton County line FL
Morgan City to Okaloosa-Walton County Line,Hurricane warning Mouth of the Pearl River MS to the Alabama-Florida border; Tropical-storm warning west of Pearl River to east of Morgan City LA and eastward to the Okaloosa-Walton County line FL
Florida-Alabama border to the Mouth of the Pearl River,"Storm-surge warning Shell Beach LA to MS-AL border; Tropical-storm warning Golden Beach FL to Bonita Beach FL, Florida Keys, and from Okaloosa-Walton County line FL westward to east of Morgan City LA"
Morgan City to the Alabama-Florida border,Storm Surge Watch from the Mississippi-Alabama border westward to the Mouth of the Mississippi River
None,None at this time
"28.1N, 86.2W","28.9N, 87.3W"
"26.7N, 83.4W","27.3N, 85.0W"
"25.1N, 80.7W","25.8N, 81.9W"
"23.0N, 77.8W","24.0N, 79.4W"
"22.7N, 77.3W","22.7N, 77.3W"
WNW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
15,15 mph
17,17 mph
17,16 mph
15,15 mph
15,15 mph
Gulf Coast,"north-central Gulf Coast including southeast Louisiana, Mississippi, Alabama, and the western Florida Panhandle"
