response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
C. Hurricane,A.
B. Tropical Storm,B.
B. Tropical Storm,B.
C. Hurricane,B.
C. Hurricane,B.
B. Tropical Storm,B.
B. Tropical Storm,A.
B. Tropical Storm,A.
'None',"West of Shell Beach to the Mouth of the Mississippi River, and east of Dauphin Island to Navarre"
'AL/FL border' to 'Mouth of the Pearl River',Storm Surge Watch: west of Shell Beach to the Mouth of the Mississippi River (includes Plaquemines Parish shoreline)
'Golden Beach' to 'Morgan City',West of Shell Beach to the Mouth of the Mississippi River
'None',"Alabama-Florida border westward to east of Morgan City, Louisiana, including Lake Pontchartrain and Lake Maurepas"
'Chokoloskee' to 'Bonita Beach',"Alabama-Florida border westward to east of Morgan City, LA, including Lake Pontchartrain and Lake Maurepas"
Louisiana to Florida Panhandle,"West of the Mouth of the Pearl River to Grand Isle, including Lake Pontchartrain and Lake Maurepas"
Morgan City to Okaloosa/Walton County Line,"Tropical Storm Warning: west of the Mouth of the Pearl River to east of Morgan City LA, including Lake Pontchartrain and Lake Maurepas"
Florida-Alabama border to the Mouth of the Pearl River,"Okaloosa-Walton County Line westward to east of Morgan City, LA, including Lake Pontchartrain and Lake Maurepas"
Morgan City to the Alabama-Florida border,None
None,None
"28.1N, 86.2W","28.9N, 87.3W"
"26.7N, 83.4W","27.3N, 85.0W"
"25.1N, 80.7W","25.8N, 81.9W"
"23.0N, 77.8W","24.0N, 79.4W"
"22.7N, 77.3W","22.7N, 77.3W"
WNW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
15,15 mph
17,17 mph
17,16 mph
15,15 mph
15,15 mph
Gulf Coast,"North-central Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and the western Florida Panhandle"
Gulf Coast,North-central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Northern Gulf Coast,Central Gulf Coast from southeastern Louisiana through coastal Mississippi and Alabama
Gulf Coast,Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
Louisiana,central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
BURAS LA,BURAS LA
12,12%
26,26%
42,42%
38,37%
34,34%
26,<3%
4,4%
11,11%
10,10%
8,8%
12,12
24,36
48,72
72,72
72,72
N/A,
N/A,36
36,72
72,72
72,72
12,12%
26,26%
42,42%
38,37%
34,29%
"D. Plaquemines Port District, LA",D.
"B. Plaquemines Port District, LA",B.
"C. Tampa Port Authority, FL",D.
"A. Tampa Port Authority, FL",B.
"B. Tampa Port Authority, FL",D.
Mouth of the Pearl River to the Alabama-Florida Border,"North-central Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and the western Florida Panhandle"
Mouth of the Pearl River to the Alabama-Florida Border,North-central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Central Gulf Coast,Central Gulf Coast from southeastern Louisiana through coastal Mississippi and Alabama
Mississippi-Alabama border to the Mouth of the Mississippi River,Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
"Alabama-Florida border to east of Morgan City, Louisiana",central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
A. Tropical Depression,B.
"A. Plaquemines Port District, LA",A.
"A. Plaquemines Port District, LA",A.
"D. Plaquemines Port District, LA",D.
"B. Plaquemines Port District, LA",B.
"C. Plaquemines Port District, LA",C.
Gulf Coast.,"North-central Gulf Coast from southeast Louisiana eastward through Mississippi, Alabama and the western Florida Panhandle"
Gulf Coast,North-central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
Mississippi Coast,Central Gulf Coast from southeastern Louisiana through coastal Mississippi and Alabama
Louisiana coast.,Central Gulf Coast from southeast Louisiana through Mississippi and Alabama
Louisiana,central Gulf Coast from southeast Louisiana through coastal Mississippi and Alabama
18,10
22,18
42,36
42,40
45,48
18,20
24,24
18,60
None,24
72,0
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
C. 4 days,D.
D. 5 days,D.
D. 24 hours or more,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
A. 0-12 hours,B.
C. 24-48 hours,C.
C. 24-48 hours,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
No,No
No,Yes
No,Yes
Yes,Yes
Yes,Yes
B. 0-24 Hours,A.
B. 0-24 Hours,B.
C. 24-48 hours,C.
C. 24-48 hours,C.
C. 24-48 hours,C.
15,10
14,18
36,36
48,40
48,48
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
C. Start of storm surge,A.
A. Arrival of tropical storm-force winds,A.
D. Possible,B.
C. Yes,D.
D. Possible,C.
D. Possible,D.
A. Unlikely,D.
C. Yes,B.
D. Possible,C.
"A few tornadoes are possible near the coasts, including the Plaquemines Port District, LA.",Dangerous rip currents and a low tornado risk in squalls.
"Coastal flooding and dangerous waves could impact the Plaquemines Port District, LA.",Dangerous seas/waves in approaches and lower Mississippi River passes; isolated tornadoes in rain bands
A couple of tornadoes are possible.,Isolated tornadoes and dangerous marine/river currents likely during closest approach.
Coastal flooding and large waves could impact the area.,Rough seas and elevated wave action may disrupt vessel traffic and cargo operations.
"Coastal erosion may be a concern for the Plaquemines Port District, LA.",Rough seas and dangerous rip currents will hamper vessel operations; possible river rises and minor flooding in low-lying port facilities.
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""99"",
    ""in 24h"": ""99"",
    ""in 48h"": ""99"",
    ""in 72h"": ""99"",
    ""in 96h"": ""99""
  }
}
```","{'in 12h': '7%', 'in 24h': '5%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""98"",
    ""in 24h"": ""98"",
    ""in 48h"": ""98"",
    ""in 72h"": ""98"",
    ""in 96h"": ""98""
  }
}
```","{'in 12h': '0%', 'in 24h': '16%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": ""66"",
    ""in 24h"": ""71"",
    ""in 48h"": ""72"",
    ""in 72h"": ""57"",
    ""in 96h"": ""0""
  }
}
```","{'in 12h': '<1%', 'in 24h': '<1%', 'in 48h': '36%', 'in 72h': '42%', 'in 96h': '42%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 13,
    ""in 24h"": 16,
    ""in 48h"": 48,
    ""in 72h"": 51,
    ""in 96h"": 42
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '17%', 'in 72h': '37%', 'in 96h': '37%'}"
"```json
{
  ""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 0,
    ""in 48h"": 0,
    ""in 72h"": 30,
    ""in 96h"": 30
  }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '3%', 'in 72h': '32%', 'in 96h': '34%'}"
04-09-2018,9/2/2018
04-09-2018,9/2/2018
04-09-2018,9/2/2018
04-09-2018,9/2/2018
04-09-2018,9/2/2018
04-09-2018,9/4/2018
05-09-2018,9/4/2018
05-09-2018,9/4/2018
04-09-2018,9/4/2018
05-09-2018,9/4/2018
06-09-2018,9/2/2018
06-09-2018,9/2/2018
06-09-2018,9/2/2018
07-09-2018,9/2/2018
07-09-2018,9/2/2018
5,3
5,3
5,3
5,3
5,3
3,1.0
3,1.0
3,1.0
3,1.0
3,1.0
12,0.48790082
26,0.48790082
42,0.48790082
38,0.48790082
34,0.48790082
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. 10-20 vessels,D.
C. X-RAY,D.
C. X-RAY,D.
C. X-RAY,D.
C. X-RAY,D.
