response,ground_truth
No.,No
No.,No
No.,No
No.,No
No.,No
No.,No
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
'Intracoastal City' to 'Grand Isle',"Hurricane and tropical-storm watches extend from the mouth of the Mississippi River westward to Cameron, LA and eastward to the MS/AL border"
'Intracoastal City' to 'Shell Beach',Hurricane Watch from the Mouth of the Mississippi River to Grand Isle LA and Intracoastal City to Cameron LA; Tropical Storm Watch east of the Mouth of the Pearl River to the MS/AL border
'East of Cameron' to 'Mouth of the Pearl River',Hurricane Watch: Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron. Tropical Storm Watch: east of the Mouth of the Pearl River to the Mississippi/Alabama border.
'East of Cameron' to 'Mouth of the Pearl River',Hurricane and tropical-storm watches extend from the mouth of the Mississippi River eastward to the Mississippi/Alabama border and inland lakes around New Orleans
'East of the Mouth of the Pearl River' to 'Morgan City',"Hurricane Watch from the mouth of the Mississippi River westward to Cameron, LA; Tropical Storm Watch from the mouth of the Mississippi River northward to the mouth of the Pearl River; Storm Surge Watch from the mouth of the Pearl River westward to Intracoastal City, LA"
'Mouth of the Mississippi River' to 'Morgan City',"Mouth of the Mississippi River to Morgan City, LA (Tropical Storm and Storm-Surge Watches)"
Intracoastal City to Grand Isle,"Hurricane and storm-surge warnings from Intracoastal City to Grand Isle, LA with tropical-storm warnings eastward to the mouth of the Pearl River"
Intracoastal City to Grand Isle,"Hurricane Warning Intracoastal City to Grand Isle LA; Tropical Storm Warning Mouth of the Pearl River to Grand Isle LA, Lake Pontchartrain/Maurepas, and Intracoastal City to Cameron LA; Storm-Surge Warning Intracoastal City to Biloxi MS incl. Lake Pontchartrain"
Marsh Island to the Mouth of the Pearl River,"Hurricane Warning: Intracoastal City to Grand Isle. Tropical Storm Warning: Mouth of the Pearl River to Grand Isle, Lake Pontchartrain and Lake Maurepas (incl. New Orleans), Intracoastal City to Cameron."
Intracoastal City to Shell Beach,Storm-surge and tropical-storm warnings in effect along the Louisiana coast from the mouth of the Pearl River to Morgan City
Intracoastal City to Shell Beach,None in effect
Intracoastal City to Shell Beach,None
"28.7N, 90.9W","28.6N, 91.0W"
"28.1N, 90.2W","28.2N, 90.4W"
"27.8N, 89.3W","27.9N, 89.4W"
"27.5N, 88.2W","27.8N, 88.7W"
"28.1N, 87.4W","27.7N, 88.0W"
"28.5N, 86.4W","28.5N, 86.4W"
WNW,WNW
WNW,WNW
W,W
W,W
WSW,WSW
WSW,WSW
6,3 mph
5,5 mph
5,3 mph
5,5 mph
8,9 mph
8,8 mph
Louisiana,Central and north-central Gulf Coast from southeast Texas eastward to Alabama
