response,ground_truth
No,No
NO,No
No,No
No,No
Yes,No
NO,No
C,A.
B,A.
C,A.
C,A.
B,A.
C,A.
B,A.
B,A.
C,A.
C,A.
B,A.
B,A.
**Florida Keys** to **Miami-Dade County**,Hurricane Watch Hallandale Beach–Boca Raton FL and Lake Okeechobee; Storm Surge Watch Ochlockonee River–Indian Pass FL and N Palm Beach–Hallandale Beach FL; Tropical Storm Watch south of Hallandale Beach to north of Ocean Reef FL.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) watch are:

**Tropical Storm Watch:**
Jacksonville Beach, FL to Flagler Beach, FL

And for Hurricane watch:

**Hurricane Watch:**
Flagler Beach, FL to Edisto Beach, SC",Tropical Storm Watch is in effect from south of Hallandale Beach FL around the Florida Keys and along the west coast to the Ochlockonee River FL.
**Warning**: Strong winds and heavy rain expected!,Hurricane Watch: Hallandale Beach FL to Boca Raton FL and Flagler/Volusia Co. line FL to Ponte Vedra Beach FL; Tropical Storm Watch: Altamaha Sound GA to Savannah River GA and south of Hallandale Beach FL to north of Ocean Reef FL; north of Bonita Beach FL to the Ochlockonee River FL
Fort Lauderdale to West Palm Beach,Hallandale Beach FL to north of Ocean Reef; Volusia/Brevard County line to Hallandale Beach under Hurricane Watch
"Key West, FL to Cape Hatteras, NC","Hurricane Watch from Volusia/Brevard County line FL southward to Hallandale Beach FL, including Lake Okeechobee; Storm Surge Watch from Altamaha Sound GA to Hallandale Beach FL"
Miami to West Palm Beach,"Northwestern Bahamas (Andros, New Providence, Eleuthera, Abacos, Berry, Grand Bahama, Bimini)"
"Based on the provided Track Forecast Cone from National Hurricane Center, I can see that:

""Port Aransas to Freeport""","Hurricane Warning Abacos, Berry Is., Grand Bahama; Boca Raton–Flagler/Volusia Co. line FL.  Tropical Storm Warning Bimini; Hallandale Beach FL–South Santee River SC; north of Bonita Beach–Indian Pass FL.  Storm Surge Warning North Palm Beach FL–Altamaha Sound GA, St. Johns River, Anclote River–Ochlockonee River FL."
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Cape Lookout North Carolina to Duck North Carolina","Hurricane Warning from Boca Raton FL to Flagler/Volusia County line FL; Tropical Storm Warning Hallandale Beach FL to Altamaha Sound GA and NW Bahamas; Storm Surge Warning North Palm Beach FL to Altamaha Sound GA, including St. Johns River."
"[img-0]... (no visible track forecast cone)

**Answer:** None","Hurricane Warning: Boca Raton FL to Flagler/Volusia Co. line FL and portions of the north-western Bahamas; Tropical Storm Warning: Hallandale Beach FL to Boca Raton FL, Flagler/Volusia Co. line FL to Altamaha Sound GA, Lake Okeechobee, Andros, New Providence, Eleuthera"
