response,ground_truth
YES,No
Yes,No
YES,No
YES,No
Yes,Yes
YES,Yes
B,A.
C,A.
B,A.
B,A.
C. Hurricane,A.
B,A.
B,A.
B,A.
B,A.
C,A.
C,A.
C,A.
Hernandez to Tampico,Turks and Caicos Islands
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm Watch are:

Tampa to Englewood",Dominican Republic entire north and east coast; Turks and Caicos Islands
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm Watch are:

Key West, FL to Englewood, FL

And for Hurricane Watch:

Englewood, FL to Flagler Beach, FL",Dominican Republic north and east coasts; Turks and Caicos Islands
"West Palm Beach, FL to Flagler Beach, FL",Dominican Republic north and east coast from Haiti border eastward to Isla Saona; Turks and Caicos Islands
"**Miami** to **Key West**, Florida",Haiti entire south coast and Dominican Republic south coast (Isla Saona westward to Haiti border)
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) watch are:

Miami Beach to Englewood, FL

And under Hurricane watch are:

Tampa Bay, FL to Miami Beach, FL",Haiti entire south coast and Dominican Republic south coast eastward to Isla Saona
Florida Keys to Key West Florida,Entire Dominican Republic coast and Haiti south coast
"According to the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Fort Pierce to Flagler Beach",Dominican Republic entire south coast; Haiti south coast from Anse d'Hainault to the Dominican Republic border
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane warning are:

Palm Bay to Deerfield Beach to Boynton Beach.

(Note: The actual image is not provided, but based on the general format, this would be the answer)",Dominican Republic entire south coast; Haiti entire south coast
"Based on the Track Forecast Cone image, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warnings are:

San Luis to Grand Isle

Please note that this information is based solely on the provided Track Forecast Cone figure.",Dominican Republic south coast from Haiti border eastward to Isla Saona; Haiti south coast from Anse d'Hainault eastward to the Dominican Republic border
"Based on the Track Forecast Cone from National Hurricane Center, I can see that:

Boca Raton to Flagler Beach",None in effect
Cape Verde to Grand Bahama Island,None
"24.5N, 85.2W","16.0N, 71.4W"
"23.8N, 84.1W","14.6N, 70.7W"
"20.5N, 82.1W","14.3N, 70.1W"
"25.5N, 82.2W","15.1N, 69.6W"
"22.5N, 83.9W","14.8N, 67.8W"
"25.5N, 80.8W","14.6N, 67.1W"
