response,ground_truth
NO,No
No,No
No,No
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane Watch are:

Miami Beach to West Palm Beach Florida to Venezuela",None
[Location: Puerto Rico] to [Location: Dominican Republic],None issued
Tampa Bay to Englewood,None
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Warning are:

Key West, FL to Englewood, FL
And under Hurricane Warning are:

Tampa Bay, FL to Suwannee River, FL",None
"As a cyclone and port operations analyst, I've analyzed the Track Forecast Cone from National Hurricane Center. Based on the figure, the coastal area that is under the Tropical Storm (TS) and Hurricane warning is:

Palm Bay to Englewood, FL

Please note that only these locations are under TS and Hurricane warnings.",None issued
"Based on the Track Forecast Cone from National Hurricane Center, I see that the coastal areas under the Tropical Storm Warning are:

Key West FL to Dry Tortugas FL
and under the Hurricane Warning:

Grand Cayman Island

Please note that these locations may be subject to change as the storm's track and intensity evolve.",None
"28.2N, 84.5W","41.4N, 61.3W"
"24.5N, 84.1W","38.9N, 64.9W"
"23.7N, 80.2W","37.4N, 68.1W"
WNW,NE
WNW,ENE
WNW,NE
30,21 mph
50,20 mph
40,15 mph
Florida,Atlantic Canada coast from Nova Scotia to Newfoundland
Florida,"Open Atlantic waters east of the Mid-Atlantic, southeastern New England offshore waters, Nova Scotia, and Newfoundland"
Florida,"Offshore waters east of the Mid-Atlantic, Cape Cod to Nova Scotia and Newfoundland"
SABLE ISLAND,SABLE ISLAND
EDDY POINT NS,HALIFAX NS
ILE ST PIERRE,Not listed (probabilities only provided for Canadian stations)
4,0%
10%,0%
10%,0%
X,0%
1%,0%
5,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
8,0%
1,0%
N/A,0%
D,D.
C,C.
D,D.
Nova Scotia,Atlantic Canada coast from Nova Scotia to Newfoundland
New England Coast,"Open Atlantic waters east of the Mid-Atlantic, southeastern New England offshore waters, Nova Scotia, and Newfoundland"
East Coast,"Offshore waters east of the Mid-Atlantic, Cape Cod to Nova Scotia and Newfoundland"
B. Tropical Storm,B.
B,B.
B. Tropical Storm,B.
"C. Baltimore, MD",C.
B,C.
B,C.
North Carolina,Atlantic Canada coast from Nova Scotia to Newfoundland
Florida,"Open Atlantic waters east of the Mid-Atlantic, southeastern New England offshore waters, Nova Scotia, and Newfoundland"
Florida,"Offshore waters east of the Mid-Atlantic, Cape Cod to Nova Scotia and Newfoundland"
"According to the Track Forecast Cone from National Hurricane Center, I project that 72 hours will pass before the cyclone reaches land.",24
"Based on the Track Forecast Cone from National Hurricane Center, I estimate that the cyclone will make landfall in approximately **48** hours.",30
12,31
24,0
144,0
48,0
B,D.
C,D.
D,B.
D,A.
C,A.
D,A.
B,A.
D,A.
D,A.
No,No
No,No
No,No
D,A.
D,A.
D,A.
33,24
72,30
24,31
D,D.
D,D.
D,D.
B,B.
D,B.
B,B.
C,B.
D. Possible,B.
D,B.
Florene,None
FRIEDEGG,None
Isabel,"Elevated rip-current risk at Mid-Atlantic beaches, but no direct port impacts expected."
"{
""gale_probability"": {
""in 12h"": ""8%"",
""in 24h"": ""23%"",
""in 48h"": ""1%"",
""in 72h"": ""X"",
""in 96h"": ""X""
}
}","{'in 12h': '<1%', 'in 24h': '<1%', 'in 48h': '<1%', 'in 72h': '<1%', 'in 96h': '<1%'}"
"{
  ""gale_probability"": {
    ""in 12h"": 6,
    ""in 24h"": 28,
    ""in 48h"": X,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
""gale_probability"": {
""in 12h"": ""X"",
""in 24h"": ""7"",
""in 48h"": ""19"",
""in 72h"": ""16"",
""in 96h"": ""15""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
17-07-2015,None
17-07-2015,None
15-07-2015,None
17-07-2015,None
16-07-2015,None
22-07-2015,None
17-07-2015,None
16-07-2015,None
14-07-2015,None
3,0
3,0
2,0
0,None
2,None
0,None
0%,None
0%,None
0,None
C,A.
B. 10-20 vessels,A.
C,A.
