response,ground_truth
NO,Yes
Yes,Yes
NO,Yes
NO,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,Yes
No,Yes
Yes,Yes
C,A.
C,A.
C,A.
B,A.
B,C.
B,A.
B,A.
C. Hurricane,A.
B,A.
B,A.
B,C.
B,C.
B,C.
B,C.
B,A.
C,A.
C,A.
B,A.
B,A.
C,A.
"Based on the provided Track Forecast Cone image [img-0], the coastal areas under Tropical Storm (TS) and Hurricane watch are:

Tampa Bay, Florida to Pensacola, Florida","North of Surf City to Cape Lookout, NC"
Jacksonville Beach FL to Flagler Beach FL,North of Surf City NC to Cape Lookout NC (Hurricane Watch); north of Surf City to Duck NC including Pamlico & Albemarle Sounds (Tropical Storm Warning)
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm Watch are:

Tampa to Englewood","Tropical Storm Watch from Englewood to Anclote River, FL (does not include GA coast)"
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane Watch are:

Key West, Florida to Englewood, Florida",North of Edisto Beach SC to South Santee River SC (Hurricane Watch – north of the Brunswick area)
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Miami, FL to Jupiter, FL
Lake Okeechobee","North of Fernandina Beach, FL to Edisto Beach, SC (includes entire Georgia coast)"
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane Watch are:

Brownsville, TX to San Luis Pass, TX",Hurricane Watch north of the Flagler/Volusia county line FL to Fernandina Beach FL (just south of the GA border)
"Based on the provided Track Forecast Cone image, the coastal areas under Tropical Storm (TS) and Hurricane watch are:

Jacksonville FL to Altamaha GA",Hurricane Watch north of Sebastian Inlet FL to Flagler/Volusia county line FL (does not yet include GA)
"Brownsville, TX to Freeport, TX",Hurricane Watch from Deerfield Beach FL to the Volusia/Brevard county line; Tropical Storm Watch Seven Mile Bridge FL northward to south of Deerfield Beach including Lake Okeechobee
