response,ground_truth
No,No
No,No
No,No
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"West Palm Beach to Flagler Beach, FL",None
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the areas under Tropical Storm and Hurricane watches are:

Tropical Storm Watch: Puerto Rico to Dominican Republic
Hurricane Watch: Dominican Republic to Haiti",None
Cozumel to Progreso,None
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane warnings are:

Key West FL to Dry Tortugas FL to Punta Gorda FL

Please note that this information is based solely on the provided Track Forecast Cone from National Hurricane Center.",None
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under the TS and Hurricane warning are:

Tampa to Bonita Springs FL to Haiti None",None
"Baja California Peninsula to Cozumel, Mexico",None
"24.5N, 81.8W","41.4N, 61.3W"
"23.5N, 84.2W","38.9N, 64.9W"
"23.5N, 85.8W","37.4N, 68.1W"
WNW,NE
WNW,ENE
WNW,NE
45,21 mph
25,20 mph
35,15 mph
Florida,Maritime Canada coasts of Nova Scotia and Newfoundland
Florida,"Southeast Nova Scotia, Sable Island, and Newfoundland coastal waters"
Florida,Main impacts confined to offshore waters and the Canadian Maritimes coastline
SABLE ISLAND,"Not listed for Wilmington, DE"
ILE ST PIERRE,HALIFAX NS
EDDY POINT NS,HALIFAX NS
1,0%
2,<1%
15%,0%
1,0%
X,<1%
10,0%
24,N/A
36,N/A
96,0
N/A,N/A
120,N/A
N/A,0
4,0%
N/A,0%
4%,0%
C,B.
D,D.
D,D.
Nova Scotia,Maritime Canada coasts of Nova Scotia and Newfoundland
Nova Scotia,"Southeast Nova Scotia, Sable Island, and Newfoundland coastal waters"
East Coast,Main impacts confined to offshore waters and the Canadian Maritimes coastline
B,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B,C.
C,D.
C,C.
West Coast,Maritime Canada coasts of Nova Scotia and Newfoundland
Florida,"Southeast Nova Scotia, Sable Island, and Newfoundland coastal waters"
Texas,Main impacts confined to offshore waters and the Canadian Maritimes coastline
3,30
"According to the Track Forecast Cone from National Hurricane Center, it is expected that 36 hours will pass before the cyclone makes landfall.",24
23,43
60,0
54,0
36,0
C,D.
C,D.
D,B.
D,A.
C,A.
D,A.
D,A.
D,A.
D,A.
No,No
No,No
No,No
B,A.
D,A.
B,A.
27,30
36,24
24,43
D,D.
D,D.
D,D.
B,B.
D,B.
B,B.
B,B.
C,B.
B,B.
Isabel,None
Isabel,None
Isabel,None
"{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 29,
    ""in 48h"": 30,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"Here is the answer in JSON format:

{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 14,
    ""in 48h"": 28,
    ""in 72h"": X,
    ""in 96h"": X
  }
}

Note: X indicates probabilities less than 1%.","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
""gale_probability"": {
    ""in 12h"": 0,
    ""in 24h"": 7,
    ""in 48h"": 19,
    ""in 72h"": 16,
    ""in 96h"": X
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
16-07-2015,None
15-07-2015,None
24-07-2015,None
17-07-2015,None
15-07-2015,None
14-07-2015,None
15-07-2015,None
15-07-2015,None
15-07-2015,None
3,0
3,0
2,0
0,None
1,None
0,None
0%,None
0%,None
0,None
D,A.
B. 1-10 vessels,A.
D,A.
