response,ground_truth
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
No.,Yes
No.,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
A. None,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
San Luis Pass to Intracoastal City,"Hurricane Watch east of Intracoastal City to west of Morgan City, LA; Storm-Surge Watch from the Mouth of the Mississippi River to Ocean Springs, MS, including interior lakes"
"Port Bolivar, TX to Morgan City, LA",Freeport TX to San Luis Pass TX; Mouth of Mississippi River to Ocean Springs MS; Lake Pontchartrain/Maurepas/Borgne
Port Bolivar to San Luis Pass,Hurricane Watch east of Intracoastal City to west of Morgan City LA; Storm-Surge Watch Freeport TX to San Luis Pass TX and mouth of Mississippi River to Ocean Springs MS
Port Bolivar to San Luis Pass,"Port Bolivar, TX to west of Morgan City, LA"
None,None at 200 PM EDT advisory; watches are anticipated later for the northwest Gulf Coast
None,Tropical-storm watches confined to the Florida Keys (Craig Key to Key West).
None,None in effect for U.S. Gulf Coast as of this advisory
None,None issued for the Gulf Coast as of this advisory
None,None
"San Luis Pass, TX to Intracoastal City, LA","Storm Surge Warning Freeport, TX to the Mouth of the Mississippi River; Hurricane Warning San Luis Pass, TX to Intracoastal City, LA"
San Luis Pass to Intracoastal City,Hurricane: San Luis Pass TX to Intracoastal City LA | Storm Surge: San Luis Pass TX to Mouth of the Mississippi River
Port Bolivar to San Luis Pass,Hurricane Warning San Luis Pass TX to Intracoastal City LA; Storm-Surge Warning San Luis Pass TX to Mouth of the Mississippi River
Port Bolivar to west of Morgan City,None along Texas coast at this advisory
Puerto Plata to Key West,None at 200 PM EDT advisory
None,"Tropical-storm warnings across much of Cuba, Little Cayman, Cayman Brac, and Dry Tortugas."
Cuba to Bahamas,None in effect for U.S. Gulf Coast as of this advisory
None,None issued for the Gulf Coast as of this advisory
Puerto Rico to Haiti,None
"26.4N, 91.4W","27.3N, 92.5W"
"25.0N, 89.0W","25.6N, 90.2W"
"23.4N, 86.4W","24.3N, 87.6W"
"22.1N, 82.8W","22.6N, 85.0W"
"20.9N, 79.7W","21.4N, 81.6W"
"20.0N, 75.6W","20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"16.8N, 62.6W","17.3N, 64.4W"
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,WNW
15,16 mph
17,17 mph
17,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
17,18 mph
Louisiana,"North-west Gulf Coast from Freeport, TX through Sea Rim State Park, TX to Intracoastal City, LA with catastrophic surge and extreme winds"
Louisiana,Upper Texas coast (including Galveston Bay) and southwest Louisiana
Louisiana,Upper Texas coast (including Galveston Bay) and southwest Louisiana coast
Louisiana,"Texas and Louisiana coastline from San Luis Pass, TX eastward to Ocean Springs, MS, including Galveston Bay"
Louisiana,Northwest Gulf Coast from the upper Texas coast through south-central Louisiana
Gulf Coast,Central and north-western Gulf Coast from Texas through Louisiana and Mississippi
Louisiana,Southeast Texas through western Louisiana likely to experience the core impacts
Louisiana,Upper Texas coast through south-central Louisiana
Cuba,Northern Gulf Coast from Texas to Alabama
High Island TX,GALVESTON TX
High Island TX,GALVESTON TX
High Island TX,GALVESTON TX
Galveston TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
HIGH ISLAND TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
HIGH ISLAND TX,GALVESTON TX
GALVESTON TX,GALVESTON TX
81,81%
72,72%
81,81%
57,57%
51,51%
39,28%
54,54%
17,14%
6,6%
23,23%
31,31%
52,52%
30,30%
25,25%
14,13%
27,27%
4,4%
1,0%
12,24
12,36
36,30
72,96
72,84
96,72
72,84
96,96
120,120
12,24
24,36
36,42
48,72
72,84
96,72
96,84
96,96
N/A,
81,81%
72,72%
81,50%
57,57%
51,41%
39,28%
51,38%
17,13%
6,5%
"D. Galveston, TX",D.
"B. Galveston, TX",B.
"D. Galveston, TX",D.
"D. Galveston, TX",D.
"D. Tampa Port Authority, FL",B.
"C. Galveston, TX",C.
"C. Tampa Port Authority, FL",A.
"C. Galveston, TX",C.
"C. Galveston, TX",C.
Upper Texas and southwest Louisiana coasts,"North-west Gulf Coast from Freeport, TX through Sea Rim State Park, TX to Intracoastal City, LA with catastrophic surge and extreme winds"
Upper Texas and southwest Louisiana coasts,Upper Texas coast (including Galveston Bay) and southwest Louisiana
Upper Texas and Southwest Louisiana coasts,Upper Texas coast (including Galveston Bay) and southwest Louisiana coast
Texas to Louisiana,"Texas and Louisiana coastline from San Luis Pass, TX eastward to Ocean Springs, MS, including Galveston Bay"
Cuba to the northwestern Gulf of Mexico.,Northwest Gulf Coast from the upper Texas coast through south-central Louisiana
Cuba to southeastern Gulf of Mexico,Central and north-western Gulf Coast from Texas through Louisiana and Mississippi
Cuba to the southeastern Gulf of Mexico,Southeast Texas through western Louisiana likely to experience the core impacts
Hispaniola to Cuba,Upper Texas coast through south-central Louisiana
Virgin Islands to northern coast of Hispaniola.,Northern Gulf Coast from Texas to Alabama
F. Category 4,F.
D. Category 2,D.
C. Category 1,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
"A. Houston Port Authority, TX",C.
"D. Galveston, TX",D.
"A. Galveston, TX",A.
"A. Houston Port Authority, TX",D.
"D. Tampa Port Authority, FL",A.
"D. Galveston, TX",D.
"A. Tampa Port Authority, FL",B.
"A. Tampa Port Authority, FL",D.
"A. Tampa Port Authority, FL",B.
Texas-Louisiana coast,"North-west Gulf Coast from Freeport, TX through Sea Rim State Park, TX to Intracoastal City, LA with catastrophic surge and extreme winds"
Louisiana coast.,Upper Texas coast (including Galveston Bay) and southwest Louisiana
Louisiana coast.,Upper Texas coast (including Galveston Bay) and southwest Louisiana coast
Louisiana coast.,"Texas and Louisiana coastline from San Luis Pass, TX eastward to Ocean Springs, MS, including Galveston Bay"
Louisiana Coast,Northwest Gulf Coast from the upper Texas coast through south-central Louisiana
Louisiana coast.,Central and north-western Gulf Coast from Texas through Louisiana and Mississippi
Louisiana coast.,Southeast Texas through western Louisiana likely to experience the core impacts
Louisiana coast.,Upper Texas coast through south-central Louisiana
Louisiana coast.,Northern Gulf Coast from Texas to Alabama
18,12
18,24
36,36
42,48
60,60
54,60
72,90
18,84
18,108
12,24
24,48
36,
56,12
60,24
96,N/A
96,90
96,120
None,132
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,C.
C. 13-24 hours,B.
A. 0 hours,C.
A. 0 hours,B.
A. 0-12 hours,B.
B. 12-24 Hours,C.
B. 12-24 Hours,C.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No,No
No,No
A. 0 hours,A.
A. 0 hours,A.
B. 0-24 Hours,B.
B. 0-24 Hours,C.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,C.
D. 48 hours or more,D.
D. 48 hours or more,D.
4,12
24,24
36,36
48,48
48,60
48,60
72,90
72,84
96,108
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
A. Arrival of tropical storm-force winds,A.
D. None,A.
D. None,A.
D. None,A.
D. None,A.
D. None,B.
C. Yes,C.
C. Yes,C.
C. Yes,C.
A. Unlikely,D.
A. Unlikely,D.
A. Unlikely,C.
C. Yes,C.
C. Yes,C.
A. Unlikely,D.
A. Unlikely,A.
Tornadoes and life-threatening surf and rip current conditions are additional hazards.,Dangerous surf and rip currents; isolated tornado threat beginning this evening
A few tornadoes are possible starting Wednesday evening over far southeast Texas.,Isolated tornadoes beginning Wednesday evening; dangerous surf and rip currents.
Surf and rip current conditions.,Dangerous surf and rip currents; isolated tornadoes in rainbands Wednesday night–Thursday.
Surf and rip current conditions.,Brief tornadoes in outer rain-bands and dangerous rip currents along adjacent beaches.
Tornadoes,"Dangerous surf, rip currents, and the possibility of isolated tornadoes in the coastal plain as outer rain-bands move onshore."
Tornadoes,Isolated tornadoes in outer rain bands; elevated seas and dangerous rip currents affecting vessel operations.
"Swells generated by the storm could affect the coast, leading to dangerous surf and rip current conditions.",High seas and dangerous surf will hamper vessel movements and may necessitate port closure or restrictions 24–36 h before closest approach.
