response,ground_truth
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
No,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
A. None,A.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,B.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
A. None,A.
A. None,A.
A. None,A.
San Luis Pass to Intracoastal City,"Storm-surge watch from Mouth of the Mississippi River to Ocean Springs MS, including Lake Pontchartrain/Maurepas/Borgne"
"Port Bolivar, TX to Morgan City, LA","Hurricane Watch: east of Intracoastal City to west of Morgan City LA; Storm-Surge Watch: Mouth of the Mississippi River to Ocean Springs MS, incl. Lakes Pontchartrain/Maurepas/Borgne"
"Port Bolivar, TX to Morgan City, LA","Hurricane Watch from east of Intracoastal City to west of Morgan City, Louisiana"
Port Bolivar to San Luis Pass,"Morgan City, Louisiana to the Mouth of the Mississippi River"
"Port Bolivar, TX to San Luis Pass, TX",None in effect yet; hurricane and storm-surge watches expected later for northwest Gulf coast
None,Tropical Storm Watch in effect for the Florida Keys from Craig Key to Key West (not including Louisiana).
None,"Central Bahamas, Andros Island, and the Florida Keys from Ocean Reef to Key West, including Florida Bay"
None,None at this time – watches confined to Caribbean islands and the Florida Keys
None,Tropical-storm watches confined to the Bahamas and parts of Cuba at this time – none along the U.S. Gulf Coast yet
None,None at this time across Gulf Coast
Port Bolivar to Intracoastal City,Tropical-storm warning east of Intracoastal City LA to the Mouth of the Mississippi River
Port Bolivar to Morgan City,Tropical Storm Warning: east of Intracoastal City LA to the Mouth of the Mississippi River; Hurricane Warning west of port (San Luis Pass TX to Intracoastal City LA); Storm-Surge Warning: San Luis Pass TX to the Mouth of the Mississippi River
Port Bolivar to Morgan City,"Tropical Storm Warning east of Intracoastal City, LA to the Mouth of the Mississippi River; Hurricane Warning San Luis Pass, TX to Intracoastal City, LA; Storm Surge Warning San Luis Pass, TX to the Mouth of the Mississippi River"
Port Bolivar to Morgan City,None
Puerto Rico to Louisiana,None in effect yet
None,"Tropical Storm Warnings for Little Cayman, Cayman Brac, much of Cuba and the Dry Tortugas."
None,"Northern Dominican Republic coast from Samana to the Haiti border, entire coast of Haiti, southeastern Bahamas, Turks and Caicos Islands, and much of the Cuban coastline"
Haiti to Cuba,"None at this time – warnings confined to Hispaniola, eastern Cuba and nearby islands"
Haiti to Cuba,"Tropical-storm warnings only in Puerto Rico, Hispaniola and eastern Cuba at this time – none along the U.S. Gulf Coast yet"
Puerto Rico to Dominican Republic,None at this time across Gulf Coast
"26.4N, 91.4W","27.3N, 92.5W"
"25.0N, 89.0W","25.6N, 90.2W"
"23.4N, 86.4W","24.3N, 87.6W"
"22.1N, 82.8W","22.6N, 85.0W"
"20.9N, 79.7W","21.4N, 81.6W"
"20.0N, 75.6W","20.5N, 78.0W"
"19.1N, 72.1W","19.4N, 74.3W"
"18.1N, 68.7W","18.6N, 70.1W"
"17.7N, 66.0W","17.9N, 67.5W"
"16.8N, 62.6W","17.3N, 64.4W"
NW,NW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W
W,WNW
15,16 mph
17,17 mph
17,16 mph
20,20 mph
21,20 mph
21,21 mph
18,21 mph
18,16 mph
21,18 mph
17,18 mph
Louisiana,Upper Texas coast through south-central and southeast Louisiana
Louisiana,Upper Texas coast through southwest and south-central Louisiana
Louisiana,"Upper Texas and southwest Louisiana coasts, with effects extending eastward across southeast Louisiana to the Mississippi coast"
Louisiana,Texas coast from High Island eastward through all of southern Louisiana including Mississippi River delta and adjacent bays
Louisiana,North-west Gulf coastline from central Louisiana westward to upper Texas coast
Gulf Coast,Central and northwest Gulf Coast from the upper Texas coast across Louisiana to Mississippi/Alabama.
Louisiana,"Entire northern Gulf Coast from Texas to Mississippi, including southeast Louisiana"
Louisiana,Entire Louisiana coastline and upper Texas coast expected to be impacted as the storm approaches mid-week
Louisiana,"Entire north-central Gulf Coast from southeast Texas to Alabama likely to be affected, with highest risk focused on Louisiana coastline"
Cuba,"Northern Gulf Coast from southeast Texas to Mississippi, with greatest focus on coastal Louisiana"
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,BATON ROUGE LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,MORGAN CITY LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
NEW ORLEANS LA,NEW ORLEANS LA
99,29%
98,66%
25,36%
42,42%
77,56%
64,32%
62,27%
51,51%
34,34%
21,21%
50,0%
11,11%
78,4%
7,7%
49,19%
33,14%
26,6%
22,23%
14,12%
8,8%
12,18
12,36
36,96
48,72
48,72
N/A,60
96,96
N/A,96
N/A,120
N/A,120
12,
24,36
N/A,96
N/A,72
72,72
N/A,60
96,96
N/A,96
N/A,120
96,120
99,29%
98,66%
96,36%
87,42%
77,56%
65,31%
62,15%
51,33%
36,17%
24,21%
"D. South Louisiana, LA, Port of",D.
"B. Houston Port Authority, TX",C.
"C. Houston Port Authority, TX",A.
"C. Houston Port Authority, TX",A.
"A. South Louisiana, LA, Port of",A.
"B. Tampa Port Authority, FL",A.
"D. Tampa Port Authority, FL",C.
"B. Tampa Port Authority, FL",D.
"C. Tampa Port Authority, FL",A.
"C. Port of Brunswick, GA",A.
Upper Texas and southwest Louisiana coasts,Upper Texas coast through south-central and southeast Louisiana
Upper Texas and southwest Louisiana coasts,Upper Texas coast through southwest and south-central Louisiana
Upper Texas and Southwest Louisiana coasts,"Upper Texas and southwest Louisiana coasts, with effects extending eastward across southeast Louisiana to the Mississippi coast"
Texas to Louisiana,Texas coast from High Island eastward through all of southern Louisiana including Mississippi River delta and adjacent bays
Cuba to the northwestern Gulf of Mexico.,North-west Gulf coastline from central Louisiana westward to upper Texas coast
Cuba to southeastern Gulf of Mexico,Central and northwest Gulf Coast from the upper Texas coast across Louisiana to Mississippi/Alabama.
Cuba to southeastern Gulf of Mexico,"Entire northern Gulf Coast from Texas to Mississippi, including southeast Louisiana"
Hispaniola to Cuba,Entire Louisiana coastline and upper Texas coast expected to be impacted as the storm approaches mid-week
Puerto Rico to eastern Cuba,"Entire north-central Gulf Coast from southeast Texas to Alabama likely to be affected, with highest risk focused on Louisiana coastline"
Virgin Islands to northern coast of Hispaniola.,"Northern Gulf Coast from southeast Texas to Mississippi, with greatest focus on coastal Louisiana"
F. Category 4,F.
D. Category 2,D.
C. Category 1,C.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
B. Tropical Storm,B.
"B. South Louisiana, LA, Port",B.
"A. Houston Port Authority, TX",B.
"D. South Louisiana, LA, Port of",D.
"C. South Louisiana, LA, Port of",C.
"D. South Louisiana, LA, Port of",D.
"B. South Louisiana, LA, Port",B.
"A. Tampa Port Authority, FL",B.
"B. South Louisiana, LA, Port of",B.
"C. South Louisiana, LA, Port of",C.
"A. Tampa Port Authority, FL",D.
Louisiana coast.,Upper Texas coast through south-central and southeast Louisiana
Louisiana coast.,Upper Texas coast through southwest and south-central Louisiana
Louisiana coast.,"Upper Texas and southwest Louisiana coasts, with effects extending eastward across southeast Louisiana to the Mississippi coast"
Louisiana coast.,Texas coast from High Island eastward through all of southern Louisiana including Mississippi River delta and adjacent bays
Louisiana coast.,North-west Gulf coastline from central Louisiana westward to upper Texas coast
Louisiana coast.,Central and northwest Gulf Coast from the upper Texas coast across Louisiana to Mississippi/Alabama.
Louisiana coast.,"Entire northern Gulf Coast from Texas to Mississippi, including southeast Louisiana"
Louisiana coast.,Entire Louisiana coastline and upper Texas coast expected to be impacted as the storm approaches mid-week
Louisiana coast.,"Entire north-central Gulf Coast from southeast Texas to Alabama likely to be affected, with highest risk focused on Louisiana coastline"
Louisiana coast.,"Northern Gulf Coast from southeast Texas to Mississippi, with greatest focus on coastal Louisiana"
18,10-12
18,24
36,36
42,48
56,60
60,60
72,84
18,90
90,84
18,96
24,0
24,36
66,0
54,60
72,24
80,72
96,24
96,110
96,24
72,24
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
D. 5 days,D.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,B.
C. 13-24 hours,C.
D. 24 hours or more,B.
D. 24 hours or more,B.
A. 0-12 hours,B.
C. 24-48 hours,C.
C. 24-48 hours,D.
C. 24-48 hours,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
D. 48 hours or more,D.
