response,ground_truth
Yes,No
NO,No
NO,No
NO,No
YES,No
NO,Yes
NO,Yes
Yes,No
Yes,No
B,A.
C,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
C,A.
Key West FL to Dry Tortugas FL,"North of Surf City NC to Oregon Inlet NC, including Pamlico Sound"
"Based on the Track Forecast Cone from National Hurricane Center, I can provide the following information:

**Coastal Area Under Watch:**
""Port Canaveral"" to ""Cape Hatteras""

Please note that these locations are within the TS and Hurricane watch areas as indicated in the provided image.","Marineland, FL northward to South Santee River, SC (Atlantic coast)"
Palm Bay to Englewood FL,Marineland FL to Altamaha Sound GA under Tropical Storm Watch; Anclote River to Indian Pass under Hurricane Watch
Wilmington NC to Cape Hatteras NC,Hurricane Watch from Anclote River to Indian Pass; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line (all on the Gulf coast)
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm and Hurricane Watch are:

Miami to West Palm Beach FL to Florida Keys",Hurricane Watch from Anclote River to Indian Pass; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line (Florida Gulf Coast)
**Port Canaveral to Flagler Beach**,None in effect – interests in central and northern Florida advised to monitor
"Based on the Track Forecast Cone from National Hurricane Center, I see that the coastal areas under Tropical Storm Watch are:

Tampa to Englewood",None
"Based on the Track Forecast Cone from National Hurricane Center, I see:

* Tropic Storm Watch: Tampa Bay to Englewood, FL
* Hurricane Watch: Fort Myers, FL to Punta Gorda, FL",
South Carolina to Georgia to Florida,None
"Based on the Track Forecast Cone from National Hurricane Center, I see that:

**Location: Florida Keys to Lake Okeechobee**

Let me know if you'd like me to analyze anything else!","Englewood FL to Suwannee River FL, west of Mexico Beach FL to Walton/Bay County line, and Flagler/Volusia County line FL to Surf City NC"
Tampa Bay to Englewood,"Hurricane: Suwannee River to Mexico Beach, FL;  Tropical-Storm: Anclote River to Suwannee River, FL and Mexico Beach to Destin, FL"
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm Warning are:

Palm Beach FL to Englewood FL.

And for Hurricane Warning:

Englewood FL to Bonita Beach FL.",Anclote River to Walton/Bay County line under Tropical Storm Warning
"Based on the provided Track Forecast Cone from National Hurricane Center, I can see that the areas under Tropical Storm (TS) and Hurricane warning are:

West Palm Beach to Deerfield Beach",None at this time
"Based on the Track Forecast Cone from National Hurricane Center, I would describe the coastal area under TS and Hurricane warning as:

Port Charlotte to Englewood",None in effect
"Based on the Track Forecast Cone image, I can see that the coastal areas under Tropical Storm and Hurricane warnings are:

Miami Beach to Englewood",None
