response,ground_truth
No,Yes
No,Yes
NO,Yes
No,Yes
No,Yes
B,A.
B,A.
B,A.
C,A.
C,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, the coastal area under Tropical Storm and Hurricane Watch is:

Pensacola to Englewood Florida",Edisto Beach SC to south of South Santee River SC (Tropical Storm Watch)
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane Watch are:

Jacksonville FL to Daytona Beach FL",Edisto Beach SC to south of South Santee River SC
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Miami Beach, FL to West Palm Beach, FL",Edisto Beach SC to south of South Santee River SC
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane watch are:

Fort Myers to Venice",Tropical Storm Watch in effect Edisto Beach SC to Cape Lookout NC
Bermuda to Cape Fear NC,"Edisto Beach, SC to Cape Lookout, NC under Tropical Storm Watch"
"Based on the Track Forecast Cone from National Hurricane Center, I see that the following areas are under Tropical Storm (TS) and Hurricane warning:

Key West, FL to Flagler Beach, FL",South Santee River SC to Cape Lookout NC (Tropical Storm Warning)
Miami Beach to Cedar Key,South Santee River SC to Cape Lookout NC
Tampa to Key West,South Santee River SC to Cape Lookout NC
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the areas under Tropical Storm Warning are:

Coastal Texas to Lake Charles, Louisiana.

The areas under Hurricane Warning are:

Lake Pontchartrain to Intracoastal City, Louisiana.",None
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane warning are:

Miami Beach to West Palm Beach FL.",None
"23.5N, 84.1W","32.9N, 78.3W"
"23.5N, 85.1W","32.4N, 77.6W"
"25.3N, 83.5W","31.7N, 77.4W"
"23.5N, 82.1W","31.6N, 77.8W"
"21.3N, 85.8W","31.5N, 77.6W"
WNW,NW
WNW,NNW
WNW,Stationary (expected to turn NNW tonight)
WNW,NNW
WNW,N (350°)
25,3 mph
25,3 mph
30,0 mph (stationary)
40,1 mph
30,2 mph
Florida,"Coasts of South Carolina, North Carolina, Virginia and the Mid-Atlantic states up through southern New England"
Florida,"South Carolina, North Carolina, southeast Virginia and the Mid-Atlantic coast including Maryland"
Florida,"Coastline from South Carolina through North Carolina, with later impacts spreading northward along the Mid-Atlantic and New England coasts"
Florida,"Coast from South Carolina through North Carolina this weekend, then the Mid-Atlantic to New England coasts early next week"
Florida,"Coastline from South Carolina northward to New Jersey, including Chesapeake Bay and Delmarva Peninsula"
BALTIMORE MD,BALTIMORE MD
BALTIMORE MD,BALTIMORE MD
BALTIMORE MD,BALTIMORE MD
BALTIMORE MD,BALTIMORE MD
BALTIMORE MD,BALTIMORE MD
2,6%
1%,6%
2%,8%
3%,6%
3,6%
2,0%
1,0%
2,<1%
3%,0%
3,0%
1,72
1,60
2,84
"Based on the provided data, I found that the 34-kt wind probability is 3% for Baltimore, MD at 00Z FRI and the forecast hour is 12 hours away. Therefore, the answer would be:

12",96
3,120
2,
6,N/A
2,N/A
3,NA
3,
1,6%
1,5%
2,5%
3,3%
3,6%
B,D.
C,B.
B,B.
"D. South Jersey Port Corp, NJ",B.
C,C.
South Santee River South Carolina to Cape Lookout,"Coasts of South Carolina, North Carolina, Virginia and the Mid-Atlantic states up through southern New England"
South Santee River South Carolina to Cape Lookout,"South Carolina, North Carolina, southeast Virginia and the Mid-Atlantic coast including Maryland"
South Santee River South Carolina to Cape Lookout North Carolina.,"Coastline from South Carolina through North Carolina, with later impacts spreading northward along the Mid-Atlantic and New England coasts"
SOUTHEASTERN U.S. COAST,"Coast from South Carolina through North Carolina this weekend, then the Mid-Atlantic to New England coasts early next week"
North Carolina coast,"Coastline from South Carolina northward to New Jersey, including Chesapeake Bay and Delmarva Peninsula"
B,B.
B,B.
B,B.
B,B.
B,B.
B,A.
D,C.
C,D.
D,B.
D,C.
Gulf Coast,"Coasts of South Carolina, North Carolina, Virginia and the Mid-Atlantic states up through southern New England"
Florida,"South Carolina, North Carolina, southeast Virginia and the Mid-Atlantic coast including Maryland"
Florida,"Coastline from South Carolina through North Carolina, with later impacts spreading northward along the Mid-Atlantic and New England coasts"
Texas,"Coast from South Carolina through North Carolina this weekend, then the Mid-Atlantic to New England coasts early next week"
Florida,"Coastline from South Carolina northward to New Jersey, including Chesapeake Bay and Delmarva Peninsula"
"According to the Track Forecast Cone from National Hurricane Center, I estimate that approximately 36 hours will pass before the cyclone reaches the coast.

Answer: 36",15
23,24
23,40
4,42
42,36
24,60
12,90
54,72
144,92
84,90
C,D.
B.,D.
B,D.
C,D.
C,D.
C,B.
D,B.
B,B.
D,B.
D,C.
D,D.
C. 24-48 hours,D.
D,D.
D,D.
D,D.
No,No
No,No
Yes,No
No,No
No,No
D,C.
D,C.
C,D.
D,D.
D,D.
24,15
24,24
48,40
48,42
48,36
D,B.
D,B.
D,B.
D,B.
D,B.
B,B.
B,B.
B,A.
B,B.
B,A.
D,B.
B,A.
B,A.
D,B.
B,A.
HURRICANE BERNARDINE,Elevated rip-current risk along Maryland and Delaware beaches; lowered ceilings and visibility may disrupt flight operations at nearby airports.
"Rip currents are expected along the beach in Baltimore, MD, as swells generated by Tropical Storm Ana continue to affect coastal areas.",Elevated waves and rip-current risk along the Chesapeake Bay and Atlantic beaches could affect vessel traffic and pilot operations.
Hanna,Increased rip-current risk at nearby Atlantic beaches; slight coastal flooding at high tide.
"Tornadoes are possible as Ana's outer rain bands interact with the cooler air of the Mid-Atlantic region, posing a hazard to the Baltimore area.",Enhanced rip currents and minor coastal/Chesapeake Bay flooding possible during high tide cycles
Ana.,Dangerous rip currents along nearby Atlantic beaches; reduced visibility in heavy rain could disrupt vessel movements
"{
  ""gale_probability"": {
    ""in 12h"": 65,
    ""in 24h"": 18,
    ""in 48h"": 11,
    ""in 72h"": 9,
    ""in 96h"": 6
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '2%', 'in 72h': '6%', 'in 96h': '6%'}"
