response,ground_truth
NO,Yes
NO,Yes
No,No
No,No
No,No
NO,Yes
No,No
No,No
No,No
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm and Hurricane watch are:

Wilmington to Duck NC to Virginia
Bermuda",North of Surf City NC to Oregon Inlet including Pamlico Sound
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm and Hurricane Watch are:

Miami Beach to West Palm Beach, FL to Bermuda",Tropical Storm Watch from Marineland FL to South Santee River SC
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane watches are:

""Florida Keys to Louisiana""

Please note that if no locations are indicated in the figure, I would answer ""None"".",Marineland Florida to Altamaha Sound Georgia (Tropical Storm Watch); Anclote River to Indian Pass (Hurricane Watch)
"Key West, FL to Pensacola, FL","Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Miami Beach to Englewood, FL

And under Hurricane Watch are:

Englewood to Anna Maria Island, FL",Hurricane Watch from Anclote River to Indian Pass FL; Tropical Storm Watch west of Indian Pass to Walton/Bay County line FL
"Based on the Track Forecast Cone from National Hurricane Center, I would say:

Port Aransas to High Island, TX",None in effect – interests in central/northern FL and southeast GA advised to monitor
**Tampa Bay to Englewood**,None in effect
"Based on the Track Forecast Cone from National Hurricane Center [img-0], the coastal areas under Tropical Storm (TS) and Hurricane watch are:

**Tropical Storm Watch:**
Cape Fear, NC to Duck, NC

**Hurricane Watch:**
None",None in effect
"Based on the Track Forecast Cone from National Hurricane Center [img-0], I can see that the coastal areas under Tropical Storm (TS) and Hurricane watch are:

**Tropical Storm Watch**: None
**Hurricane Watch**: Grand Isle, Louisiana to Pensacola, Florida",
"Based on the provided Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Palm Beach County to Altamaha Sound, Georgia.

Note: The locations mentioned are based on the current forecast cone, which may change as the storm progresses. Always check with reliable sources for updates on weather warnings and forecasts.",Flagler/Volusia County line FL to Surf City NC; Englewood FL to Suwannee River FL; west of Mexico Beach FL to Walton/Bay County line; Suwannee River to Mexico Beach under Hurricane Warning
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warnings are:

Sarasota, FL to Englewood, FL",Hurricane Warning Suwannee River–Mexico Beach FL; Tropical Storm Warning Anclote River–Suwannee River FL and west of Mexico Beach–Destin FL
"**Figure 1:**

Location1: Cape Hatteras
Location2: Miami Beach

**Figure 2:**

Location1: None
Location2: None

**Figure 3:**

Location1: Galveston
Location2: New Orleans

Please note that the locations provided are based on the Track Forecast Cone from National Hurricane Center, indicating the areas under Tropical Storm and Hurricane warning.","Anclote River to Walton/Bay County line, FL (Tropical Storm Warning)"
"Based on the Track Forecast Cone, I see that the coastal areas under Tropical Storm Warning are:

South Santee River to Cape Lookout NC
Cape Lookout to Surf City NC

And for Hurricane Warning, it's:

Surf City NC to Virginia Key FL

So, the answer is: South Santee River to Virginia Key FL",None
"Based on the Track Forecast Cone from National Hurricane Center:

Location1: Puerto Rico to Dominican Republic",None issued as of Advisory 9
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under TS (Tropical Storm) and Hurricane warning are:

Punta Gorda to Englewood",None in effect
Florida Keys to West Palm Beach,None in effect
"Based on the provided Track Forecast Cone from National Hurricane Center, I can see that the following areas are under Tropical Storm (TS) and Hurricane warnings:

Southampton County to the North Carolina/Virginia Border to Virginia-Key-St-Mary MD/VA, VA-DC, Southern NJ, NY, MA",None in effect
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warnings are:

Cozumel Mexico to Tulum Mexico",
"24.5N, 84.2W","27.8N, 85.6W"
"23.1N, 84.3W","26.0N, 87.0W"
"24.3N, 85.9W","24.7N, 88.0W"
"24.3N, 86.1W","24.3N, 88.1W"
"27.5N, 83.3W","24.4N, 87.3W"
"24.5N, 84.3W","23.8N, 86.6W"
"23.5N, 84.8W","23.6N, 84.3W"
"24.2N, 84.5W","23.4N, 82.7W"
"20.3N, 76.1W","23.7N, 81.7W"
WNW,NNE
WNW,N
WNW,N
WNW,W
WNW,NW
WSW,W
WNW,W
WNW,W
WNW,W
30,14 mph
35,6 mph
25,2 mph
45,1 mph
25,5 mph
35,7 mph
30,7 mph
45,9 mph
25,9 mph
Florida,"Florida Gulf Coast, Southeast Atlantic coast, Mid-Atlantic coast from NC to southern New England"
Florida,"Florida Big Bend Gulf Coast, then Atlantic coast from Georgia through the Carolinas, Virginia, Delmarva, New Jersey and southern New England"
Florida,"Gulf coast of Florida, then Atlantic coasts of Georgia, the Carolinas, and eventually the Mid-Atlantic and southern New England coasts"
Florida,"Gulf coast of Florida Big Bend Thursday, then Atlantic coast from northern Florida through the Carolinas and offshore Mid-Atlantic by the weekend"
Florida,"Florida Gulf Coast (Big Bend), then the coasts of GA, SC and NC as the system moves NE and offshore"
Florida,"Florida Big Bend through coastal GA/SC/NC, then out over the open Atlantic south of New England"
Florida,"Florida Gulf Coast, then Atlantic coastline from Florida through the Carolinas and adjacent Atlantic waters"
Florida,"Florida Gulf coast, Florida peninsula, Georgia and the Carolinas coastline, with the system then moving offshore of the Mid-Atlantic"
Florida,"Gulf Coast of Florida, then Georgia–South Carolina–North Carolina coasts"
ATLANTIC CITY NEW JERSEY,PHILADELPHIA
None,PHILADELPHIA
ATLANTIC CITY,PHILADELPHIA
None,PHILADELPHIA
"None. There is no Philadelphia Regional Port, PA location in the table. The locations listed are primarily coastal and Gulf Coast cities, with a few inland cities and a Bermuda and Grand Bahama entry.",CAPE HENLOPEN DE
JAX,ATLANTIC CITY  NJ
