response,ground_truth
NO,No
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, I see that:

Miami, FL to Fort Pierce, FL","Tropical Storm Watch from Anclote River to Englewood, FL (west-central Florida Gulf Coast)"
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane warning are:

Florida Keys from Key Largo to Key West to Dry Tortugas",None in effect
"26.9N, 84.3W","27.7N, 83.5W"
WNW,E
25,8 mph
Florida,"central and south Florida Gulf coast today, then east-central Florida Atlantic coast and portions of the southeast U.S. Atlantic seaboard"
FT PIERCE FL,TAMPA FL
X,13%
2,<1%
120,6
N/A,Not applicable (≤1%)
N/A,8%
C,D.
West-central coast,"central and south Florida Gulf coast today, then east-central Florida Atlantic coast and portions of the southeast U.S. Atlantic seaboard"
B. Tropical Storm,A.
D,A.
Florida,"central and south Florida Gulf coast today, then east-central Florida Atlantic coast and portions of the southeast U.S. Atlantic seaboard"
"Based on the Track Forecast Cone from National Hurricane Center, I estimate that approximately 72 hours will pass before the cyclone reaches its projected landfall along the coast.

Output: **72**",6-12
54,0 (system is already well east of Mobile’s coastal waters and will not approach)
D,D.
D,A.
D,B.
No,No
B,A.
13,6-12
D,D.
B,B.
B,B.
Isolated tornadoes are possible within the watch area through this afternoon as the tropical cyclone interacts with the surrounding environment.,Potential for elevated rip currents along Alabama Gulf beaches but no significant operational hazards at the port
"Here is the JSON response:

{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 2,
    ""in 48h"": 5,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
31-07-2017,None
04-09-2017,None
02-08-2017,None
5,0
3,None
None,None
D,A.
