response,ground_truth
YES,Yes
C,B.
B,A.
Fort Lauderdale to West Palm Beach,West coast of Florida from Anclote River southward to Englewood
Cape Hatteras to Cape Lookout,None
"23.9N, 87.1W","27.7N, 83.5W"
WNW,E
30,8 mph
North Carolina,"Central west coast of Florida including Tampa Bay, Sarasota, and Manatee County shoreline"
FT PIERCE FL,TAMPA FL
1,13%
2,<1%
120,24
6,N/A
N/A,13%
"B. Manatee County Port, FL",B.
West-central coast of Florida,"Central west coast of Florida including Tampa Bay, Sarasota, and Manatee County shoreline"
B. Tropical Storm,A.
B,A.
Florida,"Central west coast of Florida including Tampa Bay, Sarasota, and Manatee County shoreline"
"Based on the Track Forecast Cone from National Hurricane Center, I predict that 72 hours will pass before the cyclone reaches the coast.",6
72,20
B,D.
D,C.
B,B.
No,No
D,A.
This afternoon (within the next few hours).,6
B,B.
C,A.
C,C.
"Tornadoes are a possible hazard in Manatee County Port, Florida if the depression strengthens into a tropical storm or hurricane.",Brief tornado or waterspout threat in outer rainbands; lightning and reduced visibility may disrupt cargo and vessel operations.
"{
  ""gale_probability"": {
    ""in 12h"": 1,
    ""in 24h"": 2,
    ""in 48h"": 4,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '8%', 'in 24h': '5%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
31-07-2017,None
02-08-2017,None
31-07-2017,None
5,0
"Based on the Track Forecast Cone, Wind Probability Forecast Graphic Product, Future Wind Probability Table and Cyclone Public Advisory from the National Hurricane Center, I estimate that the port will take approximately **3** days to recover from the storm impact.",None
34,None
D,A.
