response,ground_truth
NO,Yes
No,Yes
B,A.
B,A.
B,B.
B,B.
"Based on the Track Forecast Cone from National Hurricane Center, the coastal area under Tropical Storm and Hurricane Watch is:

Boca Raton to Flagler Beach Florida",None
[Port Fourchon] to [Galveston Island],
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Wilmington, NC to Cape Fear, NC","Baffin Bay to High Island, Texas (includes Galveston Bay and Houston Ship Channel)"
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm (TS) and Hurricane warning are:

South Santee River to Surf City","Baffin Bay to High Island, Texas"
"25.5N, 84.7W","27.9N, 95.7W"
"25.5N, 83.7W","27.1N, 94.2W"
WNW,NW
WNW,NW
35,13 mph
35,12 mph
Florida,"Texas Gulf Coast from Baffin Bay through Galveston, including the upper Texas coast"
Florida,"Entire upper and middle Texas coast, including Galveston Bay and Houston-Galveston area"
HOUSTON,HOUSTON TX
HOUSTON TX,HOUSTON TX
13%,46%
13%,46%
46,<3%
13,<1%
46,6
13,24
46,N/A
46,
13,33%
13,46%
D,D.
B,A.
Baffin Bay to High Island Texas,"Texas Gulf Coast from Baffin Bay through Galveston, including the upper Texas coast"
Baffin Bay to High Island.,"Entire upper and middle Texas coast, including Galveston Bay and Houston-Galveston area"
B,B.
B. Tropical Storm,B.
D,B.
C,C.
Florida,"Texas Gulf Coast from Baffin Bay through Galveston, including the upper Texas coast"
Mexico,"Entire upper and middle Texas coast, including Galveston Bay and Houston-Galveston area"
"According to the Track Forecast Cone from National Hurricane Center, I estimate that approximately 72 hours will pass before the cyclone is expected to make landfall.

Output: **72**",6
"Based on the Track Forecast Cone from National Hurricane Center, I estimate that 72 hours will elapse before the cyclone makes landfall.",10
84,24
108,0
C,D.
D,D.
D,B.
D,B.
D,B.
D,B.
Yes,Yes
Yes,Yes
D,A.
D,A.
9,6
100 AM CDT (0300 UTC),10
B,A.
C,A.
C,C.
C,C.
C,C.
C,C.
Tornadoes.,Isolated tornadoes within outer rainbands.
"Flooding is expected along the Houston Ship Channel due to heavy runoff from adjacent areas and potential overflow of nearby waterways, posing a significant threat to maritime operations and port facilities.","Fresh-water flooding of access roads/rail, possible temporary shipping channel closures, and reduced visibility in squalls."
"Here is the answer:

{
  ""gale_probability"": {
    ""in 12h"": ""7"",
    ""in 24h"": ""99"",
    ""in 48h"": ""28"",
    ""in 72h"": ""33"",
    ""in 96h"": ""3""
  }
}","{'in 12h': '33%', 'in 24h': '13%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"Here is the answer:

{
  ""gale_probability"": {
    ""in 12h"": 3,
    ""in 24h"": 1,
    ""in 48h"": X,
    ""in 72h"": X,
    ""in 96h"": X
  }
}","{'in 12h': '33%', 'in 24h': '46%', 'in 48h': '46%', 'in 72h': '46%', 'in 96h': '46%'}"
17-06-2015,6/16/2015
19-06-2015,6/16/2015
18-06-2015,6/16/2015
16-06-2015,6/16/2015
18-06-2015,6/16/2015
17-06-2015,6/16/2015
5,2
5,2
1,2.0
0,2.0
13%,0.364036696
13,0.364036696
D,D.
D,D.
