response,ground_truth
NO,No
No,No
No,No
No,No
NO,No
No,No
NO,No
No,No
No,No
No,No
B,A.
B,A.
C,A.
B,A.
C,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
C,A.
B,A.
C,A.
C,A.
B,A.
B,A.
B,A.
C,A.
"**Based on the Track Forecast Cone from National Hurricane Center**

Location: **West Palm Beach, Florida** to **Fort Pierce, Florida**

(Note: The actual locations may vary depending on the specific storm track and forecast.)",None issued for the U.S. Mid-Atlantic; hurricane and tropical-storm watches cover parts of Prince Edward Island and the Magdalen Islands in Atlantic Canada.
Miami Beach to Englewood Florida,"Tropical-storm watch remains for Fundy National Park to Shediac, Parson’s Pond to Triton, and Indian Harbour to Stone’s Cove, Canada."
"Based on the Track Forecast Cone from National Hurricane Center, I can see that:

Port Isabel, TX to Freeport, TX

Note: The locations are indicated in the figure as the coastal area under Tropical Storm (TS) and Hurricane watch.","North Carolina/Virginia border to Fenwick Island, DE; Chesapeake Bay from Drum Point southward; Tidal Potomac south of Cobb Island"
"Based on the Track Forecast Cone from National Hurricane Center, I see that the coastal areas under Tropical Storm (TS) Watch are:

Cape Verde Islands to North Carolina

And the coastal areas under Hurricane Watch are:

North Carolina to Virginia

Please note that these locations may change as the storm track evolves.",No hurricane or tropical-storm watches in effect north of Fenwick Island DE or north of Drum Point on the Chesapeake Bay.
"Palm Coast, FL to Fernandina Beach, FL","North of Chincoteague VA to Fenwick Island DE, Chesapeake Bay from Smith Point to Drum Point, Tidal Potomac south of Cobb Island, Woods Hole MA to Sagamore Beach MA, Nantucket and Martha’s Vineyard MA"
"Based on the provided Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane watches are:

Miami Beach to Englewood FL","Tropical Storm Watch from north of Chincoteague, VA to Fenwick Island, DE and for portions of lower Chesapeake Bay; Hurricane Watch north of Ponte Vedra Beach, FL to Savannah River, GA"
West Palm Beach to Tequesta to Jupiter Inlet,North Carolina/Virginia border to Chincoteague VA and Chesapeake Bay south of Smith Point
Tampa Bay to Indian Pass,Tropical Storm Watch in effect from the NC/VA border to Chincoteague VA and Chesapeake Bay south of Smith Point
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) Watch are:

**Tropical Storm Watch**

* Louisiana: Holly Beach to Intracoastal City
* Texas: Port Arthur to Freeport

And under Hurricane Watch are:

**Hurricane Watch**

* Texas: Freeport to Matagorda Bay",Storm-surge and hurricane watches/warnings currently extend from Deerfield Beach FL northward to South Santee River SC. No watches posted north of South Carolina.
