response,ground_truth
Yes,Yes
YES,No
Yes,No
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center:

**Coastal Area Under Watch:**

Wilmington, NC to Cape Lookout, NC",No watches posted for the northern Gulf Coast at this time
Florida Keys to Miami,"Tropical Storm Warning only from Campeche to Puerto de Veracruz, Mexico – no U.S. coastline under watch"
"Key West, FL to Naples, FL",
"Based on the Track Forecast Cone image, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warnings are:

Boca Raton to Flagler Beach to Little Creek Inlet.

(Note: The locations are indicated by the yellow and orange lines in the figure.)",Tropical Storm Warning in effect only for the coast of Mexico from Campeche to Puerto de Veracruz
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the areas under Tropical Storm Warning are:

Palm Bay to Vero Beach
and under Hurricane Warning are:

Venice to Anna Maria Island

Please note that these locations are subject to change as the storm track and forecast cone may shift.","Same as watch – Campeche to Puerto de Veracruz, Mexico"
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm and Hurricane warnings are:

Punta Gorda to Englewood","Campeche to Puerto de Veracruz, Mexico (TS Warning)"
"22.5N, 83.3W","19.1N, 92.3W"
"24.5N, 85.3W","19.2N, 92.8W"
"25.5N, 81.8W","19.6N, 91.2W"
WNW,SE
WNW,SW
WNW,WNW
40,2 mph
15,3 mph
25,7 mph
Florida,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Florida,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Florida,Southern Bay of Campeche shoreline of Mexico
GULFPORT MS,NEW ORLEANS LA
BURAS,NEW ORLEANS LA
FRONTERA MX,VERACRUZ MX (most northerly site in wind table)
10%,11%
4%,3%
1%,0
8,0%
1,<1%
1%,0
N/A,120
120,120
144,
N/A,0
120,N/A
120,
1,11%
1,3%
15,0
D,B.
B,A.
D,C.
Campeche to Puerto de Veracruz,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Campeche to Puerto de Veracruz,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Campeche to Puerto de Veracruz,Southern Bay of Campeche shoreline of Mexico
B,B.
B. Tropical Storm,B.
B,A.
C,C.
A,A.
D,A.
Gulf Coast,"Entire central Gulf Coast from the Texas/Louisiana border eastward to Alabama is within the 5-day cone, with highest risk centered on coastal Louisiana"
Florida,Southern Bay of Campeche coast now; potential north-central Gulf Coast (including Louisiana) late weekend into early next week
Texas,Southern Bay of Campeche shoreline of Mexico
"According to the Track Forecast Cone from National Hurricane Center, I calculate that approximately **12** hours will pass before the cyclone is predicted to make landfall.",96
"According to the Track Forecast Cone from National Hurricane Center, I estimate... 72 hours!",120
"Based on the Track Forecast Cone from National Hurricane Center, I see that the cyclone is currently at [insert location] and will make landfall at [insert location]. According to the cone, it will take approximately **24** hours for the cyclone to reach its projected landfall point along the coast.",30
96,120
48,≈156
72,
C,D.
B,D.
B.,D.
D,B.
D,A.
D,A.
C,D.
D,D.
D,A.
Yes,No
No,No
No,No
B,D.
D,D.
B,A.
24,96
36,120
48,30
B,A.
B,B.
B,D.
B,D.
B,A.
C,B.
D,A.
Tornadoes,Periods of squalls could restrict navigation; river stages already high may experience additional rises from heavy rain and surge backing up the Mississippi River
Tanya.,Port operations may be affected by river rises from upstream rainfall and by offshore swell building in advance of the storm.
"Isolated tornadoes are possible in association with Tropical Depression Three as it approaches South Louisiana, LA, Port of.",None
"Here is the answer:

{
""gale_probability"": {
""in 12h"": ""X"",
""in 24h"": ""X"",
""in 48h"": ""1"",
""in 72h"": ""3"",
""in 96h"": ""5""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '2%'}"
"Here is the answer in JSON format:

{
""gale_probability"": {
""in 12h"": ""3"",
""in 24h"": ""1"",
""in 48h"": ""6"",
""in 72h"": ""8"",
""in 96h"": ""5""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
""gale_probability"": {
  ""in 12h"": ""1"",
  ""in 24h"": ""2"",
  ""in 48h"": ""4"",
  ""in 72h"": ""7"",
  ""in 96h"": ""10""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
03-05-2020,6/7/2020
03-06-2020,6/7/2020
03-02-2020,6/7/2020
03-05-2020,6/8/2020
03-06-2020,6/8/2020
02-03-2020,6/8/2020
08-05-2020,6/7/2020
02-03-2020,6/7/2020
03-06-2020,6/7/2020
5,3
5,3
3,3
5,2.0
0,2.0
1,2.0
9%,0.384764584
3,0.384764584
None,0.384764584
D,D.
B. 10-20 vessels,D.
C,D.
