response,ground_truth
No,No
No,No
B,A.
B,A.
B,A.
C,A.
"Based on the Track Forecast Cone from National Hurricane Center, I see that the coastal areas under Tropical Storm Watch are:

Tampa Bay to Indian Pass, FL

And the coastal areas under Hurricane Watch are:

Bonita Beach to Englewood, FL",None for Florida – warnings confined to Cape May NJ to Watch Hill RI including Long Island
Tampa Bay to West Palm Beach,"None for Florida; Tropical Storm Watch/Warning area begins at Cape May, NJ northward"
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Warning are:

Punta Gorda to Englewood, FL",Cape May NJ to Watch Hill RI including Long Island and Long Island Sound
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the areas under the Tropical Storm (TS) Warning are:

Tampa, FL to Englewood, FL

And the areas under the Hurricane Warning are:

Englewood, FL to Bonita Beach, FL","Cape May, New Jersey to Watch Hill, Rhode Island including Long Island and Long Island Sound"
"24.5N, 86.8W","37.4N, 74.8W"
"21.5N, 84.3W","35.5N, 74.9W"
WNW,N
WNW,N
45,10 mph
30,7 mph
Florida,Mid-Atlantic and New England coastline from Maryland northward
Florida,coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
WALLOPS CDA,OCEAN CITY MD
PORTLAND ME,"None (Jacksonville, FL not listed in wind-probability table)"
1,0%
3,0%
2,0%
3,0%
N/A,N/A
N/A,N/A
N/A,N/A
N/A,N/A
X,0%
N/A,0%
C,D.
B,D.
Delmarva Peninsula to Long Island and Long Island Sound.,Mid-Atlantic and New England coastline from Maryland northward
Cape May New Jersey to Watch Hill Rhode Island including Long Island and Long Island Sound.,coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
B,B.
B,B.
D,A.
D,C.
Florida,Mid-Atlantic and New England coastline from Maryland northward
Florida,coast from North Carolina’s Outer Banks northward through the Mid-Atlantic to southern New England
"Based on the Track Forecast Cone from National Hurricane Center, I calculate that...

**12** hours are expected to elapse between the cyclone's current position and its projected landfall along the coast!",18
"Based on the Track Forecast Cone from National Hurricane Center, I see that the cyclone is expected to make landfall in approximately 36 hours.",20
84,0
36,0
C,D.
D,D.
D,A.
C,A.
X,A.
D,A.
No,No
No,No
X,A.
D,A.
12,18
"Not applicable. The cyclone advisory does not mention Jacksonville, FL as being in the warning area or affected by Tropical Storm Fay.",20
D,D.
D,D.
B,B.
B,B.
B,B.
B,B.
Tornadoes.,None
Hanna,"None anticipated that would affect port operations in Jacksonville, FL."
"{
""gale_probability"": {
""in 12h"": ""X"",
""in 24h"": ""10(10)"",
""in 48h"": ""22(26)"",
""in 72h"": ""14(29)"",
""in 96h"": ""5(29)""
}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
"{
""18Z THU"": {""6"": ""X""},
""06Z FRI"": {""12"": ""4"", ""24"": ""17""},
""00Z SAT"": {""12"": ""11"", ""24"": ""17"", ""48"": ""17""},
""06Z SUN"": {""12"": ""17"", ""24"": ""17"", ""48"": ""17""}
}","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
14-07-2020,7/10/2020
10-07-2020,7/10/2020
15-07-2020,7/11/2020
09-11-2020,7/11/2020
12-07-2020,7/10/2020
12-07-2020,7/10/2020
5,2
5,2
3,1.0
1,1.0
None,0.404272409
X,0.404272409
D,B.
B. 1-10 vessels,B.
