response,ground_truth
No,No
Yes,No
NO,No
YES,No
Yes,No
No,No
C. Hurricane,A.
B,A.
B,A.
B,A.
B,A.
C,A.
C,A.
B,A.
B,A.
C,A.
B,A.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane Watch are:

Fort Myers Beach to Englewood",None in effect; all official watches are confined to the Texas coast
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane Watch are:

* Miami, FL to Key West, FL",None in effect for Louisiana; watches confined to south Texas coast
"Based on the Track Forecast Cone, the coastal area under the Tropical Storm (TS) and Hurricane watch is:

Tampa Bay to East Point Florida","San Luis Pass to High Island, Texas"
"Based on the Track Forecast Cone, I can see that the coastal areas under Tropical Storm (TS) and Hurricane watch are:

Miami Beach to West Palm Beach Florida

(Note: The figure shows a specific area under watch. If locations were not indicated in the figure, my answer would be 'None'.","San Luis Pass to High Island, Texas"
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane Watch are:

Brownsville, TX to Indian Pass, FL
Note: The locations are indicated by a colored line on the image.","Port Mansfield to High Island, Texas"
"Miami, FL to Key West, FL","Tropical Storm Watch from Port Mansfield to High Island, Texas"
"Based on the Track Forecast Cone, I can see that the areas under Tropical Storm (TS) and Hurricane warning are:

Daytona Beach to Cape Canaveral",Hurricane Warning: Port Mansfield to Mesquite Bay TX; Tropical-Storm Warning: Barra el Mezquital MX to Port Mansfield TX and Mesquite Bay to High Island TX; Storm-Surge Warning: Port Mansfield to Sargent TX
"Based on the provided Track Forecast Cone image [img-0], I can see that the areas under Tropical Storm (TS) and Hurricane warnings are:

Jacksonville Beach, FL to Egmont Key, FL",Storm Surge Warning Baffin Bay–Sargent TX; Hurricane Warning Baffin Bay–Mesquite Bay TX; Tropical-Storm Warning Mouth of Rio Grande–Baffin Bay and Mesquite Bay–San Luis Pass TX
"Based on the Track Forecast Cone from National Hurricane Center, here's my response:

Cocoa Beach to Flagler Beach","Mouth of the Rio Grande to San Luis Pass, Texas"
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under TS and Hurricane warning are:

Pensacola FL to the Alabama/Florida border","Port Mansfield to San Luis Pass, Texas"
Cape Lookout North Carolina to Little River South Carolina,None
"Grand Isle, Louisiana to Bay St. Louis, Mississippi",None
"25.5N, 81.3W","27.1N, 96.0W"
"21.8N, 85.2W","27.3N, 94.4W"
"24.5N, 83.3W","27.1N, 92.8W"
"24.5N, 81.7W","26.1N, 91.0W"
"23.5N, 82.8W","26.0N, 90.4W"
"21.7N, 84.3W","25.9N, 88.2W"
WNW,W
WSW,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
25,9 mph
35,10 mph
35,9 mph
25,8 mph
20,9 mph
15,6 mph
North Carolina,"South and central Texas coastline and adjacent northeastern Mexico; upper Texas and Louisiana coasts will experience rain, rough surf, and rip currents"
Florida,"Greatest impacts expected along the south Texas shoreline, with secondary effects (rain, rip currents) extending to the upper Texas and Louisiana coasts"
Florida,South-central and upper Texas coast and portions of the Louisiana coast
Florida,Texas coast from Port Mansfield northward to High Island; swells also affecting the Louisiana coast
Florida,Texas coast from Port Mansfield to High Island with some effects extending into the western Louisiana coastline
Florida,Primary impacts expected along the Texas coast; lesser effects possible western Louisiana coast
GFMX 280N 950W,GALVESTON TX
GALVESTON TX,GALVESTON TX
GFMX,CAMERON LA
GFMX,CAMERON LA
GFMX,LAKE CHARLES LA
MORGAN CITY LA,MORGAN CITY LA
1,3%
1,4%
2%,3%
2,5%
1%,3%
1 (percents),3%
X,0%
X,<1%
X,0%
2,0%
1,0%
1,0%
N/A,≈12
N/A,36
N/A,24
36,24
X,48
"Based on the Future Wind Probability Table from National Hurricane Center:

* At Port of Morgan City, LA: X (no peak within the next 5 days)
* At Port of Alexandria, LA: X (no peak within the next 5 days)
* ... (and so on)

Since there is no probability peak for 34-kt winds at Port of Greater Baton Rouge, LA within the next 5 days, the answer is:

N/A",30
N/A,
N/A,N/A
N/A,
22,N/A
N/A,N/A
N/A,N/A
N/A,3%
N/A,4%
2,2%
1,3%
1,2%
1,1%
"B. Houston Port Authority, TX",C.
"D. Houston Port Authority, TX",A.
C,D.
C,A.
C,A.
C,A.
Port Mansfield to Mesquite Bay Texas,"South and central Texas coastline and adjacent northeastern Mexico; upper Texas and Louisiana coasts will experience rain, rough surf, and rip currents"
Baffin Bay to Mesquite Bay Texas,"Greatest impacts expected along the south Texas shoreline, with secondary effects (rain, rip currents) extending to the upper Texas and Louisiana coasts"
Mouth of the Rio Grande to San Luis Pass Texas,South-central and upper Texas coast and portions of the Louisiana coast
Texas coast,Texas coast from Port Mansfield northward to High Island; swells also affecting the Louisiana coast
Texas coast,Texas coast from Port Mansfield to High Island with some effects extending into the western Louisiana coastline
Texas coast,Primary impacts expected along the Texas coast; lesser effects possible western Louisiana coast
D. Category 1,C.
B,B.
B,B.
B,A.
B,A.
B. Tropical Storm,A.
D,D.
"B. Tampa Port Authority, FL",D.
B,B.
C,C.
B,C.
B,D.
Gulf Coast,"South and central Texas coastline and adjacent northeastern Mexico; upper Texas and Louisiana coasts will experience rain, rough surf, and rip currents"
Florida,"Greatest impacts expected along the south Texas shoreline, with secondary effects (rain, rip currents) extending to the upper Texas and Louisiana coasts"
Florida,South-central and upper Texas coast and portions of the Louisiana coast
Florida,Texas coast from Port Mansfield northward to High Island; swells also affecting the Louisiana coast
Florida,Texas coast from Port Mansfield to High Island with some effects extending into the western Louisiana coastline
Mexico,Primary impacts expected along the Texas coast; lesser effects possible western Louisiana coast
