response,ground_truth
No,No
No,No
NO,No
NO,No
No,No
No,No
NO,No
Yes,No
B,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
C,A.
"Based on the Track Forecast Cone from National Hurricane Center, I see that the coastal areas under Tropical Storm Watch are:

* Florida Keys to Ackerman Creek
* Flagler Beach to Fernandina Beach

And for Hurricane Watch:

* West Palm Beach to Altamaha Sound, GA

Please note that these locations might not be exact boundaries but rather general indications of the areas under watch.",West of Morgan City LA to Intracoastal City LA (Tropical Storm Watch)
Florida Keys to West Palm Beach,Tropical Storm Watch from west of Morgan City LA to Intracoastal City LA
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) watch are:

Tampa Bay to East Cape Sable, Florida.

And the coastal areas under Hurricane watch are:

East Cape Sable, Florida to the Mississippi-Alabama border.","Tropical Storm Watch west of Morgan City to Intracoastal City, LA"
Hernandez Point to East Pass Lagoon,Hurricane Watch: Morgan City LA to the MS/AL border; Storm Surge Watch: Intracoastal City LA to Navarre FL
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane watches are:

Port Aransas to San Luis Pass",N/A (no U.S. watches posted yet)
Florida Keys to Key West Florida to Eastport Florida,"Hurricane Watch/Warning confined to Tulum–Rio Lagartos (Yucatán) and Tropical-Storm Warning for Pinar del Río, Cuba"
"Based on the provided Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane watch are:

Miami Beach to Englewood FL",N/A – current watches confined to western Cuba and northern Yucatan Peninsula
Hernandez Bay to Bonita Shores,"Tropical-storm watch only in effect for Pinar del Rio, Cuba"
"**Based on the Track Forecast Cone**

South Padre Island to Freeport",Hurricane Warning Morgan City LA to MS/AL border; Tropical Storm Warning MS/AL border to Walton/Bay Co. line FL; Storm Surge Warning Mouth of Atchafalaya River LA to Navarre FL
"Based on the Track Forecast Cone from National Hurricane Center, I see that:

Edisto Beach to Flagler Beach",Hurricane Warning Morgan City LA to MS/AL border; Tropical Storm Warning MS/AL border to Okaloosa/Walton County Line FL; Storm Surge Warning Mouth of Atchafalaya River LA to Navarre FL including Lake Pontchartrain and Mobile Bay
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Florida Keys to Lake Okeechobee","Hurricane Warning Morgan City, LA to MS/AL border; Tropical Storm Warning MS/AL border to Okaloosa/Walton County Line, FL"
"Based on the provided Track Forecast Cone image, I can see that the areas under Tropical Storm and Hurricane warnings are:

Edisto Beach to South Santee River to Cape Fear",Hurricane and Tropical-Storm Warnings in effect only for the Yucatan Peninsula of Mexico (none yet for U.S. coast)
