response,ground_truth
NO,Yes
C,A.
C,A.
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm Watch are:

Jacksonville Beach to Flagler Beach

And the coastal areas under Hurricane Watch are:

Fort Pierce to Jupiter",None
Palm Bay to Flagler Beach,Tropical Storm Warning from Edisto Beach SC to South Santee River SC
"24.5N, 85.3W","31.9N, 78.3W"
WNW,WNW
25,16 mph
Florida,Georgia and southern South Carolina coasts
SAVANNAH GA,SAVANNAH GA
6,6%
6,0%
120,6
X (no wind speed threshold reached),0
6%,6%
"C. Port of Brunswick, GA",A.
South Carolina,Georgia and southern South Carolina coasts
B. Tropical Storm,A.
C,C.
Texas,Georgia and southern South Carolina coasts
"Based on the Track Forecast Cone from National Hurricane Center, I estimate that 72 hours will pass before the cyclone makes landfall.

Answer: **72**",8
48,24
C,D.
D,B.
D,B.
Yes,No
D,A.
18,8
D,B.
B,B.
B,B.
"Tornadoes are possible within the tropical cyclone's outer rain bands as it makes landfall near the Port of Savannah, Georgia.",Rough seas and dangerous rip currents along the Georgia coast; brief tornado threat cannot be ruled out inland.
"{
""gale_probability"": {
""in 12h"": ""5"",
""in 24h"": ""7"",
""in 48h"": ""X(15)"",
""in 72h"": ""X(15)"",
""in 96h"": ""X(15)""
}
}","{'in 12h': '6%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
29-06-2021,None
28-06-2021,None
29-06-2021,None
5,0
3,None
5,None
D,A.
