response,ground_truth
NO,Yes
Yes,Yes
Yes,Yes
NO,Yes
No,Yes
NO,Yes
Yes,No
B,A.
B,A.
B,B.
C,B.
C,B.
B,A.
B,A.
B,B.
C,B.
B,A.
C,A.
C,A.
B,A.
B,A.
Tampa Bay to Anna Maria Island,None
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm and Hurricane Watch are:

Southwest Florida Coast (Fort Myers) to Englewood",None
"[img-0]

Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm (TS) and Hurricane Watch are:

West Palm Beach, Florida to Fort Myers, Florida

Please note that this information is based solely on the provided Track Forecast Cone and may be subject to change as the storm's track and intensity evolve.",Mississippi/Alabama border to the Alabama/Florida border (TS Watch); Mobile Bay (Storm Surge Watch)
West Palm Beach to Flagler Beach & Fernandina Beach to Ponte Vedra Beach,Mississippi/Alabama border eastward to the Alabama/Florida border (includes Mobile Bay)
"According to the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Hatteras NC to Chincoteague VA
Chesapeake Bay to Fenwick Island DE",Mississippi/Alabama border to the Alabama/Florida border (includes Mobile Bay)
"Based on the Track Forecast Cone from National Hurricane Center:

Fort Lauderdale to Flagler Beach, FL",Cayman Islands and western Cuba
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm Watch are:

Punta Gorda to Englewood, FL to Indian Pass, FL.

And under Hurricane Watch are:

Englewood, FL to Punta Gorda, FL to Suwannee River, FL.",Tropical-storm watches/warnings limited to the Cayman Islands and western Cuba at this time
"Based on the Track Forecast Cone from National Hurricane Center, I see that the areas under Tropical Storm Warning are:

South Santee River to Cape Lookout North Carolina to Little River South Carolina
and under Hurricane Warning are:

Cape Lookout North Carolina to Little River South Carolina","Tropical Storm Warning – Mouth of the Pearl River to the Alabama/Florida border; Storm Surge Warning – East of Rockefeller Wildlife Refuge, LA, to the Alabama/Florida border including Mobile Bay"
