response,ground_truth
NO,No
B,A.
C,A.
Brownsville to High Island TX,"Mexico Beach to Steinhatchee River, FL (Tropical Storm Watch area)"
"Cape San Blas, FL to Indian Pass, FL","Mexico Beach to Steinhatchee River, FL (Tropical Storm Warning in effect)"
"22.5N, 84.1W","29.0N, 86.3W"
WNW,NE
35,21 mph
Florida,"Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
JACKSONVILLE,CEDAR KEY FL
2%,5
2%,0
1,9
N/A,N/A
X,4
"B. Tampa Port Authority, FL",B.
Florida Panhandle,"Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
B,B.
B,A.
Gulf Coast,"Florida Panhandle coast tonight, then coastal Georgia and South Carolina Thursday"
"Based on the Track Forecast Cone from National Hurricane Center, I estimate that 36 hours will elapse before the cyclone makes landfall.",8
72,24
C,D.
D,B.
C,B.
No,No
D,A.
12,8
B,B.
B,A.
C,A.
Isolated tornadoes are possible over the Tampa area this evening into tomorrow morning.,Low chance of an isolated tornado in outer rain bands
"{
""gale_probability"": {
  ""in 12h"": 1,
  ""in 24h"": 7,
  ""in 48h"": 6,
  ""in 72h"": X,
  ""in 96h"": X
}
}","{'in 12h': '4%', 'in 24h': '1%', 'in 48h': '0%', 'in 72h': '0%', 'in 96h': '0%'}"
09-08-2021,None
09-10-2021,None
10-09-2021,None
3,0
3,None
1,None
B. 1-10 vessels,A.
