response,ground_truth
NO,Yes
Yes,Yes
Yes,Yes
C,C.
C. Hurricane,C.
C,B.
B,B.
C. Hurricane,B.
B,A.
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under the Tropical Storm and Hurricane Watch are:

Tampa to Englewood

Please note that this information is based on the provided image and may not be up-to-date or accurate. It's always best to check with reliable sources like the National Hurricane Center (NHC) for the most recent and accurate information.","Port Aransas, TX to San Luis Pass, TX"
"Based on the provided Track Forecast Cone, the coastal areas under Tropical Storm Watch are:

Key West, FL to Indian Pass, FL
Indian Pass, FL to Englewood, FL","Hurricane Watch from Port Aransas to Freeport, TX"
"Based on the provided Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Tampa Bay to Indian Pass, FL

Please note that the figure may not indicate specific locations beyond what is shown. If that's the case, my answer would be: None","North of Port Aransas to High Island, Texas"
Miami Beach to Fort Lauderdale,"Mouth of the Rio Grande, TX to Sabine Pass, TX (TS); Port Aransas, TX to Sabine Pass, TX including Matagorda & Galveston Bays (Storm Surge)"
"Based on the Track Forecast Cone from National Hurricane Center, I see that the areas under Tropical Storm and Hurricane warnings are:

South Miami Beach to Englewood FL","Tropical Storm Warning from the Mouth of the Rio Grande to High Island, TX"
Brownsville to Indian Pass FL,"Mouth of the Rio Grande to Port Aransas, Texas (tropical-storm warning) ; Mouth of the Rio Grande to High Island (storm-surge watch)"
"22.5N, 85.3W","26.9N, 96.5W"
"23.1N, 85.9W","25.1N, 96.5W"
"24.1N, 85.9W","21.7N, 95.5W"
WNW,N
WNW,NNW
WNW,NNW
35,12 mph
45,15 mph
25,15 mph
North Carolina,"Middle and upper Texas coast including Matagorda Peninsula, Freeport/Lake Jackson area, Galveston Bay, and adjacent bays"
Florida,Entire Texas coastline from the Rio Grande through the upper Texas coast and into southwest Louisiana
Florida,"Entire Texas coastline from the mouth of the Rio Grande through the upper Texas coast, including Freeport, Galveston and into southwest Louisiana"
FREEPORT TX,FREEPORT TX
FREEPORT TX,FREEPORT TX
