response,ground_truth
NO,Yes
Yes,Yes
NO,Yes
Yes,Yes
No,Yes
NO,Yes
NO,No
Yes,Yes
B,B.
B,A.
B,A.
C,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C,A.
C,A.
"Based on the Track Forecast Cone, the coastal areas under Tropical Storm (TS) and Hurricane watches are:

Jacksonville Beach, FL to Edisto Beach, SC","Altamaha Sound GA southward to Jupiter Inlet FL, including the St. Johns River and Jacksonville area"
"West Palm Beach, FL to Fort Myers, FL",Hurricane Watch from Englewood to Anclote River including Tampa Bay; Tropical Storm Watch Englewood southward to Chokoloskee and Little Cayman/Brac.
Key West FL to Flagler Beach FL,"Lower Florida Keys from Seven Mile Bridge southward to Key West, including the Dry Tortugas (Tropical Storm Watch)"
"**Florida** to **North Carolina**

(Note: The Track Forecast Cone indicates a watch zone for Tropical Storm/Hurricane conditions from Florida to North Carolina.)",None
Pembroke Park to Deerfield Beach,None in effect for Florida as of Advisory #7
"As a cyclone and port operations analyst, I can see from the Track Forecast Cone that the coastal areas under Tropical Storm Watch are:

Miami, FL to Boca Raton, FL

And the coastal areas under Hurricane Watch are:

Boca Raton, FL to West Palm Beach, FL",Hurricane Watch – Cayman Islands; Tropical Storm Watch – Jamaica (no U.S. coast under watch yet)
"Key West, FL to Fort Myers Beach, FL",Hurricane Watch – Cayman Islands; Tropical Storm Watch – Jamaica
"Based on the Track Forecast Cone from National Hurricane Center, the coastal areas under Tropical Storm Watch are:

Key West, FL to Indian Pass, FL

And under Hurricane Watch are:

South Walton County, FL to Flagler/Volusia County Line, FL",None
"Based on the Track Forecast Cone from National Hurricane Center, I can see that the coastal areas under Tropical Storm (TS) and Hurricane warning are:

Edisto Beach to Boca Raton, Florida","Hurricane and Storm-Surge Warnings currently limited to Florida’s west coast from the Anclote River southward to Flamingo, including Tampa Bay (not applicable to Jacksonville)"
