response,ground_truth
No,No
Yes,No
Yes,No
B,A.
A,A.
B,A.
C,A.
B,A.
B,A.
'None',N/A – no watch in effect north of South Santee River SC
None,Tropical-storm watch north of Altamaha Sound GA to South Santee River SC
None,Tropical-storm warning in effect Indian Pass FL to Englewood FL (Gulf Coast)
None,Tropical-storm warnings from Indian Pass FL to Englewood FL on the Gulf coast and Sebastian Inlet FL to South Santee River SC on the Atlantic coast
None,Tropical-storm warning Indian Pass FL to Englewood FL and Altamaha Sound GA to Sebastian Inlet FL
None,Same as watch area – Indian Pass FL to Englewood FL
"The image provided shows a weather map tracking a hurricane. However, it does not display specific data on the current eye of the tropical cyclone. If you need information on the current location of the tropical cyclone's eye, please refer to the latest official updates from the National Hurricane Center or other reputable sources.","27.0N, 87.0W"
"The image you've shared appears to be a screenshot from a weather forecast map, showing a tropical cyclone track forecast from the National Hurricane Center (NHC). However, the specific current eye coordinates are not provided in the image as indicated by the text ""current eyewall is not yet visible"". It suggests that there might be some uncertainty about the location of the current eye of the storm at the time this image was taken.","23.6N, 87.8W"
"The image provided is a map showing the track and forecast cone for a tropical cyclone. However, I am unable to determine the exact position of the eye of the tropical cyclone based on the image alone. Tropical cyclones can be highly dynamic and their positions can change rapidly. For up-to-date information on the location of the eye of a tropical cyclone, it is recommended to consult official weather agencies such as the National Hurricane Center (NHC) for accurate and up-to-date data.","21.9N, 88.1W"
NNW,NNE
N,N
NNW,N
Stationary,16 mph
175,9 mph
10,8 mph
Caribbean,"Florida Gulf coast, northern Florida, Georgia and the coastal Carolinas, then offshore Atlantic waters"
Florida,"Florida Gulf Coast, southeastern Georgia, coastal South and North Carolina, then over the western Atlantic"
Florida,"Florida Big Bend, then the southeast and mid-Atlantic coasts as the system moves northeast just offshore"
Cedar key fl,NORFOLK VA
NEW JERSEY,NANTUCKET MA
EWR (Newark),ATLANTIC CITY
97,≈3%
0.172,3%
85,3%
"The cumulative probability of 50-kt wind arrival at New York, NY & NJ within the next 5 days is 79.",≈0%
71,0%
148,0%
68,36 h
0,72
16,72
216,0 h (non-existent)
687,
3,N/A
12,≈3%
1024,3%
6,3%
B,D.
B,C.
D,A.
"Based on the Cyclone Public Advisory from National Hurricane Center, the expected landfall location for Tropical Storm Colin, if the CT continues at the current speed and direction, is Indian Pass to Englewood, Florida.","Florida Gulf coast, northern Florida, Georgia and the coastal Carolinas, then offshore Atlantic waters"
Florida Big Bend area,"Florida Gulf Coast, southeastern Georgia, coastal South and North Carolina, then over the western Atlantic"
location1,"Florida Big Bend, then the southeast and mid-Atlantic coasts as the system moves northeast just offshore"
B,B.
C,B.
B,A.
D,C.
A,C.
D,C.
Florida Keys,"Florida Gulf coast, northern Florida, Georgia and the coastal Carolinas, then offshore Atlantic waters"
Florida,"Florida Gulf Coast, southeastern Georgia, coastal South and North Carolina, then over the western Atlantic"
Texas,"Florida Big Bend, then the southeast and mid-Atlantic coasts as the system moves northeast just offshore"
108,8–12
24,20
52,24
48,"0 (system remains offshore relative to New York, NY & NJ)"
0,60
12,0
B,D.
D,D.
D,D.
A,A.
C,B.
D,A.
A,A.
D,D.
A,D.
No.,No
Yes.,No
Yes,No
A,A.
D,D.
A,D.
25,8–12
36,20
12,24
D,D.
C,B.
A,A.
D,B.
C,B.
B,B.
D,B.
D,B.
C,B.
"Flood risk in low-lying areas along coast of NY, NJ.",Elevated surf and rip-current risk along New Jersey and Long Island beaches mid-week
A flood risk is associated with the potential for increased inland water levels due to heavy rainfall from the storm.,High surf and dangerous rip currents along ocean-facing beaches
"The image does not provide information on potential hazards associated with a possible future storm in New York, NY & NJ, excluding rainfall, wind, and storm surge.",None anticipated that would materially affect port operations.
"```json
{
    ""12h"": false,
    ""24h"": true,
    ""48h"": true,
    ""72h"": true,
    ""96h"": true
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '≈3%', 'in 72h': '0%', 'in 96h': '0%'}"
"```json
{
    ""12H"": {
        ""galeForceProbability"": 0.5
    },
    ""24H"": {
        ""galeForceProbability"": 0.75
    },
    ""48H"": {
        ""galeForceProbability"": 0.9
    },
    ""72H"": {
        ""galeForceProbability"": 1
    },
    ""96H"": {
        ""galeForceProbability"": 0.8
    }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '3%'}"
"```json
{
    ""12h"": ""0.5"",
    ""24h"": ""0.65"",
    ""48h"": ""0.75"",
    ""72h"": ""0.85"",
    ""96h"": ""0.95""
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '0%'}"
"The image shows a tropical storm warning advisory from the National Hurricane Center for Tropical Storm Colin. The advisory mentions that a turn toward the northeast is expected this afternoon, and that a rapid northeastward motion is expected tonight and Tuesday. It also mentions the potential for rainfall and storm surge, along with the areas affected, such as the Florida Big Bend area, parts of Florida, southeastern Georgia, and coastal areas of the Carolinas through Tuesday. The advisory states that the deepest water will occur along the immediate coast, and that surge-related flooding depends on the relative timing of the surge and the tidal cycle. It advises to monitor products issued by local National Weather Service forecast offices for information specific to one's area.",None
29-06-2016,None
12-06-2016,None
"The predicted peak impact on freight at New York, NY & NJ is expected to occur on 06-06-2016.",None
10-06-2016,None
"The image you've provided appears to be a tropical storm advisory from the National Weather Service (NWS), specifically for Tropical Depression Three. However, there is no information about the peak impact on freight at New York, NY & NJ in this image or text. If you have a specific date you are referring to, please let me know and I can provide more detailed information.",None
06-06-2016,None
"The advisory does not provide information about when the expected end of impact on freight at New York, NY & NJ will be.",None
05-06-2016,None
2 days,0
