response,ground_truth
No,Yes
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
No.,Yes
Yes,Yes
Yes,Yes
No,Yes
C,A.
A,B.
C,A.
C,A.
C,A.
A,A.
C,A.
C,A.
B,A.
B,B.
B,A.
A,A.
B,A.
A,A.
C,A.
A,A.
C,A.
B,A.
None,"North of Surf City NC to Oregon Inlet, including Pamlico Sound"
None,"Marineland, FL to South Santee River, SC (includes Charleston area)"
"Location1: Washington DC
Location2: None",Tropical Storm Watch from Marineland FL to Altamaha Sound GA
None,"Hurricane Watch from Anclote River to Indian Pass, FL; Tropical Storm Watch west of Indian Pass to the Walton/Bay County line, FL"
"Location1: Florida Keys
Location2: Miami
Location3: Cuba
Location4: None",Hurricane Watch: Anclote River to Indian Pass FL; Tropical Storm Watch: west of Indian Pass to the Walton/Bay County line
None,
None,
None,None
None,None at this time
None,Flagler/Volusia County line FL to Surf City NC (includes entire Georgia and South Carolina coasts)
None,Suwannee River to Destin FL (TS) and Suwannee River to Mexico Beach FL (Hurricane)
None,Tropical Storm Warning from Anclote River to the Walton/Bay County line FL; Hurricane Watch from Anclote River to Indian Pass FL
None,None at this time
None,None issued at this time
None,
None,
None,None
Florida Keys,None at this time
"The current eye of the tropical cyclone is at '32.4N, 77.6W'.","27.8N, 85.6W"
"The image provided appears to be a satellite or radar image showing a storm system rather than a specific cyclone with an eye. Therefore, I cannot provide coordinates for the current eye of a tropical cyclone as this information is not visible in the image. To get the latest forecast and track information for a specific cyclone, it's recommended to visit the National Hurricane Center website or their social media platforms.","26.0N, 87.0W"
"The image you provided appears to be a screenshot of a weather map from a meteorological agency, showing the location of a tropical cyclone over the Atlantic Ocean. However, without specific knowledge about the current eye of the cyclone in question, I cannot confidently provide the coordinates for the current eye of the tropical cyclone shown on this map. The image does not show a clear eye or center of circulation, which makes it difficult to determine the exact location of the current eye.","24.7N, 88.0W"
"The image does not provide the current eye of the tropical cyclone in the format you requested. It shows a forecast cone and various other data points, but the current position of the eye is not depicted as coordinates. If you need information about the current location or any other aspect of the weather system shown in the image, please let me know, and I'll be happy to assist you further.","24.3N, 88.1W"
"The image you've provided appears to be a weather map showing the track and forecast cone for a tropical cyclone. However, I am unable to provide specific information about the location of the current eye of the cyclone as it may not be fully visible or clearly labeled on this particular image. If you have a different image that provides a clearer view of the cyclone's position, I would be happy to help with that!","24.4N, 87.3W"
"The image displays a map showing the path of a tropical cyclone. The current eye of the cyclone is located at:

'32.4N, 77.6W'","23.8N, 86.6W"
"The image does not provide the current eye coordinates of the tropical cyclone. It only shows a forecast cone from the National Hurricane Center and a map showing the location of Miami, Florida. There is a small text in the image that reads ""Current information: Current Information: 209 Tropical Depression Nine. Forecast Post."" However, there are no coordinates given for the current eye or location within the forecast cone.","23.6N, 84.3W"
"The image shows a forecast track cone from the National Hurricane Center, which includes information on the current location and future predicted paths of a tropical cyclone. Based on this image, the current eye of the tropical cyclone is located at approximately '32.4N, 77.6W'. However, it's important to note that these are projections and actual track could vary. The image also indicates the forecast path, providing information on where the storm is expected to move over time. Please refer to the image for additional details.","23.4N, 82.7W"
"The image you provided does not show a current location for the cyclone's eye. It appears to be an older track forecast cone from the National Hurricane Center. To get information on the latest location of the cyclone's eye, I would recommend checking the National Hurricane Center's website or other reputable sources for real-time weather updates.","23.7N, 81.7W"
NNW,NNE
NW,N (expected to turn NNE soon)
N,N
N,W
NNW,NW
The tropical cyclone appears to be moving 'N' according to the image.,W
NNW,W
NNW,W
NNW,W
Stationary,14 mph
45,6 mph
75,2 mph
1,1 mph
Stationary,5 mph
Stationary,7 mph
0,7 mph
40,9 mph
Stationary,9 mph
"The track forecast cone for Tropical Cyclone Hermine indicates that the coastal region from Florida, through Georgia and the Carolinas, is most likely to be affected by the storm.",Florida Big Bend through Georgia and South Carolina coasts northward into North Carolina and the mid-Atlantic
Louisiana,"Florida Big Bend, coastal Georgia, South Carolina, North Carolina, and Mid-Atlantic states"
Florida,"Florida Gulf Coast, then coastal Georgia and the Carolinas"
"The image depicts a tropical cyclone, but it does not provide specific names of coastal regions or ports that may be affected. However, the image shows a track forecast cone from the National Hurricane Center and includes various meteorological data such as wind speed, central pressure, and forecast positions at different times. If you need information on specific regions or ports that are most likely to be affected by the tropical cyclone shown in the image, I would recommend consulting official weather forecasts from the National Weather Service or other reputable sources.","Gulf Coast of FL, then Atlantic coasts of GA and the Carolinas, including the South Carolina low-country"
Portion of Florida,"Florida Big Bend, Georgia coast, and South Carolina coast (including Charleston area)"
"The map does not provide enough information to determine the exact coastal region where ports are most likely to be affected by the tropical cyclone. It only shows a track forecast cone and some port names in the United States, but it does not specifically indicate which regions along the coast are at highest risk of being impacted by the cyclone.","Florida Gulf Coast from Tampa Bay northward through the Big Bend, then inland across southern Georgia and southeastern South Carolina including the Port of Charleston, before moving offshore toward the Carolinas and Mid-Atlantic coast."
Florida,Northeast Florida through coastal Georgia and South Carolina into southeastern North Carolina
"The coastal region in the image that is most likely to be affected by the tropical cyclone is the Gulf Coast, specifically in the states of Florida and Louisiana.",Coastline from the Florida Big Bend northeastward through Georgia and the South and North Carolina coasts
Gulf Coast,"Florida Gulf Coast Big Bend, then the southeast Atlantic coast from northern Florida through Georgia, South Carolina and eastern North Carolina"
"Charleston, SC",CHARLESTON SC
BEAUFORT,CHARLESTON SC
"The closest weather forecast location to the Port of Charleston, SC is ""CHARLESTON, SC""",CHARLESTON SC
"The port of charleston, sc's closest weather forecast location in the table is ""GFMX 290N 850W"".",CHARLESTON SC
"The nearest weather forecast location to the Port of Charleston, SC on the table is GFMX 290N 850W 34  X.",CHARLESTON SC
Savannah,CHARLESTON SC
Savannah,CHARLESTON SC
BEAUFORT,CHARLESTON SC
PORT RICHEY,CHARLESTON SC
0.98,67%
108,51%
0.987,35%
1.000,32%
84,23%
10780,22%
0.8671,17%
80,12%
9,10%
14,22%
42,13%
31,8%
49,9%
4,5%
17,5%
"The cumulative probability of 50-kt wind arrival at Port of Charleston, SC within the next 5 days is 79%.",4%
18,0%
2,0%
