response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes,No
A,A.
C,A.
B,A.
B,A.
B,A.
C,A.
B,A.
C,A.
C,A.
B,A.
None,All watches confined to the south Texas coast (Port Mansfield southward). None issued east of the Mouth of the Rio Grande.
None,Hurricane / Storm Surge watches confined to the lower Texas coast (south of Port Mansfield) – none for Mississippi or Alabama coasts
None,Storm Surge Watch south of Port Mansfield TX to the Mouth of the Rio Grande and north of San Luis Pass to High Island TX; Hurricane Watch south of Port Mansfield TX to the Mouth of the Rio Grande
None,Storm-surge watch Port Mansfield TX to High Island TX; Hurricane watch north of Port Mansfield to San Luis Pass TX; Tropical-storm watch Boca de Catan MX to Port Mansfield TX and north of San Luis Pass to High Island TX
None,Storm-surge and hurricane watches from Port Mansfield TX to High Island TX; tropical-storm watch Mouth of Rio Grande to High Island TX
None,Storm-surge warning Port Mansfield-High Island TX; Hurricane warning Port Mansfield-Sargent TX; Tropical-storm warning Sargent-High Island TX. No warnings for Mississippi coast.
None,"Hurricane and Tropical-Storm warnings from Port Mansfield to High Island, TX – none extend east of Louisiana"
"The image does not provide specific location information for the coastal area under the tropical storm and hurricane warning. However, it is indicated that this particular advisory covers the coast from Florida City eastward across the northern Gulf of Mexico to Texas City and westward across the northwestern Gulf of Mexico to the mouth of the Rio Grande.",Storm Surge Warning Port Mansfield to San Luis Pass TX; Hurricane Warning Port Mansfield to Matagorda TX; Tropical Storm Warning north of Matagorda to High Island TX and south of Port Mansfield TX to the Mouth of the Rio Grande
None,None (warnings anticipated for parts of TX coast Thursday)
None,None in effect with this advisory
"The image shows a forecast track cone for Hurricane Harvey from the National Hurricane Center. However, it does not provide the current location of the eye of the tropical cyclone in terms of longitude and latitude coordinates. It only indicates the potential path of the storm with dates and times along the track.","26.7N, 96.0W"
"32.4N, 77.6W","25.2N, 94.6W"
"The current eye of the tropical cyclone is located at '32.4N, 77.6W'.","24.0N, 93.3W"
"The image provided is a graphic representation of a weather forecast or tracking chart, and it does not contain specific coordinates for the current eye of the tropical cyclone. It shows the projected path of the cyclone, with various time intervals marked on it, such as '32.4N, 77.6W' being the predicted location after 1 day, but this information may not be accurate or up to date. To obtain current and accurate meteorological information, one should consult official weather agencies or government sources.","21.9N, 92.6W"
