response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,Yes
Yes,No
Yes,No
Yes,Yes
Yes,No
C,A.
A,A.
A,A.
A,A.
A,A.
A,A.
B,A.
B,A.
C,A.
C,A.
C,A.
B,A.
B,A.
A,A.
A,A.
B,A.
None,"N/A – no watches for Puerto Rico. Current watches confined to British Virgin Islands, St. Thomas & St. John."
None,"Hurricane and Tropical-storm watches extend across the northern Leeward Islands including Antigua, Barbuda, Anguilla, Sint Maarten, St. Martin, St. Barthelemy, Montserrat, St. Kitts, Nevis, Saba, St. Eustatius, British Virgin Islands, St. Thomas and St. John"
'None',"Hurricane Watch – Antigua, Barbuda, Anguilla, Sint Maarten, St. Martin; Tropical Storm Watch – Montserrat, St. Kitts, Nevis, Saba, St. Eustatius"
None,"Hurricane Watch for Antigua and Barbuda; Tropical Storm Watch for Anguilla, Montserrat, St. Kitts, Nevis, Saba and St. Eustatius"
None,None
None,None in effect
None,None
None,
None,"N/A – hurricane warnings limited to Barbuda, Anguilla, Sint Maarten/St. Martin, St. Barthelemy."
None,"Tropical-storm warnings for St. Martin, St. Barthelemy, Sint Maarten and Antigua–Barbuda–Anguilla"
None,"Tropical Storm Warning – Antigua, Barbuda, Anguilla"
None,None
None,None
None,None in effect
None,None
None,
"The image does not provide coordinates for the current eye of the tropical cyclone. It shows a forecast track cone from the National Hurricane Center and includes information on the current position, storm size, and other details related to the cyclone's trajectory and intensity. However, the specific location of the current eye is not visible in this image.","16.9N, 59.3W"
"The image shows a map with an overlaid track forecast cone for a tropical cyclone. According to this map, the current eye of the tropical cyclone is located at the following coordinates:

'31.2N, 80.4W'","16.3N, 57.1W"
"'30.1N, 80.5W'","15.6N, 53.9W"
The image does not provide the exact coordinates for the current eye of the tropical cyclone. It only shows the path forecast cone and some warnings and alerts related to the storm.,"14.9N, 50.6W"
"The image provided does not show the current eye of the tropical cyclone in the specified format. It shows a map with the predicted track of a hurricane, including its forecast cone from the National Hurricane Center and various locations marked as current position or potential future positions. The map includes annotations showing the names and states associated with different tracks, as well as a legend explaining the symbols used to represent the storm's intensity and forecast.","14.4N, 47.5W"
