response,ground_truth
No,Yes
Yes,Yes
B,A.
C,A.
A,A.
B,A.
None,N/A (no U.S. watches yet)
None,None in the United States (current watches limited to Nicaragua/Honduras coast)
None,N/A (no U.S. warnings yet)
None,"Tropical Storm Warning in effect from Sandy Bay Sirpi, Nicaragua to Punta Castilla, Honduras"
"Based on the image you provided and the National Hurricane Center's track forecast cone, the current eye of the tropical cyclone is at approximately '32.4N, 77.6W'. This is where the storm is currently located.","12.6N, 82.6W"
"The image you've provided appears to be a screenshot of a weather map, specifically showing the location of a tropical cyclone's eye. According to the map, the current eye of the tropical cyclone is at approximately '19.0N, 82.5W'. Please note that these are approximate coordinates and can change as the storm system moves across the region. It is essential to follow official weather forecast updates for accurate and up-to-date information on the location of a tropical cyclone's eye.","12.2N, 81.9W"
NNW,NW
WSW,NW
0,7 mph
0,7 mph
"The image shows a map and information about the current state of a tropical cyclone. The area where ports are most likely to be affected is the Gulf Coast region, including parts of Florida and Louisiana. Specifically, the regions that may experience impacts include Miami, Tampa Bay, New Orleans, and other coastal areas along the eastern seaboard from these cities southward.","southeast Louisiana eastward through Mississippi and Alabama to the western Florida Panhandle, including Mobile Bay"
"The map does not show a specific region for ports that might be affected by the tropical cyclone. It only shows the track forecast cone from the National Hurricane Center, which indicates the possible paths and intensity of the storm.","Potential impact corridor spans the northern Gulf Coast from southeast Louisiana through Mississippi, Alabama, and the western Florida Panhandle"
GFMX,MOBILE AL
MORGAN CITY LA,MOBILE AL
19,36%
0.78,24%
"The cumulative probability of 50-kt wind arrival at Mobile, AL within the next 5 days based on this forecast image is 2.",14%
86,7%
1,120
"910W                                                                  
Forecaster Blake                                                    
NNNN                                                                
28",120
1,120
12,120
4,36%
9,24%
B,A.
A,A.
Sandy Bay Sirpi Nicaragua,"southeast Louisiana eastward through Mississippi and Alabama to the western Florida Panhandle, including Mobile Bay"
Sandy Bay Sirpi Nicaragua,"Potential impact corridor spans the northern Gulf Coast from southeast Louisiana through Mississippi, Alabama, and the western Florida Panhandle"
B,A.
B,A.
A,A.
C,A.
Florida,"southeast Louisiana eastward through Mississippi and Alabama to the western Florida Panhandle, including Mobile Bay"
Florida,"Potential impact corridor spans the northern Gulf Coast from southeast Louisiana through Mississippi, Alabama, and the western Florida Panhandle"
24,90
72,96
None,24
None,12
A,D.
A,D.
D,B.
D,B.
D,D.
D,D.
Yes,Yes
Yes.,Yes
C,D.
B,D.
6,90
24,96
C,A.
A,B.
C,D.
Possible flooding from storm water runoff.,Isolated tornadoes in outer rain bands; rough seas and dangerous rip currents impacting vessel operations well ahead of landfall.
Flooding from heavy rains and storm tide.,Very rough seas and dangerous marine conditions; isolated tornadoes in outer rainbands as the center approaches.
"```json
{
    ""12_hour"": ""0.3"",
    ""24_hour"": ""0.5"",
    ""48_hour"": ""0.7"",
    ""72_hour"": ""0.9"",
    ""96_hour"": ""1""
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '3%', 'in 96h': '32%'}"
"```json
{
    ""12"": {
        ""ON"": ""0.5"",
        ""OFF"": ""0.5""
    },
    ""24"": {
        ""ON"": ""0.75"",
        ""OFF"": ""0.25""
    },
    ""48"": {
        ""ON"": ""1.0"",
        ""OFF"": ""0.5""
    },
    ""72"": {
        ""ON"": ""1.0"",
        ""OFF"": ""0.25""
    },
    ""96"": {
        ""ON"": ""0.75"",
        ""OFF"": ""0.5""
    }
}
```","{'in 12h': '0%', 'in 24h': '0%', 'in 48h': '0%', 'in 72h': '1%', 'in 96h': '17%'}"
"The expected start of impact on freight at Mobile, AL is 24 hours from now.",10/7/2017
"The expected start of impact on freight at Mobile, AL is early Thursday, October 5, 2017.",10/7/2017
"The image shows a tropical storm warning for Tropical Depression Sixteen, which is expected to affect various regions including Nicaragua, Honduras, and the northwestern Caribbean Sea. It mentions that the depression will be nearing the coast of Nicaragua early Thursday, move across northeastern Nicaragua and eastern Honduras late Thursday, and emerge into the northwestern Caribbean Sea on Friday. The forecast track suggests that the storm could affect Mobile, AL at a later time, but it does not provide the exact date for the peak impact on freight at Mobile.",10/8/2017
"The next intermediate advisory at 200 PM EDT suggests that there will be tropical storm conditions starting in the warning area in Nicaragua early Thursday and spreading into Honduras late Thursday. The next complete advisory at 500 PM EDT will provide more information on the predicted peak impact on freight at Mobile, AL. Please note that this is a prediction based on current models and data, and the actual timing and intensity of the storm may change as it develops.",10/8/2017
"The end date for the freight at Mobile, AL is 05-11-2017.",10/7/2017
26-10-2017,10/7/2017
2,2
1,2
3,1.0
1,1.0
3,0.736080568
34,0.736080568
B,C.
B,C.
