response,ground_truth
Yes,No
Yes,No
No,No
Yes,No
No,Yes
Yes,Yes
C,A.
A,A.
C,A.
A,A.
C,A.
B,A.
B,A.
A,A.
C,A.
C,A.
C,A.
C,A.
None,"Hurricane Watch: Mouth of the Mississippi River to Grand Isle, and Intracoastal City to Cameron, LA. Tropical Storm Watch: east of the Mouth of the Pearl River to the MS/AL border."
None,"Hurricane Watch: Mouth of the Mississippi River to Grand Isle, and Intracoastal City to Cameron. Tropical Storm Watch: east of the Mouth of the Pearl River to the Mississippi/Alabama border."
None,"Hurricane Watch: Mouth of the Mississippi River to Grand Isle and Intracoastal City to Cameron, LA.  Tropical Storm Watch: East of Pearl River to the MS/AL border."
None,"Hurricane Watch from the Mouth of the Mississippi River westward to Cameron, LA"
None,"Storm Surge Watch from the Mouth of the Pearl River to Intracoastal City, LA; Hurricane Watch from the Mouth of the Mississippi River to Cameron, LA; Tropical-Storm Watch from the Mouth of the Mississippi River to the Mouth of the Pearl River"
None,"Mouth of the Mississippi River to Morgan City, LA (Tropical-Storm and Storm-Surge Watches)"
None,"Hurricane Warning: Intracoastal City to Grand Isle, LA. Tropical Storm Warning: Mouth of the Pearl River to Grand Isle, LA; Lake Pontchartrain and Maurepas; Intracoastal City to Cameron, LA. Storm-surge warnings for Intracoastal City LA to Biloxi MS and Lake Pontchartrain."
None,"Hurricane Warning: Intracoastal City to Grand Isle. Tropical Storm Warning: Mouth of the Pearl River to Grand Isle, Lake Pontchartrain/Lake Maurepas (incl. New Orleans), and Intracoastal City to Cameron. Storm Surge Warning: Intracoastal City to Biloxi and Lake Pontchartrain."
None,"Hurricane Warning: Intracoastal City to Grand Isle, LA.  Tropical Storm Warning: Mouth of Pearl River to Grand Isle, Lake Pontchartrain & Maurepas, Intracoastal City to Cameron, LA."
None,"Tropical Storm Warning from the Mouth of the Pearl River to Morgan City, LA; Storm Surge Warning Mouth of the Atchafalaya River to Shell Beach, LA"
None,None yet issued
None,None at this time
"Based on the image provided and the context given, the current eye of the tropical cyclone is located at approximately:

'30.1N, 85.9W'","28.6N, 91.0W"
