response,ground_truth
No,Yes
Yes,Yes
No,Yes
Yes,Yes
Yes,Yes
No,No
Yes,No
No,Yes
B,A.
A,A.
C,A.
A,A.
B,A.
B,A.
A,A.
B,A.
C,A.
C,A.
A,A.
B,A.
B,A.
B,A.
C,A.
A,A.
None,None
None,"West of Morgan City to Intracoastal City, Louisiana (Tropical Storm Watch)"
None,"Tropical Storm Watch west of Morgan City to Intracoastal City, Louisiana"
None,"Storm-surge and hurricane watches limited to the northern Gulf Coast from Intracoastal City, LA, to the MS/AL border"
None,Hurricane and tropical-storm watches/warnings limited to the Yucatán Peninsula and Gulf Coast—none issued north of Louisiana yet
"Location1: Miami
Location2: None","Hurricane Watch/Warning from Tulum to Rio Lagartos, Mexico including Cozumel; Tropical-Storm Warning for Pinar del Rio, Cuba"
None,"Tulum to Rio Lagartos, Mexico including Cozumel (Tropical Storm Watch)"
None,"Tropical-storm watch only for Pinar del Rio, Cuba (far from Virginia)."
None,None
None,Hurricane Warning from Morgan City Louisiana to the Mississippi/Alabama border; Storm Surge Warning Mouth of Atchafalaya River LA to Navarre FL
None,Hurricane Warning Morgan City LA to Mississippi/Alabama border; Storm Surge Warning Intracoastal City LA to Navarre FL; Tropical Storm Warning Mississippi/Alabama border to Okaloosa/Walton County Line FL and Punta Allen to Progreso MX
None,Hurricane warnings only for the Yucatán Peninsula (Tulum-Dzilam) at this time
None,"Hurricane Warning: Tulum to Dzilam, Mexico; Tropical-Storm Warning: portions of western Cuba and northern Yucatán coast"
None,"Hurricane Warning from Tulum to Rio Lagartos, Mexico including Cozumel; Tropical-Storm Warning for Pinar del Rio, Cuba"
None,"Pinar del Rio, Cuba (Tropical Storm Warning)"
None,None in effect at this time.
"The image shows a map from the National Hurricane Center with the current position of Tropical Storm Zeta marked. According to the map, the eye of the tropical cyclone is located at the following coordinates: 32.4N, 77.6W.","25.1N, 91.8W"
"'32.4N, 77.6W'","22.7N, 90.3W"
