response,ground_truth
No,Yes
No,No
Yes,Yes
A,A.
A,A.
A,A.
C,A.
B,A.
A,A.
"Location1: None
Location2: None",None
None,"No watches posted west of Intracoastal City, LA"
None,"Tropical Storm Warning issued east of the port from Intracoastal City, LA to the AL/FL border including Lakes Pontchartrain & Maurepas"
None,"Tropical Storm Warning in effect east of Morgan City, LA to the Okaloosa/Walton County line, FL, including Lake Pontchartrain, Lake Maurepas, and metropolitan New Orleans"
None,"Tropical-Storm Warning from Intracoastal City, LA eastward to the Okaloosa/Walton County line, FL including Lake Pontchartrain, Lake Maurepas and metropolitan New Orleans"
None,Same as watch area – Intracoastal City LA to AL/FL border
"The image shows a map from National Hurricane Center with a tropical cyclone forecast cone. According to this track forecast cone, the current eye of the tropical cyclone is at the following coordinates:

29.4N, 80.2W","27.9N, 91.2W"
"I cannot provide the current location of a tropical cyclone as it does not exist on any maps or forecasts at this moment. However, if you are looking for information about a potential cyclone's path, you should refer to official weather agencies such as the National Hurricane Center for their most recent updates and track forecast cones.","25.2N, 91.5W"
"The image you've provided is a screenshot of a hurricane track forecast cone from the National Hurricane Center (NHC). Based on the current path of the tropical cyclone shown in the map, the eye of the storm is projected to be at '32.4N, 77.6W'. This indicates that the eye of the storm will pass over Florida. However, it's important to note that forecasts can change and actual storm paths may deviate from the predicted track. Always follow local weather advisories for the most up-to-date information about tropical cyclones in your area.","22.9N, 92.4W"
NNW,N
NNW,N
WNW,N
0,16 mph
10,14 mph
Stationary,9 mph
Miami,Entire northern Gulf Coast from central Louisiana eastward to the western Florida Panhandle
The image does not provide specific information about the regions that may be most likely affected by the tropical cyclone.,Northern Gulf Coast from southwest Louisiana through coastal Mississippi-Alabama into the western Florida Panhandle
Florida,"Entire north-central Gulf Coast from southwest Louisiana through coastal Mississippi, Alabama and the western Florida Panhandle"
GFMX 280N 910W,MORGAN CITY LA
Lake Charles,LAKE CHARLES
"The Lake Charles Harbor District, LA's closest weather forecast location in the table is CAMERON LA.",LAKE CHARLES LA
"The cumulative probability of 34-kt wind arrival at Lake Charles Harbor District, LA within the next 5 days is 69%.",18%
"28(13)   1(17)   X(17)   X(17)   X(17)   X(17)

The cumulative probability of 34-kt wind arrival at Lake Charles Harbor District, LA within the next 5 days is 28%.",3%
2,4%
1,<1%
1,<1%
"The cumulative probability of 50-kt wind arrival at Lake Charles Harbor District, LA within the next 5 days is 3%.",0%
N/A,24
13,36
120,48
N/A,N/A
N/A,N/A
N/A,N/A
6,18%
1( 1),3%
6,4%
C,C.
B,B.
B,B.
"Morgan City, Louisiana",Entire northern Gulf Coast from central Louisiana eastward to the western Florida Panhandle
