response,ground_truth
No,No
Yes,No
Yes,Yes
No,No
Yes,Yes
Yes,Yes
No,No
No,Yes
C,A.
B,A.
C,A.
A,A.
B,A.
C,A.
A,A.
B,A.
C,A.
C,A.
C,A.
C,A.
A,A.
C,A.
C,A.
A,A.
None,Tropical Storm Watch in effect Jupiter Inlet FL northward to Altamaha Sound GA; Florida Keys Seven Mile Bridge–Channel 5 Bridge; Lake Okeechobee
None,Tropical Storm Watch from Englewood southward to Chokoloskee on Florida’s southwest coast
None,"Lower Florida Keys from Seven Mile Bridge southward to Key West, including the Dry Tortugas"
None,"Hurricane Watch for Cuban provinces of Isla de Juventud, Pinar del Río and Artemisa; Tropical Storm Watch for Little Cayman, Cayman Brac, and parts of western Cuba"
'None',None issued for Florida as of Advisory #7
None,Hurricane Watch for Cayman Islands; Tropical Storm Watch for Jamaica (no watches for Florida yet)
None,Hurricane Watch for Cayman Islands; Tropical Storm Watch for Jamaica
None,None in effect as of Advisory 1
None,Hurricane Warning Englewood–Anclote River including Tampa Bay; Tropical Storm Warning Flamingo–Englewood and lower Keys; Storm-Surge Warning Anclote River–Flamingo including Tampa Bay
None,"Tropical Storm Warning for the Lower Florida Keys from Seven Mile Bridge westward to Key West and Dry Tortugas; Storm-Surge Watch Anclote River southward to Card Sound Bridge, including Florida Bay"
None,"Grand Cayman and the Cuban provinces of Isla de Juventud, Pinar del Rio, and Artemisa under Hurricane Warning; La Habana, Mayabeque, and Matanzas under Tropical Storm Warning"
None,Hurricane Warning for Grand Cayman and parts of western Cuba
None,None issued for Florida as of Advisory #7
None,None in effect
None,None currently in effect
None,None in effect as of Advisory 1
The image does not show the exact location of the current eye of the tropical cyclone. It only shows a map that is providing information on track forecasts and potential storm conditions for various locations.,"20.3N, 83.2W"
"The image shows a map with a cyclone named ""Dennis"" with its eye located near ""32.4N, 77.6W"". This is where the current eye of the tropical cyclone is located according to the National Hurricane Center Track Forecast Cone.","18.2N, 82.0W"
"The image does not provide specific coordinates for the current eye of the tropical cyclone. However, it does show the track forecast cone from the National Hurricane Center and includes a map of the storm's projected path with the states affected by the storm. If you need more detailed information about the current position of the eye, I would recommend checking official weather reports or updates from the National Hurricane Center for up-to-date tracking information.","16.2N, 80.3W"
"The image you've provided appears to be a screenshot of a storm tracking map from a weather service or a meteorological organization. It shows a tropical cyclone labeled as ""Tropical Storm Isaias"" with a track forecast cone and the current eye of the tropical cyclone. However, I am unable to provide real-time information or data about current weather events, as my training only goes up until September 2021. If you need help with understanding how to interpret such a map, I can assist with that information based on the available context and my knowledge cutoff in September 2021.","14.9N, 78.8W"
"The image shows a tropical cyclone track forecast cone and a map of the storm's path over time. The current eye of the tropical cyclone is located at approximately 30.1N and 78.5W. However, it is important to note that this information may have been accurate when the image was created or published. For real-time information on the location and movement of a tropical cyclone, one should consult official sources such as the National Hurricane Center (NHC) website or local news outlets for updates.","14.3N, 77.0W"
"The image does not provide the exact coordinates for the current eye of the tropical cyclone. However, it shows a large tropical cyclone over the Atlantic Ocean, which is an area where tropical cyclones typically form. Without more specific information or a clearer image, I cannot accurately determine the exact location of the eye of the cyclone.","14.7N, 73.5W"
"The image shows a chart and a map, but it does not provide the coordinates for the current eye of the tropical cyclone. Please check the latest updates from the National Hurricane Center or the official meteorological service in your region for accurate information on the current position of the storm's center.","14.7N, 71.3W"
"The image shows a map of the United States with an overlaid tropical cyclone track. The current location of the tropical cyclone's eye is labeled as ""Eye of Tropical Cyclone"" and is marked at approximately '32.4N, 77.6W'. This indicates that the center of the tropical cyclone's circulation is currently located in those coordinates.","13.9N, 68.6W"
NNE,NNW
NNW,NW
NNW,WNW
NNE,WNW
N,W
NNW,W
NNW,WNW
NNW,WNW
Stationary,13 mph
Stationary,14 mph
Stationary,12 mph
Stationary,12 mph
Stationary,16 mph
20,14 mph
Stationary,15 mph
15,13 mph
"The image shows a forecast cone from the National Hurricane Center indicating a tropical cyclone's path. However, I am unable to provide information on the specific regions that might be affected by this storm based on the image alone. Please visit the official sources of weather updates and alerts for accurate and up-to-date information about any potential impacts of this storm on coastal regions and ports.","Southwest and west-central Florida coast, Florida Keys, and eventually portions of northeast FL and the southeast U.S. coast"
"The image shows a map indicating the potential storm path of a tropical cyclone. Based on the National Hurricane Center's Track Forecast Cone, the coastal region where ports are most likely to be affected by this storm is Miami.",Entire west coast of Florida from Anclote River to Bonita Beach (highest surge 5–8 ft) and much of the Florida peninsula for heavy rain and wind
Florida,"Western Cuba, Cayman Islands, Florida peninsula (greatest risk along the west coast but impacts possible across all of South and Central Florida)"
Florida,"western Caribbean, western Cuba, southeastern Gulf of Mexico, Florida peninsula (mainly west and central sections), and eventually portions of the Southeast U.S. coast"
Cuba,"Florida Keys and entire Florida peninsula likely to experience heavy rain, gusty winds and coastal hazards mid-week"
Florida,"Jamaica, Cayman Islands, western and central Cuba, Florida Keys and eventually much of the Florida peninsula"
"The map depicts a cone of forecasted track for Tropical Cyclone Nine, which is expected to affect parts of the coast in Florida and Cuba.","Central and western Caribbean, Cayman Islands, western Cuba, Florida Gulf Coast, portions of the Florida Peninsula"
Cuba,"Jamaica, Cayman Islands, western Cuba, all of the Florida peninsula and adjacent Atlantic and Gulf coasts"
Key West International Airport (KWI),FT LAUDERDALE FL
Fort Lauderdale,FT LAUDERDALE FL
MONTGOMERY AL,FT LAUDERDALE FL
Venice,FT LAUDERDALE FL
Fort Lauderdale (FLL),FT LAUDERDALE FL
"Nassau, FL",FT LAUDERDALE FL
Miami,FT LAUDERDALE FL
Miami International Airport,FT LAUDERDALE FL
97,44%
0.7892142546,42%
10976,28%
