response,ground_truth
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,Yes
A,B.
C,A.
C,A.
B,A.
B,A.
B,A.
C,A.
C,A.
C,A.
C,A.
C,A.
C,A.
A,A.
C,A.
B,A.
B,A.
None,"Altamaha Sound GA southward to Jupiter Inlet FL, including the St. Johns River and Jacksonville area"
None,Hurricane Watch from Englewood to Anclote River including Tampa Bay; Tropical Storm Watch Englewood southward to Chokoloskee and Little Cayman/Brac.
None,"Lower Florida Keys from Seven Mile Bridge southward to Key West, including the Dry Tortugas (Tropical Storm Watch)"
None,None
None,None in effect for Florida as of Advisory #7
Florida Keys,Hurricane Watch – Cayman Islands; Tropical Storm Watch – Jamaica (no U.S. coast under watch yet)
None,Hurricane Watch – Cayman Islands; Tropical Storm Watch – Jamaica
None,None
None,"Hurricane and Storm-Surge Warnings currently limited to Florida’s west coast from the Anclote River southward to Flamingo, including Tampa Bay (not applicable to Jacksonville)"
None,Hurricane Warning Grand Cayman and parts of western Cuba; Tropical Storm Warning lower Florida Keys and portions of western Cuba.
None,"Grand Cayman; Cuban provinces of Isla de Juventud, Pinar del Rio, Artemisa (Hurricane Warning) and La Habana, Mayabeque, Matanzas (Tropical Storm Warning)"
"The image you've provided does not display a map of a specific coastal area under a tropical storm or hurricane warning. However, if you need information about a particular coastal area affected by a tropical storm or hurricane, please provide the name or location of that area, and I will do my best to assist you further.",None
None,None in effect for Florida as of Advisory #7
None,None along U.S. coast in this advisory
Cuba,None in effect
Cuba,None
"The image you've provided is a screenshot from the National Hurricane Center (NHC) that shows a track forecast cone for a tropical cyclone. However, without specific information about the current eye of the tropical cyclone or the coordinates, I cannot provide an accurate answer. If you have more detailed information, please share it with me and I would be happy to help!","20.3N, 83.2W"
"The image you provided does not contain a tropical cyclone with an eye visible. It appears to be a forecast or prediction map from National Hurricane Center showing a track cone for a potential storm. Without the actual current location of the eye, I can only provide information based on the available data in the image.","18.2N, 82.0W"
