response,ground_truth
Yes,No
Yes,No
Yes,No
Yes,No
Yes.,Yes
Yes,Yes
B. Tropical Storm,A.
B,A.
B,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
B,A.
B. Tropical Storm,A.
A,A.
B,A.
Puerto Rico to The Bahamas,Turks and Caicos Islands
Jamaica to Haiti,Dominican Republic entire north and east coast; Turks and Caicos Islands
None,Dominican Republic north and east coasts; Turks and Caicos Islands
Puerto Rico to Dominican Republic,Dominican Republic north and east coast from Haiti border eastward to Isla Saona; Turks and Caicos Islands
None,Haiti entire south coast and Dominican Republic south coast (Isla Saona westward to Haiti border)
None,Haiti entire south coast and Dominican Republic south coast eastward to Isla Saona
None,Entire Dominican Republic coast and Haiti south coast
Jamaica to East Coast of Florida,Dominican Republic entire south coast; Haiti south coast from Anse d'Hainault to the Dominican Republic border
None,Dominican Republic entire south coast; Haiti entire south coast
Puerto Rico to Guadeloupe,Dominican Republic south coast from Haiti border eastward to Isla Saona; Haiti south coast from Anse d'Hainault eastward to the Dominican Republic border
None,None in effect
None,None
"16.0N, 71.4W","16.0N, 71.4W"
"14.6N, 70.7W","14.6N, 70.7W"
"14.3N, 70.1W","14.3N, 70.1W"
"15.1N, 69.6W","15.1N, 69.6W"
"14.8N, 67.8W","14.8N, 67.8W"
"14.6N, 67.1W","14.6N, 67.1W"
NNW,NNW
W,W
The cyclone is currently Stationary.,Stationary (expected to turn north Tuesday)
W,W
WNW,WNW
WNW,WNW
6,6 mph
3,3 mph
Stationary,0 mph
12,12 mph
14,14 mph
14,14 mph
"Cayman Islands
Jamaica
Cuba","Hispaniola, Turks & Caicos, coastal Puerto Rico (rain bands), southeastern Bahamas"
"Jamaica, Haiti, Cuba, Bahamas, Bermuda","Haiti, Dominican Republic, Turks & Caicos, and later portions of the Bahamas"
"Puerto Rico, Virgin Islands","Hispaniola, southern Bahamas/Turks & Caicos, eastern Caribbean including Puerto Rico for heavy rain"
Caribbean,"Hispaniola (both coasts), Haiti, Turks and Caicos and adjacent Caribbean waters"
"Caribbean
Southern Florida
The Bahamas",Puerto Rico and the Virgin Islands to Hispaniola south and north coasts
Leeward Islands,"Puerto Rico, Hispaniola, and adjacent Caribbean waters"
AGUADILLA PR,AGUADILLA PR
Ponce PR,SAN JUAN PR
