response,ground_truth
Yes,No
Yes,No
Yes,No
Yes.,No
Yes,No
Yes,No
Yes,No
B,A.
B. Tropical Storm,A.
B,A.
B,A.
B,A.
B,A.
B,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
A,A.
A,A.
A,A.
"Savannah, GA to Cape Fear, NC.","Hurricane/Tropical-storm watches focus on FL Big Bend through SC coast; none west of Indian Pass, FL"
None,"N/A – no watches posted west of Indian Pass, FL"
"Jupiter Inlet to the Flagler/Volusia County Line, Florida, to the mouth of the St. Marys River.","Tropical Storm Watch from Sebastian Inlet, FL northward to South Santee River, SC"
None,Hurricane Watch from Englewood FL to Indian Pass FL; Tropical Storm Watch south of Englewood to Chokoloskee FL
None,"Storm-surge and hurricane watches posted along Florida Gulf coast from Chokoloskee to Indian Pass, including Tampa Bay; tropical-storm watch south of Englewood to Dry Tortugas."
Savannah to Oregon Inlet,Yucatan Peninsula from Tulum to Rio Lagartos including Cozumel; Isle of Youth Cuba
"Puerto de Plata, Dominican Republic to Edisto Beach, South Carolina",Tulum to Rio Lagartos (Yucatan Peninsula) and Pinar del Rio & Isle of Youth (W Cuba) under Tropical Storm products
Florida Big Bend to North Carolina.,"Hurricane and storm-surge warnings extend from the middle of Longboat Key, FL to Indian Pass, FL; no warnings west of that point"
None,"N/A – no warnings posted west of Indian Pass, FL"
Mexico to Florida,"Hurricane Warning from the middle of Longboat Key, FL to Indian Pass, FL; Storm Surge Warning Englewood, FL to Indian Pass, FL"
Tampa to Florida/Georgia border.,"Hurricane Warning for Pinar del Rio, Cuba; Tropical Storm Warning for Yucatán Peninsula Tulum–Rio Lagartos, Isle of Youth, Dry Tortugas"
None,"Tropical-storm warnings for portions of the Yucatan Peninsula and Pinar del Río, Cuba (no U.S. coastline under warning at this time)."
None,Pinar del Rio Cuba and the same Yucatan Peninsula stretch
None,"Tulum to Rio Lagartos, including Cozumel, under Tropical Storm Warning"
"26.1N, 84.8W","26.1N, 84.8W"
"23.1N, 85.0W","23.1N, 85.0W"
"21.4N, 85.1W","21.4N, 85.1W"
"20.1N, 85.2W","20.1N, 85.2W"
"20.1N, 85.5W","20.1N, 85.5W"
"20.1N, 86.8W","20.1N, 86.8W"
"21.1N, 86.1W","21.1N, 86.1W"
N,N
N,N
N,N
N,N
NE,NE
S,S
