response,ground_truth
No,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
A,A.
B,B.
B,B.
B,A.
B,A.
B,A.
B. Tropical Storm,A.
B,B.
C. Hurricane,A.
B,A.
B,A.
B,A.
B,A.
B,A.
Florida Big Bend to Altamaha Sound,"Hurricane Watch from the mouth of the St. Mary’s River to Edisto Beach, SC (port lies just north of this zone); Storm Surge Watch from the mouth of the St. Mary’s River to South Santee River, SC"
Jupiter Inlet to Flagler/Volusia County Line to Grand Isle.,Altamaha Sound GA northward to South Santee River SC (includes Charleston area)
Jupiter Inlet Florida to Altamaha Sound Georgia;  Grand Isle Louisiana to the mouth of the Pearl River.,Sebastian Inlet FL northward to South Santee River SC
None,No coastal watches yet issued for South Carolina
None,"Hurricane and Storm-Surge Watches presently confined to the Florida Gulf Coast (Englewood to Indian Pass, incl. Tampa Bay)."
Boca Grande to Altamaha Sound,"Tropical-storm watch for Isle of Youth, Cuba (none yet for U.S. coast)"
Boca Grande to Altamaha Sound,Tulum to Rio Lagartos (Yucatán) and extreme W. Cuba – no U.S. coastline yet.
Florida Big Bend to South Santee River,"Tropical Storm Warning from Sebastian Inlet, FL northward to Surf City, NC (includes entire South Carolina coast)"
None,None along the South Carolina coast at this time
Mexico to Florida.,None for South Carolina coast (warnings confined to Florida Gulf Coast at this time)
Yucatan Peninsula to Florida Panhandle,No coastal warnings yet issued for South Carolina
Yucatan Peninsula to Florida East Coast,Tropical-Storm Warnings in effect for the Yucatan Peninsula and portions of western Cuba only at this time.
None,"Tropical-storm warnings Yucatan Peninsula (Tulum to Rio Lagartos) and Pinar del Rio, Cuba"
None,Yucatán Peninsula from Tulum to Rio Lagartos (including Cozumel).
"26.1N, 84.8W","26.1N, 84.8W"
"23.1N, 85.0W","23.1N, 85.0W"
"21.4N, 85.1W","21.4N, 85.1W"
"20.1N, 85.2W","20.1N, 85.2W"
"20.1N, 85.5W","20.1N, 85.5W"
20.1N 86.8W,"20.1N, 86.8W"
