response,ground_truth
Yes.,No
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
C. Hurricane,A.
C,A.
C. Hurricane,A.
C,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
C. Hurricane,B.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C,A.
C. Hurricane,A.
C. Hurricane,A.
C,A.
C. Hurricane,A.
South Santee River to Duck.,North of Surf City NC to Cape Lookout NC (Hurricane Watch)
"South Santee River, South Carolina to the Flagler/Volusia county, Florida border.",Surf City NC to Cape Lookout NC
None,Englewood to Anclote River (west-central Florida) under Tropical Storm Watch
"Boca Raton to Altamaha Sound, and the Flagler/Volusia county line to the mouth of the St. Mary's River.",North of Edisto Beach SC to South Santee River SC
Boca Raton to Altamaha Sound.,North of Fernandina Beach FL to Edisto Beach SC
None,"North of the Flagler/Volusia county line to Fernandina Beach, FL"
None,Hurricane Watch north of Sebastian Inlet to the Flagler/Volusia county line (does not yet include Jacksonville)
South Santee River to Surf City,Deerfield Beach FL to the Volusia/Brevard county line under Hurricane Watch; Seven Mile Bridge to south of Deerfield Beach under Tropical Storm Watch
"Boca Raton, FL to Altamaha Sound, GA. None","No U.S. watches currently in effect (only Haiti, Cuba, Bahamas)."
"Boca Raton to Altamaha Sound
North of Sebastian Inlet to Flagler/Volusia County Line
Grand Bahama and the Abacos Islands in the northwestern Bahamas","None issued for Florida yet (watches confined to Jamaica, Cuba, Bahamas, Hispaniola)"
South Carolina to Virginia,Tropical Storm Warning north of Flagler/Volusia County line FL to Fernandina Beach FL; Hurricane Warning north of Fernandina Beach FL to Surf City NC
Florida to North Carolina,Cocoa Beach FL to Surf City NC
None,"Boca Raton, FL northward to South Santee River, SC (includes Jacksonville)"
Florida to North Carolina,"North of Golden Beach FL to Edisto Beach SC, including Lake Okeechobee"
South of Altamaha Sound to Savannah River.,Golden Beach FL northward to Fernandina Beach FL (entire Florida east coast including Jacksonville)
Jamaica to South Carolina.,"North Palm Beach to the Flagler/Volusia county line, including Lake Okeechobee"
Puerto Rico to Georgia,Hurricane Warning Golden Beach FL northward to Sebastian Inlet FL; Lake Okeechobee
Caribbean Sea to South Carolina,"Hurricane Warnings in effect for Haiti, portions of Cuba, and the Bahamas (no U.S. warnings yet)"
Puerto Rico to North Carolina.,"No U.S. warnings currently in effect (only Haiti, Cuba, Bahamas)."
Dominican Republic to Florida,"None issued for Florida yet (warnings confined to Jamaica, Cuba, Bahamas, Hispaniola)"
"30.7N, 80.6W","31.2N, 80.5W"
"28.9N, 80.3W","29.4N, 80.5W"
"26.6N, 78.9W","27.1N, 79.2W"
"24.6N, 77.5W","25.1N, 77.8W"
"23.0N, 76.0W","23.4N, 76.4W"
"21.5N, 74.9W","21.8N, 75.2W"
"20.1N, 74.3W","20.4N, 74.4W"
"18.4N, 74.2W","18.9N, 74.3W"
"16.3N, 74.7W","16.9N, 74.6W"
"15.4N, 74.9W","15.6N, 75.0W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
NNW,NW
N,N (forecast to turn NNW then NW)
N,N
N,N
N,N
12,12 mph
13,12 mph
13,13 mph
12,14 mph
12,10 mph
10,12 mph
9,8 mph
9,10 mph
7,7 mph
6,6 mph
"Florida, Georgia, South Carolina, North Carolina","Northeast Florida through the Georgia, South Carolina and southern North Carolina coasts"
"Florida

Georgia

South Carolina

North Carolina

Bermuda",Northeast Florida through coastal Georgia and the Carolinas
"Florida
Georgia
South Carolina
North Carolina","Entire Florida east coast, Georgia coast, and South Carolina coast inside cone"
"Georgia, South Carolina, North Carolina","Entire Florida east coast, Georgia coast and South Carolina coast up to South Santee River"
"Bermuda

Georgia

South Carolina

North Carolina

Florida

Bahamas

Cuba","Deerfield Beach FL northward across the Florida east coast, Georgia coast and up to the Savannah River"
"Florida

Georgia

South Carolina

North Carolina","Entire Florida east coast, especially from West Palm Beach northward through Jacksonville and into coastal Georgia"
"Carolina, Virginia, Maryland, New Jersey","Entire Florida east coast, Georgia and the Carolinas within the 5-day cone"
"Florida, Georgia, South Carolina, North Carolina",Entire southeast U.S. Atlantic coast from Florida through the Carolinas likely to feel impacts
"Jamaica

Haiti

Cuba

Georgia

South Carolina

North Carolina",Florida east coast from Miami northward through Jacksonville and into Georgia and South Carolina
"Caribbean, Florida, Bahamas, Georgia, South Carolina, North Carolina.",Entire Florida east coast northward through Georgia and the Carolinas lies within the day-4/5 cone
Daytona Beach,JACKSONVILLE FL
Mayport,JACKSONVILLE
Mayport,JACKSONVILLE
Mayport,JACKSONVILLE
GAINESVILLE FL,JACKSONVILLE FL
DAYTONA BEACH,JACKSONVILLE FL
St Marks FL,JACKSONVILLE FL
GFMX 290N 870W,JACKSONVILLE FL
St. Augustine,JACKSONVILLE
St. Augustine,MAYPORT NS FL
99,99%
88,96%
78,91%
7.0,73%
0.0,71%
"The provided data does not include specific information for Jacksonville, FL. Therefore, I cannot calculate the cumulative probability of 34-kt wind arrival at Jacksonville, FL within the next 5 days based on the given data.",60%
"The data provided does not include specific information for Jacksonville, FL. Therefore, it is not possible to determine the cumulative probability of 34-kt wind arrival at Jacksonville, FL within the next 5 days from the given information.",58%
0.0,52%
0.01,37%
