response,ground_truth
Yes,No
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
B,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C,A.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
Savannah to North Carolina/Virginia border.,Hurricane Watch north of Surf City NC to Cape Lookout NC
None,N/A – all watches south of Sebastian Inlet have been discontinued
North Carolina to Boston,Englewood to Anclote River (Gulf Coast of FL)
Haiti to Altamaha Sound.,"North of Edisto Beach to South Santee River, South Carolina"
Haiti to Altamaha Sound Georgia.,"North of Fernandina Beach, FL to Edisto Beach, SC"
None,Hurricane Watch north of the Flagler/Volusia county line to Fernandina Beach
Savannah to the North Carolina/Virginia border.,None (watch upgraded to warning for this section of coast)
Puerto Rico to South Carolina,"Deerfield Beach to the Volusia/Brevard county line, FL"
Boca Raton to Altamaha Sound.,None issued yet – interests in the Florida Peninsula advised to monitor
None,Interests in the Florida Peninsula and Keys should monitor the progress of Matthew
Bahamas to North Carolina,Hurricane Warning north of Fernandina Beach FL to Surf City NC; Tropical Storm Warning north of Surf City NC to Duck NC and north of Flagler/Volusia county line FL to Fernandina Beach FL
South Florida to North Carolina,N/A – all warnings south of Sebastian Inlet have been discontinued
None,"Boca Raton, FL to South Santee River, SC including Lake Okeechobee"
Haiti to North Carolina.,"North of Golden Beach, FL to Edisto Beach, SC (including Lake Okeechobee)"
Boca Raton to Surf City.,"North of Golden Beach, FL to Fernandina Beach, FL including Lake Okeechobee"
Jamaica to South Carolina,"Hurricane Warning from North of Golden Beach to the Flagler/Volusia county line, including Lake Okeechobee"
Jamaica to South Carolina,"North of Golden Beach to Sebastian Inlet, including Lake Okeechobee (covers Palm Beach County)"
Jamaica to North Carolina.,None for Florida at this advisory
Puerto Rico to Florida,"None issued yet – warnings confined to Haiti, Cuba and the Bahamas"
Dominican Republic to Florida.,"Hurricane warnings now in effect for Jamaica, Haiti, eastern Cuba, and the southeastern Bahamas (no U.S. warnings yet)"
"30.7N, 80.6W","31.2N, 80.5W"
"28.9N, 80.3W","29.4N, 80.5W"
"26.6N, 78.9W","27.1N, 79.2W"
"24.6N, 77.5W","25.1N, 77.8W"
"23.0N, 76.0W","23.4N, 76.4W"
"21.5N, 74.9W","21.8N, 75.2W"
"20.1N, 74.3W","20.4N, 74.4W"
"18.4N, 74.2W","18.9N, 74.3W"
"16.3N, 74.7W","16.9N, 74.6W"
"15.4N, 74.9W","15.6N, 75.0W"
N,N
NNW,NNW
NW,NW
NW,NW
NW,NW
NNW,NW
N,N
N,N
N,N
N,N
12,12 mph
13,12 mph
13,13 mph
12,14 mph
12,10 mph
10,12 mph
9,8 mph
9,10 mph
7,7 mph
6,6 mph
"Carolinas
North Carolina
South Carolina
Georgia
Florida
Bahamas","Northeast Florida through Georgia, South Carolina and southern North Carolina coasts"
"Florida
Georgia
South Carolina
North Carolina",Florida east coast from Sebastian Inlet northward through Georgia and the Carolinas
"Florida

Georgia

South Carolina

North Carolina","Entire southeast Florida coast from Boca Raton northward, extending up the Georgia and South Carolina coasts"
"Georgia
South Carolina
North Carolina","Entire Florida east coast from Miami-Dade northward, continuing into Georgia and South Carolina coasts"
"Florida
Georgia
South Carolina
North Carolina
Bahamas","Florida east coast from Deerfield Beach through Fernandina Beach, with surge and hurricane-force winds spreading northward"
"Jamaica, Haiti, Cuba, Bahamas, Georgia, South Carolina, North Carolina.",Entire southeast and east-central Florida coastline from Miami-Dade through Palm Beach and up to Volusia County
"Florida
Georgia
South Carolina
North Carolina","Entire Florida east coast from North Palm Beach northward to at least the Flagler/Volusia county line, plus adjoining Bahamas"
"Florida
Georgia
South Carolina
North Carolina","Entire southeast and east-central Florida coastline, including Palm Beach County, as Matthew parallels the shoreline"
"Jamaica
Haiti
Cuba
Georgia
South Carolina
North Carolina",Entire southeast Florida coast northward to Georgia and South Carolina likely to experience tropical-storm or hurricane conditions
"The Bahamas, Florida, Georgia, South Carolina, North Carolina","Haiti, eastern Cuba, southeastern and central Bahamas, then potentially the Atlantic coastline of Florida northward to the Carolinas"
West Palm Beach,W PALM BEACH FL
W PALM BEACH,W PALM BEACH FL
West Palm Beach,W PALM BEACH FL
West Palm Beach,W PALM BEACH FL
WEST PALM BEACH FL,W PALM BEACH FL
"West Palm Beach, FL",W PALM BEACH
WEST PALM BEACH,W PALM BEACH
FT. LAUDERDALE,W PALM BEACH FL
WEST PALM BEACH,W PALM BEACH FL
West Palm Beach,W PALM BEACH FL
0.0004,4%
99,99%
99,99%
"The cumulative probability of 34-kt wind arrival at Port of Palm Beach District, FL within the next 5 days is 99.",96%
0.99,96%
0.77,90%
