response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes.,Yes
Yes,Yes
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
B,A.
C. Hurricane,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
None,North of Surf City NC to Cape Lookout NC
None,Hurricane Watch north of Surf City NC to Cape Lookout NC
None,"Englewood to Anclote River, Florida (Gulf side)"
None,"North of Edisto Beach to South Santee River, South Carolina"
Boca Raton to Surf City.,"Hurricane Watch in effect from Savannah River to Edisto Beach, SC (just south of Charleston)"
None,"Hurricane Watch north of Flagler/Volusia county line to Fernandina Beach, FL"
Charleston to Duck,None in effect yet for South Carolina coastline
"Boca Raton Florida to Altamaha Sound Georgia,  and the Flagler Volusia County Line Florida to the mouth of the St. Marys River Florida-Georgia border.",Hurricane Watch in effect Deerfield Beach FL to Volusia/Brevard county line; Tropical Storm Watch Seven Mile Bridge FL to south of Deerfield Beach including Lake Okeechobee
Haiti to the Bahamas,None issued for U.S. coast at this advisory
Dominican Rep. to  Cape Fear,None in effect for U.S. coastline as of this advisory
Florida to North Carolina.,North of Fernandina Beach FL to Surf City NC (includes the entire South Carolina coast)
Cape Canaveral to Charleston,Hurricane Warning from Cocoa Beach FL to Surf City NC (includes entire SC coast)
Cape Canaveral to Charleston,"Boca Raton, FL to South Santee River, SC (hurricane); North of South Santee River, SC to Surf City, NC (tropical-storm)"
"Boca Raton, Florida to Cape Fear, North Carolina.","North of Golden Beach, FL to Edisto Beach, SC"
Boca Raton to Oregon Inlet,"Hurricane Warning in effect along the Florida east coast from north of Golden Beach to Fernandina Beach, FL and the Bahamas"
Jamaica to South Carolina,"Hurricane Warning North Palm Beach, FL to the Flagler/Volusia county line"
Jamaica to North Carolina.,Current warnings confined to Florida east coast from North Palm Beach to the Flagler/Volusia county line (hurricane) and Keys (tropical-storm)
Jamaica to South Carolina,"Hurricane Warning for Haiti, eastern Cuba, and all of the Bahamas; Tropical Storm Warning for portions of Dominican Republic and Turks & Caicos"
Jamaica to South Carolina,None issued for U.S. coast at this advisory
Dominican Republic to Florida,None in effect for U.S. coastline as of this advisory
"30.7N, 80.6W","31.2N, 80.5W"
"28.9N, 80.3W","29.4N, 80.5W"
"26.6N, 78.9W","27.1N, 79.2W"
"24.6N, 77.5W","25.1N, 77.8W"
"23.0N, 76.0W","23.4N, 76.4W"
"21.5N, 74.9W","21.8N, 75.2W"
"20.1N, 74.3W","20.4N, 74.4W"
"18.4N, 74.2W","18.9N, 74.3W"
"16.3N, 74.7W","16.9N, 74.6W"
"15.4N, 74.9W","15.6N, 75.0W"
N,N
NNW,NNW
NW,NW
NW,NW (325°)
NW,NW
NNW,NW (325°)
N,N
N,N
N,N
N,N
12,12 mph
13,12 mph
13,13 mph
12,14 mph
12,10 mph
10,12 mph
9,8 mph
9,10 mph
7,7 mph
6,6 mph
"South Carolina, North Carolina",Northeast Florida through Georgia and South Carolina into southern North Carolina
"Florida
Georgia
South Carolina
North Carolina","Northeast Florida, Georgia, South Carolina and southern North Carolina coasts"
"South Carolina
North Carolina","Florida east coast, Georgia coast, and South Carolina coast"
"Florida
Georgia
South Carolina
North Carolina
Bermuda",Florida east coast northward through Georgia and South Carolina coasts
"Florida
Georgia
South Carolina
North Carolina
Bahamas",Entire southeast U.S. shoreline from Florida through South Carolina
"Florida
Georgia
South Carolina
North Carolina",Entire southeast U.S. shoreline from central Florida through Georgia and South Carolina
"Florida

Georgia

South Carolina

North Carolina",Entire U.S. Southeast coastline from Florida through Georgia and South Carolina inside or near the cone
"Caribbean
South America
Central America
Florida
Georgia
South Carolina
North Carolina
Hatteras
Bermuda",Entire southeast U.S. coast from Florida Keys through Georgia and the Carolinas
"Jamaica

Haiti

Cuba

Florida

Georgia

South Carolina

North Carolina","Entire southeast U.S. shoreline from Florida through South Carolina, including Charleston area, lies inside the day-4/5 cone"
"Florida
Georgia
South Carolina
North Carolina
Bahamas","Entire southeast U.S. shoreline from Florida through the Carolinas is within the 5-day cone, including the South Carolina coast"
BEAUFORT,CHARLESTON SC
BEAUFORT,CHARLESTON SC
"Charleston, SC",CHARLESTON SC
"Kings Bay, GA",CHARLESTON SC
Grand Bahama,CHARLESTON SC
GFMX 290N 850W,CHARLESTON SC
GFMX 290N 850W,CHARLESTON SC
GFMX 290N 870W,CHARLESTON SC
GFS Model,CHARLESTON SC
Grand TURK,CHARLESTON SC
83,99%
99,90%
0.39,69%
0,57%
"The provided data does not include information for the Port of Charleston, SC. Therefore, I cannot provide the cumulative probability of 34-kt wind arrival at that location based on the given data.",58%
0.11,53%
0.01,46%
15,42%
0,37%
0.0,22%
27,80%
51,57%
17,34%
0.0,24%
"The provided data does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the cumulative probability of 50-kt wind arrival at that location from the given data.",27%
0.00,22%
0,19%
1,16%
0.,14%
"The provided data does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the cumulative probability of 50-kt wind arrival at that location based on the given data.",6%
83,12
7,24
39,72
24,48
0,72
22,120
0,96
91,120
"The provided data does not include information for the Port of Charleston, SC. Therefore, it is not enough information to determine the number of hours until the 34-kt wind probability peaks there.",120
"The provided data does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the number of hours until the 34-kt wind probability peaks at that location based on the given data.",120
24,12
48,24
48,72
"The data provided does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the number of hours remaining until the 50-kt wind probability peaks at that location based on the given information.",72
24,72
24,120
"The data provided does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the number of hours until the 50-kt wind probability peaks at that location based on the given information.",96
0,120
0,120
"The data provided does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the number of hours until the 50-kt wind probability peaks at that location.",120
83,99%
7,68%
50,69%
X,57%
0,37%
X,53%
0,46%
X,42%
0,37%
X,22%
"B. Port of Charleston, SC",B.
"C. Port of Charleston, SC",C.
"C. Tampa Port Authority, FL",B.
"C. Port of Charleston, SC",C.
"B. Port of Brunswick, GA",D.
"C. Port of Brunswick, GA",A.
"D. Port of Charleston, SC",D.
B,C.
B,C.
"B. Port of Brunswick, GA",A.
Georgia coast to southern North Carolina coast,Northeast Florida through Georgia and South Carolina into southern North Carolina
Florida northeast coast to South Carolina coast,"Northeast Florida, Georgia, South Carolina and southern North Carolina coasts"
Cape Canaveral Florida to South Santee River,"Florida east coast, Georgia coast, and South Carolina coast"
Florida east coast to South Carolina coast,Florida east coast northward through Georgia and South Carolina coasts
Southeastern Bahamas to Southeast Florida,Entire southeast U.S. shoreline from Florida through South Carolina
North Palm Beach to the Flagler/Volusia county line,Entire southeast U.S. shoreline from central Florida through Georgia and South Carolina
North Palm Beach to the Sebastian Inlet,Entire U.S. Southeast coastline from Florida through Georgia and South Carolina inside or near the cone
southern Bahamas to Florida,Entire southeast U.S. coast from Florida Keys through Georgia and the Carolinas
Southern Haiti to Eastern Cuba,"Entire southeast U.S. shoreline from Florida through South Carolina, including Charleston area, lies inside the day-4/5 cone"
southern Haiti to eastern Cuba,"Entire southeast U.S. shoreline from Florida through the Carolinas is within the 5-day cone, including the South Carolina coast"
F,D.
E,E.
F,F.
F,F.
E,E.
E,E.
F,F.
F,F.
F,F.
F,F.
C,C.
"D. Port of Charleston, SC",D.
D,D.
C,A.
B,A.
C,B.
"D. Port of Charleston, SC",D.
C,C.
"D. Port of Charleston, SC",D.
C,C.
Carolina Coast,Northeast Florida through Georgia and South Carolina into southern North Carolina
South Carolina,"Northeast Florida, Georgia, South Carolina and southern North Carolina coasts"
South Carolina,"Florida east coast, Georgia coast, and South Carolina coast"
Carolina Coast,Florida east coast northward through Georgia and South Carolina coasts
Southeast coast,Entire southeast U.S. shoreline from Florida through South Carolina
Carolina coast,Entire southeast U.S. shoreline from central Florida through Georgia and South Carolina
Southeast coast,Entire U.S. Southeast coastline from Florida through Georgia and South Carolina inside or near the cone
South Carolina,Entire southeast U.S. coast from Florida Keys through Georgia and the Carolinas
Southeast coast,"Entire southeast U.S. shoreline from Florida through South Carolina, including Charleston area, lies inside the day-4/5 cone"
Carolina Coast,"Entire southeast U.S. shoreline from Florida through the Carolinas is within the 5-day cone, including the South Carolina coast"
60,8
60,24
78,36
87,18
72,63
108,36
108,86
84,90
87,111
72,110
36,18
48,36
48,24
72,24
78,87
66,84
48,24
60,114
None,135
None,130
D,D.
D,D.
C,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,D.
D,B.
B,B.
D,B.
C,B.
D,C.
D,C.
D,B.
D,C.
D,B.
D,C.
C. 24-48 hours,B.
B. 12-24 Hours,B.
B. 12-24 Hours,D.
"The provided data does not include information for the Port of Charleston, SC. Therefore, it is not possible to determine the highest 34-kt wind probability for that location based on the given information.",C.
