response,ground_truth
No,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
Yes,No
B,C.
B. Tropical Storm,C.
A,A.
A,A.
A,A.
B. Tropical Storm,A.
A,A.
A,A.
A,A.
A,A.
B,B.
B,A.
B,A.
B,A.
A,A.
A,A.
B,A.
B. Tropical Storm,A.
B,A.
A,A.
None,north of Fernandina Beach FL to Edisto Beach SC
None,"Hurricane Watch north of Fernandina Beach, FL to Edisto Beach, SC; Storm Surge Watch north of the Volusia/Brevard County line, FL to Isle of Palms, SC"
None,Hurricane Watch from north of the Volusia/Brevard County line FL northward to Fernandina Beach FL
Jamaica to Grand Bahama Island.,None issued for Georgia as of Advisory 38A
Jupiter Inlet to the Volusia/Brevard County Line to the Florida Panhandle including Tampa Bay to the Alabama/Florida border.,"North of Jupiter Inlet to Sebastian Inlet and north of Bonita Beach to Venice, FL"
Jamaica to Altamaha Sound,"Hurricane Watch from Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
Jamaica to  Savannah.,None in effect along Georgia coast at this advisory
None,Hurricane Watch in effect Cuba Matanzas-Guantánamo and Central Bahamas (no U.S. coast yet)
None,None issued along U.S. mainland coastline as of Advisory 28A
None,"Hurricane and tropical-storm watches currently limited to parts of the Dominican Republic, Haiti, Turks and Caicos, and the southeastern Bahamas"
None,north of Fernandina Beach FL to South Santee River SC
Florida to South Carolina,"Hurricane Warning Fernandina Beach, FL southward around the Florida peninsula to the Aucilla River; Florida Keys (Port of Brunswick is just north of the warning limit)"
Jamaica to Florida.,"Hurricane Warning and Storm-Surge Warning currently confined to the Florida peninsula and Keys, not yet extended to Georgia"
Jamaica to South Carolina.,Hurricane and storm-surge warnings confined to S & central Florida coast at this time
Dominican Republic to Florida.,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys"
