response,ground_truth
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,Yes
Yes,No
B,A.
C. Hurricane,C.
C. Hurricane,A.
C,C.
C. Hurricane,A.
B. Tropical Storm,A.
B,A.
A,A.
B,A.
B. Tropical Storm,A.
C. Hurricane,C.
C. Hurricane,C.
C. Hurricane,C.
C,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
B,A.
C. Hurricane,A.
B,A.
None,"Hurricane Watch from north of Fernandina Beach, FL to Edisto Beach, SC"
Florida to South Carolina,"Storm Surge Watch from north of the Volusia/Brevard County line to Isle of Palms, SC"
None,North of the Volusia/Brevard County Line to Fernandina Beach
None,Hurricane Watch from north of Jupiter Inlet to Flagler/Volusia County Line; Storm Surge Watch from north of Sebastian Inlet to Ponce Inlet
Dominican Republic to Altamaha Sound,North of Jupiter Inlet to Sebastian Inlet (Atlantic Coast) and north of Bonita Beach to Anna Maria Island (Gulf Coast) are under Hurricane Watch; Storm Surge Watch extends north of Jupiter Inlet to Sebastian Inlet
Dominican Republic to Altamaha Sound.,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee and Florida Bay"
None,"No watches posted yet for the Florida coast (only for Bahamas, Cuba, Hispaniola)."
Guadalupe to Florida East Coast,Hurricane Watches in effect for Cuba (Matanzas eastward) and the central Bahamas
None,"Hurricane Watches now posted for Turks and Caicos, southeastern Bahamas, and eastern Cuba"
None,"Hurricane Watch for Guadeloupe, the north coast of the Dominican Republic & Haiti, Turks & Caicos, and the southeastern Bahamas"
None,"Hurricane Warning from Fernandina Beach southward around the Florida peninsula to Indian Pass, including the Florida Keys"
None,Hurricane Warning from Fernandina Beach southward around the Florida peninsula to the Aucilla River; Storm Surge Warning from the Volusia/Brevard County line southward around the peninsula to the Suwanee River
Cuba to North Carolina.,Volusia/Brevard County Line southward around the Florida peninsula to Anclote River
The Bahamas to South Carolina.,No hurricane or tropical-storm warnings in effect north of Sebastian Inlet at this time
Dominican Republic to Florida,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, are under Hurricane Warning; same reach is under Storm Surge Warning"
Haiti to South Carolina.,None for Florida as of this advisory
Santo Domingo to Florida Keys.,"No warnings posted yet for the Florida coast (only for Bahamas, Cuba, Hispaniola)."
Dominica to Florida,"Hurricane Warnings for northern Leeward Islands, U.S./British Virgin Islands, Puerto Rico, northern Dominican Republic, northern Haiti, Turks & Caicos, and southeastern Bahamas"
Jamaica to North Carolina,"Hurricane Warnings in effect for northern Leeward Islands, U.S. and British Virgin Islands, Puerto Rico, and parts of the Dominican Republic"
Cuba to South Carolina,"Hurricane Warning for the northern Leeward Islands, U.S. & British Virgin Islands, and Puerto Rico"
"23.5N, 81.0W","23.7N, 81.3W"
"22.8N, 79.8W","23.1N, 80.2W"
"22.1N, 77.7W","22.3N, 78.2W"
"22.0N, 75.3W","22.0N, 76.0W"
"21.3N, 72.4W","21.5N, 73.3W"
"20.4N, 69.7W","20.7N, 70.4W"
"19.4N, 66.8W","19.7N, 67.7W"
"18.2N, 64.0W","18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"16.8N, 58.4W","16.9N, 59.1W"
NW,NW
W,W
W,W
WNW,WNW
WNW,WNW
WWN,WNW
WWN,WNW
WNW,WNW
WWN,WNW
W,W
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
15,15 mph
14,14 mph
Florida,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
Florida,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
"Florida
Georgia
South Carolina
North Carolina
Haiti
Cuba","Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
"Florida
Georgia
South Carolina
North Carolina","Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
"Cuba
Florida
Georgia
South Carolina
North Carolina","Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
"Florida

Georgia

South Carolina","Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
"Florida
Georgia
South Carolina
North Carolina","Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
Florida,"Northern Caribbean islands, Turks & Caicos, Bahamas, and the southeast U.S. coast from Florida northward"
"Cuba
Florida
Georgia
South Carolina","Entire Florida peninsula, Bahamas, Cuba north coast, and southeast U.S. coast within 5-day cone"
"Florida
Bahamas","Northern Leeward Islands, Greater Antilles, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
Cocoa Beach,COCOA BEACH FL
CAPE CANAVERAL,COCOA BEACH FL
Merritt Island,COCOA BEACH FL
Cape Canaveral,COCOA BEACH FL
Cape Canaveral,COCOA BEACH FL
Cape Canaveral,COCOA BEACH FL
Cape Canaveral,COCOA BEACH FL
Apalachicola,Cocoa Beach FL
"Great Abaco Island, Bahamas",COCOA BEACH FL
Santo Domingo,COCOA BEACH FL
82,72%
0.01,84%
16,86%
0.99,85%
0.99,88%
18,82%
"The provided data does not include specific information for Canaveral Port District, FL. Therefore, I cannot provide the cumulative probability of 34-kt wind arrival at Canaveral Port District, FL within the next 5 days based on the given information.",82%
X,70%
"The cumulative probability of 34-kt wind arrival at Canaveral Port District, FL within the next 5 days is 2.",30%
0,24%
8,10%
0.06,31%
0.02,46%
47,52%
0,59%
"The provided data does not include specific probabilities for the Canaveral Port District, FL. However, it does include probabilities for Cape Canaveral, FL. Assuming Canaveral Port District is similar to Cape Canaveral for this purpose, the cumulative probability of 50-kt wind arrival at Cape Canaveral, FL within the next 5 days is:

0",48%
0,55%
0,41%
0,7%
"To determine the cumulative probability of 50-kt wind arrival at Canaveral Port District, FL within the next 5 days, we need to identify the relevant data from the provided table. However, the table does not explicitly list Canaveral Port District, FL. Therefore, we cannot provide a direct answer from the given data.

If we assume that the closest relevant data point is for Cape Canaveral, we would look for the probability of 50-kt wind arrival at Cape Canaveral. Since Cape Canaveral is not listed, we cannot provide an answer.

Please provide the correct location or additional data for an accurate response.",7%
73,24
0,48
53,33
59,96
0,96
48,72
0,72
0,108
X,120
108,120
84,24
48,48
108,69
33,96
0,96
48,72
0,72
0,108
3,120
24,120
99,72%
0,84%
27,52%
1,86%
X,88%
"The data provided does not include information for Canaveral Port District, FL. Therefore, it is not possible to determine the peak 34-kt wind probability for that location based on the given information.",49%
99,57%
X,39%
X,20%
0,24%
"A. Canaveral Port District, FL",A.
D,D.
"C. Canaveral Port District, FL",C.
D,D.
A,A.
"D. Canaveral Port District, FL",D.
C,C.
C,C.
"B. Canaveral Port District, FL",B.
"B. Canaveral Port District, FL",B.
Lower Florida Keys to Florida West Coast,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
Florida Keys to South Florida,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
Florida Keys to Southwest Florida Coast,"Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
Jupiter Inlet to Bonita Beach,"Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
Jupiter Inlet to Bonita Beach,"Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
Jupiter Inlet to Bonita Beach,"Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
Northern coast of the Dominican Republic to Turks and Caicos Islands,"Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
Northern Dominican Republic to Southeastern Bahamas,"Northern Caribbean islands, Turks & Caicos, Bahamas, and the southeast U.S. coast from Florida northward"
Antigua to Florida,"Entire Florida peninsula, Bahamas, Cuba north coast, and southeast U.S. coast within 5-day cone"
Antigua to the Turks and Caicos,"Northern Leeward Islands, Greater Antilles, Turks & Caicos, Bahamas, and eventually the Florida peninsula"
F,F.
E,E.
G,G.
F,F.
G,G.
G,G.
G,G.
G. Category 5,G.
G. Category 5,G.
G. Category 5,G.
C,C.
C,C.
D,D.
B,B.
C,C.
D,D.
C,C.
C,C.
A,A.
B,B.
Gulf Coast,"Entire Florida peninsula, Keys, and portions of the southeast U.S. coast up to South Carolina"
Gulf Coast,"Entire Florida east coast south of Fernandina Beach, including Brevard County and Port Canaveral; strongest core projected for the Keys and west coast but dangerous conditions extend well outward"
Gulf Coast,"Entire Florida peninsula coastline, Keys, and adjacent Atlantic and Gulf coasts"
Florida,"Entire Florida peninsula, including the east-central coast from Ponce Inlet southward past Jupiter Inlet"
Gulf Coast,"Entire Florida east coast, especially South and Central Florida, including Canaveral area, with effects extending northward into Georgia and the Carolinas"
Florida,"Entire Florida east coast, Florida Keys, and portions of Georgia/South Carolina"
Florida,"Entire east coast of Florida, especially from the Keys through Cape Canaveral, then northward into Georgia and South Carolina."
