response,ground_truth
No,No
Yes,No
Yes,No
Yes,No
No,No
No,No
Yes,No
Yes,No
Yes,No
No,No
B,A.
B. Tropical Storm,A.
B,A.
C. Hurricane,A.
B,A.
A,A.
A,A.
A,A.
A,A.
B. Tropical Storm,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C. Hurricane,A.
C,A.
A,A.
A,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
B. Tropical Storm,A.
None,Tropical Storm Warning runs west of Indian Pass to the Okaloosa/Walton County line in the FL Panhandle (well east of Pascagoula)
Haiti to Altamaha Sound,Tropical Storm Watch in place from west of Indian Pass FL to the Okaloosa/Walton Co. line and north of Edisto Beach SC to South Santee River SC
None,Hurricane Watch north of the Volusia/Brevard County Line FL to Fernandina Beach and from Anclote River FL to Indian Pass FL (no Mississippi counties included)
None,Hurricane Watch from north of Jupiter Inlet FL to Flagler/Volusia County Line and north of Bonita Beach FL to Anclote River; Cuban provinces Guantanamo eastward
Dominican Republic to Alabama,Storm-surge watch north of Jupiter Inlet FL to Sebastian Inlet and north of Bonita Beach FL to Venice
Jamaica to Altamaha Sound.,"Jupiter Inlet southward around the Florida peninsula to Bonita Beach, including the Florida Keys, Lake Okeechobee, Florida Bay, and Cuba from Matanzas eastward to Guantanamo"
None,Hurricane watches confined to Cuba (Matanzas eastward) and the north-western Bahamas; none along the U.S. Gulf Coast.
None,Hurricane Watch: Cuba from Matanzas eastward; Central Bahamas.
None,N/A
Jamaica to the Central Bahamas,Hurricane Watch: Guadeloupe; Dominican Republic from Cabo Engano to Haiti border; Haiti northern coast; Turks & Caicos; Southeastern Bahamas
Bahamas to North Carolina,Hurricane Warning covers the Florida Keys and the entire Florida peninsula to Indian Pass; none issued westward toward Mississippi
Puerto de Salles to Edisto Beach,Hurricane Warning for the entire Florida Keys and Florida peninsula south of the Aucilla River; Storm Surge Warning from Volusia/Brevard County line southward around the peninsula to Suwannee River
Haiti to Florida,Hurricane Warning Volusia/Brevard County Line southward around the Florida peninsula to Anclote River including the Keys; Tropical-Storm Warning along parts of north-coast Cuba
Jamaica to North Carolina,Hurricane Warning Jupiter Inlet southward around Florida peninsula to Bonita Beach including Florida Keys and Lake Okeechobee; Storm-Surge Warning Sebastian Inlet southward around Florida peninsula to Venice
None,Hurricane and storm-surge warnings encircle most of the Florida peninsula and Keys; no Mississippi coast warnings
None,"Northern Dominican Republic, northern Haiti, Turks and Caicos, southeastern-central-northwestern Bahamas"
Jamaica to South Carolina,"Hurricane warnings in effect for Puerto Rico, Dominican Republic north coast, Haiti north coast, Turks & Caicos, and the southeastern-central Bahamas; none for the northern Gulf Coast."
Jamaica to North Carolina,"Hurricane Warning: U.S. & British Virgin Islands, Puerto Rico, northern Dominican Republic, northern Haiti, Turks & Caicos, southeastern Bahamas."
Jamaica to South Carolina,N/A
Leeward Islands to Eastern Cuba.,"Hurricane Warning: Northern Leeward Islands, U.S. & British Virgin Islands, Puerto Rico.  Tropical-Storm Warning: Guadeloupe, Dominica"
"23.5N, 81.0W","23.7N, 81.3W"
"22.8N, 79.8W","23.1N, 80.2W"
22.1N 77.7W,"22.3N, 78.2W"
"22.0N, 75.3W","22.0N, 76.0W"
"21.3N, 72.4W","21.5N, 73.3W"
"20.4N, 69.7W","20.7N, 70.4W"
"19.4N, 66.8W","19.7N, 67.7W"
"18.2N, 64.0W","18.5N, 64.7W"
"17.4N, 61.1W","17.7N, 61.8W"
"16.8N, 58.4W","16.9N, 59.1W"
NW,NW
W,W
W,W
WWN,W
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
WNW,WNW
W,W
6,6 mph
9,9 mph
13,12 mph
14,14 mph
16,16 mph
16,16 mph
16,16 mph
16,16 mph
15,15 mph
14,14 mph
Florida,"Florida Keys and peninsula, west coast of Florida, southeast Georgia, southern South Carolina, eastern Alabama"
"Florida
Georgia
South Carolina
North Carolina","Florida Keys, entire Florida peninsula, and coastal Georgia/South Carolina later in the period"
"Cuba

Florida

Georgia

South Carolina

North Carolina","Florida peninsula, Florida Keys, southeast Georgia and later inland Georgia/Alabama"
"Florida
Georgia
South Carolina
North Carolina","Northern Cuba, Bahamas, Florida Keys, entire Florida peninsula, coastal Georgia and South Carolina"
"Florida, Georgia, South Carolina, North Carolina","Bahamas, Cuba north coast, entire Florida peninsula, then inland Georgia and eastern Alabama"
"Florida
Caribbean","Hispaniola, Bahamas, Cuba, Florida peninsula, eventually Georgia and the Carolinas"
"Jamaica, Cuba, Bahamas, South Carolina, North Carolina","Greatest impacts expected over the Bahamas, south & east Florida, and later the Georgia–South Carolina coast and interior southeast U.S."
"Florida
Georgia
South Carolina
North Carolina","Northern Leeward Islands, Virgin Islands, Puerto Rico, northern Hispaniola, Turks & Caicos, Bahamas, and potentially Florida peninsula."
"Jamaica

Cayman Islands

Cuba

South East United States","Northern Leeward Islands, Virgin Islands, Puerto Rico, Dominican Republic, Turks & Caicos, southeastern and central Bahamas, northern Cuba and South Florida"
"Cuba
Florida","Northern Leeward Islands, Virgin Islands, Puerto Rico, Hispaniola north coast, Turks & Caicos, Bahamas, south Florida"
STENNIS MS,GULFPORT MS
GULFPORT MS,GULFPORT MS
GULFPORT MS,GULFPORT MS
GULFPORT MS,GULFPORT MS
Gulfport Biloxi,GULFPORT MS
PENSACOLA,PENSACOLA FL
MOBILE,MOBILE AL
MONTEGO BAY,PENSACOLA FL
GUADELOUPE,MOBILE AL
Ponce PR,PENSACOLA FL
"The Port of Pascagoula, MS is not listed in the provided data. Therefore, it is not possible to determine the cumulative probability of 34-kt wind arrival at that location based on the given information.",4%
0.13,5%
